'cha'chong 茶宠
'diao'lou 雕镂
'dui'hui 堆绘
'gao'ji'gong'yi'mei'shu'shi 高级工艺美术师
'gong'chun'hu 供春壶
'gong'yi'mei'shu'shi 工艺美术师
'gong'yi'mei'shu'yuan 工艺美术员
'gong'yi'shi 工艺师
'gu'jing'zhou 顾景舟
'gu'shao'pei 顾绍培
'guo'jia'ji'gong'yi'mei'shu'shi 国家级工艺美术师
'he'hong'mei 贺红梅
'huang'long'shan 黄龙山
'jiang'rong 蒋蓉
'jin'yin'si 金银丝
'ke'hui 刻绘
'ni'hui 泥绘
'quan'shou'gong 全手工
'tao'ke 陶刻
'ti'liang 提梁
'xiang'qian 镶嵌
'yan'jiu'yuan'ji'gao'ji'gong'yi'mei'shu'shi 研究员级高级工艺美术师
'yang'xiao'quan 杨小泉
'yuan'kuang 原矿
'zhu'li'gong'yi'mei'shu'shi 助理工艺美术师
'zi'sha 紫砂
'zi'sha'cha'chong 紫砂茶宠
'zi'sha'diao'su 紫砂雕塑
'zi'sha'gua'pan 紫砂挂盘
'zi'sha'hu 紫砂壶
'zi'sha'hua'pen 紫砂花盆
'zi'sha'zhi'jia 紫砂之家
