'ai'er'fa 埃尔法
'ai'mi'li'ya 艾米莉亚
'ai'shen'li 艾什莉
'an'ji'li'ka 安吉莉卡
'an'jie 安洁
'an'zhai'you'xiang'li 安斋由香里
'ao'sha'ying'zi 奥纱瑛子
'bao'shi'huan'xiang 宝石幻想
'bao'shi'huan'xiang'guang'mang'chong'xian 宝石幻想光芒重现
'ben'quan'li'nai 本泉莉奈
'chao'xin'xing 超新星
'chi'wei'guang 赤尾光
'da'he'guo 大和国
'da'ye'you'bu'zi 大野柚布子
'duo'er'te'jia'er'de 多尔特加尔德
'fei'ao'na 费奥娜
'fu'luo'la 芙洛拉
'fu'luo'la'nv'xue'yuan 芙洛拉女学院
'fu'luo'la'nv'zi'xue'yuan 芙洛拉女子学院
'fu'zi 抚子
'guang'lai'shi'hua 广濑世华
'guang'mang'chong'xian 光芒重现
'hua'wei'yi'nv 花为乙女
'hua'ze'xiang'cai 花泽香菜
'jia'nai'te 嘉奈特
'jiu'bao'tian'li'sha 久保田梨沙
'ka'mi'la 卡米拉
'ke'luo'yi 克洛伊
'kou'dai'tian'xin 口袋甜心
'la'tu'la 菈图菈
'la'wei 拉薇
'li'nai'te 莉奈特
'ling'mu'ya'li'sha 铃木亚理沙
'ling'nei'zhi'mei 岭内知美
'lu'xi'fei'er 露西菲尔
'luo'sai'ta 洛赛塔
'ma'li'bei'li 玛莉贝丽
'mi'lu'fei 米露菲
'nan'tiao'ai'nai 南条爱乃
'ni'guang 霓光
'qi'qian'zhao'yi'de'xing'kong 七千兆亿的星空
'rang'ye 让叶
'sai'lu'sha 赛露莎
'shan'ben'rui'xi 山本瑞稀
'shang'ban'jin 上坂堇
'si'chong'yi'zou 四重异奏
'song'tian'li'hu 松田利冴
'ti'ya'la 缇亚拉
'wei'lan'de 维兰德
'xiang'bei 香蓓
'xiang'jing'li'sheng 向井莉生
'xiao'e'mo'tang'guo 小恶魔糖果
'xiao'yuan'you 篠原侑
'xing'guang 星光
'xing'nai'ye'yue 星乃叶月
'yi'li'sha 伊莉莎
'yi'teng'qing'xiang 伊藤晴香
'ying'mu'xi 樱木夕
'yu'gong'xi'xia 雨宫夕夏
'zao'lai'xue'wei 早濑雪未
'zhe'ge'shi'jie'de'ou'xiang'hui'mo'fa 这个世界的偶像会魔法
'zhong'shan'yao'zi 中山瑶子
'zuo'bo'yi'zhi 佐伯伊织
'zuo'cang'ling'yin 佐仓绫音
