'bu'xie'huo'shen'qing'shu 不卸货申请书
'cheng'zhong'dan'chu'jian'dan'zhao'pian 称重单初检单照片
'chu'jian'dan'fu'bang'dan'zhao'pian 初检单复榜单照片
'dao'lu'yun'shu'jing'ying'xu'ke'zheng'fu'yin'jian 道路运输经营许可证复印件
'fei'shui'shou'ru'jiao'kuan'dan 非税收入缴款单
'guo'hu'zheng'ming 过户证明
'jia'shi'zheng'fu'yin'jian 驾驶证复印件
'shen'fen'zheng'fu'yin'jian 身份证复印件
'wei'tuo'shu 委托书
'xing'che'zheng'jia'shi'zheng'fu'yin'jian 行车证驾驶证复印件
'ying'yun'zheng'jia'shi'zheng'fu'yin'jian 营运证驾驶证复印件
'ying'yun'zheng'ke'yun'zheng'zi'ge'zheng'fu'yin'jian 营运证客运证资格证复印件
'ying'yun'zheng'shang'gang'zheng'fu'yin'jian 营运证上岗证复印件
