'bai'hua'la 白花蜡
'bai'hua'mi 百花蜜
'bing'zi'liao 饼子料
'ce'kai'chuang 侧开窗
'gua'zhui'liao 挂坠料
'huo'shan'hui 火山灰
'jiao'mi 绞蜜
'jin'bao'mi 金包蜜
'jin'jiao'bai'hua 金绞白花
'jin'po 金珀
'ke'zhong 克重
'man'mi 满蜜
'pai'zi'liao 牌子料
'pi'lie'wen 皮裂纹
'pi'run 皮润
'ping'an'kou'liao 平安扣料
'quan'pi'liao 全皮料
'san'wei 三围
'shou'nian'zuan 手撵钻
'sun'liao'shao 损料少
'wei'kai'chuang 微开窗
'wei'kuang'wu'za'zhi'can'liu 微矿物杂质残留
'wu'za'lie 无杂裂
'yuan'shi 原石
'zang'shi'bing'zi 藏式饼子
'zhi'wu'can'liu 植物残留
'zuo'shui'di'diao'zhui 做水滴吊坠
