'bei'zhong 北仲
'cheng'dui'hui'piao 承兑汇票
'chong'tu'gui'fan 冲突规范
'chong'tu'gui'ze 冲突规则
'chu'piao'xing 出票行
'dan'zheng'yi'zhi 单证一致
'di'mian 抵免
'fa'yu 法域
'fan'zhi 反致
'fei'guan'shui'bi'lei 非关税壁垒
'feng'da'tong 冯大同
'gen'ben'wei'yue 根本违约
'hai'ya'wei'si'bi'gong'yue 海牙维斯比公约
'han'da'yuan 韩大元
'han'pei'de 韩培德
'jian'dan'ji'fu 见单即付
'lian'jie'dian 连结点
'mao'zhong 贸仲
'qu'yu'fa'lv'chong'tu 区域法律冲突
'shui'shou'jing'zheng 税收竞争
'shui'shou'rao'rang 税收扰让
'shui'shou'rao'rang'di'mian 税收扰让抵免
'si'yan'gui'ze 四眼规则
'ti'cheng'fei 提成费
'wei'fu 委付
'wei'ye'na'gong'yue 维也纳公约
'wu'la'gui'hui'he 乌拉圭回合
'xi'shu'gong'shi 系属公式
'yu'qi'wei'yue 预期违约
'zhong'guo'guo'ji'jing'ji'mao'yi'zhong'cai'wei'yuan'hui 中国国际经济贸易仲裁委员会
'zhun'ju'fa 准据法
