'ai'he'wu'di 爱河无底
'ai'quan'sheng 爱泉声
'ai'song'sheng 爱松声
'an'an'chang'an'lu 黯黯长安路
'an'de'qian'xun'heng'tie'suo 安得千寻横铁锁
'an'de'shen'xian'pin'zhi'jiu 安得身闲频置酒
'an'diao'yan'bin 暗凋颜鬓
'an'duan'xiang 暗端相
'an'gong'zi'feng'yu'chu'jing'she 安公子风雨初经社
'an'xiao'hun'ceng'cheng'fei'guan 黯消魂层城飞观
'an'xiao'hun'yu'shou'yun'san 黯销魂雨收云散
'ba'dong'jiang'shang 巴东江上
'ba'qiao'yan'liu 灞桥烟柳
'bai'wan'hu'lu'jin'se'bang 百万呼卢锦瑟傍
'bai'yu'yao'jian'qi'he'zhuang 白羽腰间气何壮
'ban'lang'hua'yuan'yue 半廊花院月
'ban'ren'shu'shou 伴人疏瘦
'ban'ren'zhou'jing 伴人昼静
'ban'shi'xiang 半世向
'bang'ren'song'shao'wen'yi'sheng 邦人讼少文移省
'bang'yan'xin'yan 傍檐新燕
'bao'bei'jin'hong'yun'rui'xia 宝杯浸红云瑞霞
'bao'chai'lou'shang'zhuang'shu'wan 宝钗楼上妆梳晚
'bao'chai'zhui 宝钗坠
'bao'lian'zhu'she'yan'chu'nuan 宝奁炷麝烟初暖
'bao'zhuan'chai'gong'huang 宝篆拆宫黄
'bei'dong'feng'zhu'li 背东风伫立
'bei'ge'ji'zhu 悲歌击筑
'bei'hua'fa 悲华发
'bei'huan'meng'li 悲欢梦里
'bei'huan'wan'zhuang 悲欢万状
'bi'chuang'cha'zao 笔床茶灶
'bi'ci'zhi'ming 彼此知名
'bi'hu'xian'lu'yun'chu'cheng 碧壶仙露酝初成
'bi'jing'cheng'chen 毕竟成尘
'bi'jing'xiao'mo'qu 毕竟消磨去
'bi'yue'he'fang'ye'ye'man 璧月何妨夜夜满
'bi'zhu'hu'chou'jin'si'huang 闭朱户愁近丝簧
'bian'bu'nian'dang'shi 便不念当时
'bian'mian'zhang'tai'ma 便面章台马
'bian'si'mao'ying 鞭丝帽影
'bie'shi'gong'ming 别是功名
'bin'bian'qian'lv'si 鬓边千缕丝
'bin'po'ran 鬓皤然
'bin'si'ji'lv'cha'yan'li 鬓丝几缕茶烟里
'bin'si'sheng 鬓丝生
'bin'si'tian'ji'jing 鬓丝添几茎
'bin'sui'can 鬓虽残
'bin'xian'qiu 鬓先秋
'bing'kai'yue'li 冰开跃鲤
'bo'mu'san'hua'zhou'su 薄暮散花洲宿
'bu'dai'ren'chao'wo'zi'xiu 不待人嘲我自羞
'bu'dao'jing'hua 不到京华
'bu'fang'qing'bin'xi'ren'jian 不妨青鬓戏人间
'bu'fang'sui'chu'yi'kai'yan 不妨随处一开颜
'bu'gan'hen'xiang'wang 不敢恨相忘
'bu'gui'zhen'ge'chi 不归真个痴
'bu'jian'shao'nian'hao'qi 不减少年豪气
'bu'jian'xiang'yang'deng'lan 不见襄阳登览
'bu'jue'sha'jin'duo 不觉纱巾堕
'bu'pa'nian'tian'lang 不怕黏天浪
'bu'pa'yin'gang'shen'xiu'hu 不怕银缸深绣户
'bu'shi'ren'jian'pian'wo'lao 不是人间偏我老
'bu'shi'wu'can'tu 不是吴蚕吐
'bu'si'pi'pa'dao'de'zhen 不似琵琶道得真
'bu'suan'zi'yong'mei 卜算子咏梅
'bu'xi'diao'qiu'huan'diao'peng 不惜貂裘换钓篷
