'chang'ming'hua'ji'zhe 长明滑稽者
'dong'zhu'jian'dui 洞主舰队
'dong'zhu'zhi'jia 洞主之家
'dong'zhu'zhi'jia'jian'dui 洞主之家舰队
'hei'shan'lao'yao 黑山老妖
'huang'pao'guai 黄袍怪
'jin'jiao'da'wang 金角大王
'jing'jue'de'wan'zun'zhe 警觉的挽尊者
'liu'lang'zhe'fan'ji'zhan'lie'jian 流浪者反击战列舰
'shu'zi'ba'zhu 数字吧主
'su'xing'de'wa'fen'zhe 苏醒的挖坟者
'xin'sheng'dong'zhu 新生洞主
'yin'jiao'da'wang 银角大王
'zao'dong'de'pen'zi 躁动的喷子
