'a'luo'han'dou 阿罗汉豆
'an'ji'zhu'ji 安吉竹鸡
'ao'zao'mian 奥灶面
'ba'bao'chuan'ya 八宝船鸭
'ba'bao'fan 八宝饭
'ba'bao'hu'lu'ya 八宝葫芦鸭
'ba'bao'la'jiang 八宝辣酱
'ba'fei'tang 巴肺汤
'ba'niu'rou'tiao 扒牛肉条
'ba'shao'zheng'zhu'tou 扒烧整猪头
'ba'si'bai'shu'qiu 拔丝白薯球
'ba'si'jin'zao 拔丝金枣
'ba'wang'bie'ji 霸王别姬
'ba'yuan'ke'bao'yu 扒原壳鲍鱼
'bai'ba'si'bao 白扒四宝
'bai'de'xia 白的虾
'bai'gao 白糕
'bai'hua'yu'du 百花鱼肚
'bai'niao'chao'feng 百鸟朝凤
'bai'tou'weng'tang 白头翁饧
'bai'wei'ji 百味鸡
'bai'xi'chao'gao 柏溪潮糕
'bai'xue'ji 白雪鸡
'bai'you'dou'fu 白油豆腐
'bai'zhan'ji 白斩鸡
'bai'zhi'yuan'cai 白汁圆菜
'bai'zhi'yuan'yu 白汁元鱼
'bai'zhuo'xia 白灼虾
'ban'li'shao'cai'xin 板栗烧菜心
'ban'ya 板鸭
'ban'zha'xia'chuan 板炸虾串
'ban'zha'zhi'ma'xia 板炸芝麻虾
'ban'zhi'gan'bei 班指干贝
'bang'bang'ji 棒棒鸡
'bao'chao'di'hou 爆炒地猴
'bao'chao'xue'ya 爆炒血鸭
'bao'mo'yu 爆墨鱼
'bao'san'yang 爆三样
'bao'shuang'cui 爆双脆
'bi'luo'xia'ren 碧螺虾仁
'bi'lv'jiao'ma'gui'yu 碧绿椒麻桂鱼
'bian'rou'yan 扁肉燕
'bing'tang'jia'yu 冰糖甲鱼
'bing'tang'xiang'lian 冰糖湘莲
'bing'zui'dou'hua 冰醉豆花
'bo'bo'ji 钵钵鸡
'bo'luo'yu 菠萝鱼
'bu'dai'ji 布袋鸡
'cang'shu'yang'rou 藏书羊肉
'cha'kao'gui'yu 叉烤桂鱼
'cha'kao'ru'zhu 叉烤乳猪
'cha'kao'ya 叉烤鸭
'cha'yan 茶宴
'chai'hui'lian'yu'tou 拆烩鲢鱼头
'chang'sha'ma'ren'xiang'su'ya 长沙麻仁香酥鸭
'chang'shou'mian 长寿面
'chao'ku'gua 炒苦瓜
