'bu'shi'yi'bu'chi 不驶亦不迟
'chang'kuang'du'chang'bei 猖狂独长悲
'gan'wu'yuan'ji'shi 感物愿及时
'he'hu'xi'cao'shi'gu'zei'cao 和胡西曹示顾贼曹
'liao'luo'jiang'she'chi 寥落将赊迟
'liu'mu'shi'xi'yuan 流目视西园
'mei'hen'mi'suo'hui 每恨靡所挥
'nai'he'dang'fu'shuai 奈何当复衰
'piao'piao'chui'wo'yi 飘飘吹我衣
'qing'chao'qi'nan'si 清朝起南飔
'rui'bin'wu'yue'zhong 蕤宾五月中
'xian'yu'fen'wei'wei 闲雨纷微微
'ye'ye'rong'zi'kui 晔晔荣紫葵
'yi'xiang'bu'ke'yan 逸想不可淹
'you'you'dai'qiu'jia 悠悠待秋稼
'yu'jin'shen'ke'ai 于今甚可爱
'zhong'yun'bi'bai'ri 重云蔽白日
