'chuan'chuan 串串
'da'xiang'bi 大象币
'ji'bai'te'xiao 击败特效
'ke'jin 氪金
'lan'bi 蓝币
'qing'ji 轻击
'qing'ji'liu 轻击流
'ren'wu'pi'fu 人物皮肤
'shi'shi'pi'fu 史诗皮肤
'shi'yan'shi 实验室
'wu'pi 武皮
'wu'qi'pi'fu 武器皮肤
'xian'ding'pi'fu 限定皮肤
'xian'ding'tou'xiang 限定头像
'xian'ding'yan'se 限定颜色
'xian'sheng 险胜
'yi'chuan'san 一串三
'zhong'ji 重击
'zhong'ji'gou 重击狗
'zhong'ji'liu 重击流
