'li'fu'ji'yan 礼馥肌言
'li'fu'ji'yan'jing'hua 礼馥肌言精华
'li'fu'ji'yan'you'pei'jing'hua 礼馥肌言优配精华
'li'fu'ji'yan'you'pei'shui 礼馥肌言优配水
'su'xi'zhi'yuan 宿系之源
'su'xi'zhi'yuan'chun'lu 宿系之源纯露
'su'xi'zhi'yuan'yuan'jiang 宿系之源原浆
'tiao'pei'jing'hua 调配精华
'tiao'pei'shui 调配水
'you'pei'jing'hua 优配精华
'you'pei'shui 优配水
'yuan'jiang'xiao'jie 原浆小姐
