'a'kua 阿夸
'a'lu'si'a'er'ma 阿露丝阿尔玛
'a'sa 阿萨
'a'ti'ya 阿媂娅
'ai'ke'si'a'er'bi'ou 艾克斯阿尔比欧
'ai'lu 艾露
'ai'yin 艾因
'an'jie'ka'te'li'na 安洁卡特莉娜
'an'tang 安堂
'an'tang'dao'he 安堂稻荷
'ba'mu 八木
'ba'mu'di'zhi 八木迪之
'ba'na'na 芭娜娜
'bai'gui'ling'mu 百鬼绫目
'bai'qi 白祁
'bai'shang'chui'xue 白上吹雪
'bai'xiao'ling 白咲铃
'bai'yin'nuo'ai'er 白银诺艾尔
'ban'ai 绊爱
'bao'zhong'ma'lin 宝钟玛琳
'bei'er'meng'de'ban'de'la'si 贝尔蒙德班德拉斯
'ben'jian'xiang'ri'kui 本间向日葵
'bing'tang 冰糖
'bu'zhi'huo'fu'lei'ya 不知火芙蕾雅
'cai'hong'she 彩虹社
'chi'jing'xin 赤井心
'cou'a'ku'ya 湊阿库娅
'da'kong'mao 大空昴
'da'shen'ling 大神澪
'dai'hui 黛灰
'de'bi'de'bi'de'bi'lu 德比德比德比鲁
'de'bi'lu 德比鲁
'dian'nao'shao'nv 电脑少女
'du'ren 度人
'duo'la 多拉
'duo'li'si 朵莉丝
'fu'shan 福山
'gao'gui'lv 高槻律
'ge'ye 葛叶
'guang'yi 光一
'hei'tao'ying 黑桃影
'hua'ji'nv'sheng 花寄女生
'hua'ji'nv'sheng'su'she 花寄女生宿舍
'hua'liu 花留
'hua'tian'jia'yi'ka 花畑嘉依卡
'hua'wan'qing'liu 花丸晴琉
'hui'ye'yue 辉夜月
'huo'ji 惑姬
'jia'he'mei'sun'ren 加贺美隼人
'jian'chi'dao'ye 剑持刀也
'jian'wu'hua'na 健屋花那
'jin'fei'nai 菫妃奈
'jing'hua 京华
'jing'lin 静凛
'jiu'yuan'qian'sui 久远千岁
'ju'jiu 橘九
'jun'dao'mei'ling 郡道美玲
'ka'ti'ya'wu'la'nuo'wa 卡缇娅乌拉诺娃
'kang'na 康娜
'ke'ke 科科
'ke'lei'ya 克蕾雅
'kou'dai'kou 口呆口
'leng'niao 冷鸟
'li'qing'ge 李清歌
'li'ze'he'lu'ai'si'ta 莉泽赫露艾斯塔
'lian'wu 莲雾
'lin'ling 林玲
'lin'yi 林伊
'ling'guo 铃果
'ling'lu'shi'zi 铃鹿诗子
'ling'yuan 泠鸢
'ling'yuan'lu'lu 铃原露露
'liu'qi 琉绮
'long'dan'zun 龙胆尊
'lu'nai 鹿乃
'lu'tao 陆桃
'lu'xi'ya 露西娅
'luo'bo'zi 萝卜子
'luo'sha'lin 罗莎琳
'luo'yi 罗伊
'luo'zi'ba'lei'te 罗兹巴蕾特
'lv'xian 绿仙
'ma'zi'li 马自立
'mao'gong 猫宫
'mao'gong'ri'xiang 猫宫日向
'mao'lao'da 猫老大
'mao'you'xiao'zhou 猫又小粥
'meng'yue'luo'ya 梦月萝娅
'mi'qiu'tu 蜜球兔
'mi'xi 弥希
'mi'ya 米娅
'miao'tian'mi'ye 喵田弥夜
'miao'yue 喵月
'mie'a 咩啊
'ming'qu'sha'na 名取纱那
'mo'mo 魔魔
'mo'xi 墨汐
'mu'si 慕斯
'pa'ke'si 帕克丝
'pa'li 帕里
'pa'li 爬犁
'pei'ke'la 佩克拉
'qi'hai 七海
'qi'ning 七柠
'quan'shan'yu'ji 犬山玉姬
'run'yu'lu'xi'ya 润羽露西娅
'sa'mai'er 萨麦尔
'sen'zhong'hua'xiao 森中花咲
'sha'ye 沙夜
'shan'li 山梨
'she'zhu 社筑
'shen'gong'si'yu'zao 神宫司玉藻
'shen'yue 神樂
'shen'yue'qi'nai 神樂七奈
'shi'nai'kong 时乃空
'shi'yin 时音
'shou'shou'ge 寿寿歌
'shuang'li 双荔
'tao'lai'xue'hui 桃濑雪绘
'ti'mu'xiao 笹木咲
'tong'kou'feng 樋口枫
'tong'tian'ming'zhi 童田明治
'tu'tian'pei'ke'la 兔田佩克拉
'wei'lai'ming 未来明
'wu'li 无理
'wu'shu'you'qi 物述有栖
'wu'yuan'qi'jie 舞元启介
'xi'wei'ya 希薇娅
'xia'se'ji 夏色祭
'xiao'dong'ren'yu 小东人鱼
'xie'la 谢拉
'xing'jie'hui'xing 星街彗星
'xing'mi 星弥
'xing'ye 星也
'xiu'nv'ke'lei'ya 修女克蕾雅
'xu'hai'chuang 戌亥床
'xu'shen'qin'yin 戌神沁音
'ya'qi'luo'sen'ta'er 亚绮罗森塔尔
'ye'jian'lei'na 夜见蕾娜
'ye'kong'mei'lu 夜空梅露
'ye'wu 夜霧
'ye'ye'gong 野野宫
'ye'zhi'zhong'xing'ye 夜之中星也
'yi'guo 一果
'yi'sha'bei'la'huo'li 伊莎贝拉霍利
'ying'gong'li'yin 鹰宫莉音
'ying'mei 樱美
'ying'wu'nv 樱巫女
'ying'ying'huo 樱樱火
'yong'qi'qian'xun 勇气千寻
'you'jia 有加
'you'qi 有栖
'you'yi 柚一
'yu'jia'yuan'jiang'liang 御伽原江良
'yu'shui 御水
'yu'yin 羽音
'yu'yue'qiao'ke 癒月巧可
'yue'zhi'mei'tu 月之美兔
'zao'dao'ji 早稻叽
'zhang'jing'hua 张京华
'zhen'fei'liu 真绯瑠
'zhong'dan'guang'yi 中单光一
'zhou'li'yi 周力一
'zhui'ming'wei'hua 椎名唯华
'zi'ji 紫纪
'zi'xiao'shi'yin 紫咲诗音
