'an'gang 暗杠
'an'kan 暗坎
'an'ke 暗刻
'an'pai 安牌
'an'qing'ma'jiang 安庆麻将
'an'quan'pai 安全牌
'an'san'ke 暗三刻
'an'ting 暗听
'an'ting'pai 暗听牌
'ba'ben'chang 八本场
'ba'bing 八饼
'ba'fan 八番
'ba'lian'zhuang 八连庄
'ba'quan 八圈
'ba'suo 八索
'ba'tiao 八条
'ba'tong 八筒
'ba'wan 八万
'bai'ban 白板
'bai'da'pai 百搭牌
'bai'wan'shi 百万石
'ban'zhuang 半庄
'ban'zhuang'zhan 半庄战
'bao'pai 包牌
'bao'pai 宝牌
'bao'pai 报牌
'bao'pai'biao'shi'pai 宝牌表示牌
'bao'ting 报听
'bei'er'ju 北二局
'bei'feng 北风
'bei'feng'quan 北风圈
'bei'jia 北家
'bei'man 倍满
'bei'ru 北入
'bei'san'ju 北三局
'bei'si'ju 北四局
'bei'yi'ju 北一局
'bian'zhang 边张
'biao'bao'pai 表宝牌
'biao'bao'pai'biao'shi'pai 表宝牌表示牌
'biao'xuan'shang'pai 表悬赏牌
'bu'hua 补花
'bu'qiu'ren 不求人
'bu'ting 不听
'bu'ting'fa'fu 不听罚符
'bu'ting'pai 不听牌
'chang'cheng 长城
'chang'feng 场风
'chang'feng'pai 场风牌
'chang'sha'ma'jiang 长沙麻将
'chi'bao'pai 赤宝牌
'chi'pai 吃牌
'chi'peng'gang 吃碰杠
'chi'wu'bing 赤五饼
'chi'wu'suo 赤五索
'chi'wu'tiao 赤五条
'chi'wu'tong 赤五筒
'chi'wu'wan 赤五万
'chi'xuan'shang'pai 赤悬赏牌
'chi'zhang 吃张
'chou'ma 筹码
'chou'tou 抽头
'chu'chong 出铳
'chu'pai 出牌
'chu'zhang 出张
'chun'jiu'lian'bao'deng 纯九莲宝灯
'chun'quan 纯全
'chun'quan'dai 纯全带
'chun'quan'dai'yao'jiu 纯全带幺九
'chun'si'lian'ke 纯四连刻
'chun'yi'qi'tong'guan'quan'dai'yao'jiu 纯一气通贯全带幺九
'ci'ma 刺马
'cuo'hu 错和
'cuo'hu 错胡
'cuo'pai 搓牌
'da'bing 大饼
'da'che'lun 大车轮
'da'hu 大和
'da'man'guan 大满贯
'da'ming'gang 大明杠
'da'qi'xing 大七星
'da'san'yuan 大三元
'da'shu'lin 大数临
'da'si'xi 大四喜
'da'si'xi'hu 大四喜和
'da'xiang'gong 大相公
'da'yu'wu 大于五
'da'zhu'lin 大竹林
'da'zi 搭子
'dan'diao 单钓
'dan'diao'jiang 单钓将
'dan'long 单龙
'dan'qi 单骑
'dan'ting 单听
'dan'xiang'ting 单向听
'di'fan 低番
'di'fang'yi 地方役
'di'fen 底分
'di'hu 地和
'di'pai 底牌
'di'yu'dan'qi 地域单骑
'dian'bang 点棒
'dian'hu 点和
'dian'pao 点炮
'dian'shi'ji 电视机
'diao'pai 吊牌
'ding'san'ke 顶三刻
'dong'bei'ma'jiang 东北麻将
'dong'bei'xin'gan'xian 东北新干线
'dong'bei'zi'dong'che'dao 东北自动车道
'dong'er'ju 东二局
'dong'feng 东风
'dong'feng'quan 东风圈
'dong'feng'zhan 东风战
'dong'feng'zhuang 东风庄
'dong'jia 东家
'dong'nan'zhan 东南战
'dong'san'ju 东三局
'dong'si'ju 东四局
'dong'yi'ju 东一局
'duan'hong'hu 断红和
'duan'ping 断平
'duan'yao 断幺
'duan'yao'jiu 断幺九
'dui'dui 对对
'dui'dui'hu 对对和
'dui'jia 对家
'dui'men 对门
'dui'peng 对碰
'dui'zi 对子
'duo'mian'ting 多面听
'duo'mian'zhang 多面张
'duo'zhang 多张
'er'bei'kou 二杯口
'er'bei'man 二倍满
'er'ben'chang 二本场
'er'bing 二饼
'er'fan 二番
'er'ren'ma'jiang 二人麻将
'er'suo 二索
'er'suo'qiang'gang 二索抢杠
'er'suo'qiang'gang 二索枪杠
'er'tiao 二条
'er'tiao'qiang'gang 二条抢杠
'er'tiao'qiang'gang 二条枪杠
'er'tong 二筒
'er'tong'ke 二同刻
'er'wan 二万
'er'wu'ba 二五八
'er'wu'ba'jiang 二五八将
'er'xiang'ting 二向听
'fa'fu 罚符
'fa'zhan'ti'yu'yun'dong 发展体育运动
'fa'zhang 罚张
'fan'dian 返点
'fan'dong'ru 返东入
'fan'zhong 番种
'fang'qiang 放枪
'feng'hua'xue'yue 风花雪月
'feng'pai 风牌
'feng'yi'se 风一色
'fu'di 副底
'fu'di 符底
'fu'jian'ma'jiang 福建麻将
'fu'lu 副露
'fu'tiao 符跳
'gang'bao'pai 杠宝牌
'gang'hou'kai'hua 杠后开花
'gang'shang'hua 杠上花
'gang'shang'kai'hua 杠上开花
'gang'xuan'shang'pai 杠悬赏牌
'gang'zi 杠子
'gen'pai 跟牌
'gu'yi 古役
'guan'nan'ma'jiang 灌南麻将
'guang'dong'ma'jiang 广东麻将
'guang'lin 广林
'guang'lin'sheng'shou 广林圣手
'guang'shui'ma'jiang 广水麻将
'gui'zhou'ma'jiang 贵州麻将
'guo'biao'ma'jiang 国标麻将
'guo'shi'wu'shuang 国士无双
'hai'di 海底
'hai'di'lao'yue 海底捞月
'hai'di'mo'yue 海底摸月
'hai'nan'ma'jiang 海南麻将
'hang'zhou'ma'jiang 杭州麻将
'he'bei'ma'jiang 河北麻将
'he'di 河底
'he'di'lao'yu 河底捞鱼
'he'fei'ma'jiang 合肥麻将
'he'jue'zhang 和绝张
'hei'yi'se 黑一色
'hong'kong'que 红孔雀
'hong'yi'dian 红一点
'hong'zhong 红中
'hu'le 和了
'hu'pai 和牌
'hu'pai 胡牌
'hua'long 花龙
'hua'niao'feng'yue 花鸟风月
'hua'pai 花牌
'hua'qi'dui 花七对
'huang'pai 荒牌
'huang'zhuang 黄庄
'hun'lao 混老
'hun'lao'dui'dui 混老对对
'hun'lao'qi'dui 混老七对
'hun'lao'tou 混老头
'hun'lao'tou'dui'dui'hu 混老头对对和
'hun'lao'tou'dui'dui'hu 混老头对对胡
'hun'lao'tou'qi'dui'zi 混老头七对子
'hun'quan'dai'yao 混全带幺
'hun'quan'dai'yao'jiu 混全带幺九
'hun'san'bu 混三步
'hun'san'jie 混三节
'hun'si'bu 混四步
'hun'si'jie 混四节
'hun'yao'jiu 混幺九
'hun'yi 混一
'hun'yi'se 混一色
'ji'ben'fen 基本分
'ji'fei 击飞
'ji'hu 鸡和
'ji'hua 季花
'ji'li 即立
'ji'nan'ma'jiang 济南麻将
'jia'ting 假听
'jia'ting'pai 假听牌
'jia'zhang 夹张
'jian'ke 箭刻
'jian'ke'quan'feng'ke 箭刻圈风刻
'jian'pai 箭牌
'jiang'pai 将牌
'jin'ji'du'li 金鸡独立
'jin'men'qiao 金门桥
'jin'pai'ke 筋牌刻
'jin'zhang 进张
'jin'zhong'ma'jiang 晋中麻将
'jing'tong'he 镜同和
'jiu'bing 九饼
'jiu'bing'lao'yu 九饼捞鱼
'jiu'fan 九番
'jiu'lian'bao'deng 九莲宝灯
'jiu'lian'deng 九莲灯
'jiu'suo 九索
'jiu'tiao 九条
'jiu'tong 九筒
'jiu'tong'lao'yu 九筒捞鱼
'jiu'wan 九万
'jiu'zhong'dao'pai 九种倒牌
'jiu'zhong'jiu'pai 九种九牌
'ju'fen 局分
'jue'yi'men 绝一门
'jue'zhang 绝张
'kai'gang 开杠
'kai'pai 开牌
'kan'zhang 坎张
'kao'zhang 靠张
'ke'feng 客风
'ke'feng'pai 客风牌
'ke'feng'san'ke 客风三刻
'ke'zi 刻子
'kong'ting 空听
'kong'ting'li'zhi 空听立直
'kou'pai 扣牌
'la'ji'hu 垃圾和
'lai'zi 赖子
'lan'hu 拦和
'lao'niu'chi'nen'cao 老牛吃嫩草
'lao'shao 老少
'lao'shao'fu 老少副
'lao'shao'hu 老少户
'lao'shao'ke 老少刻
'lao'shao'pei 老少配
'lao'tou'pai 老头牌
'lei'ji'yi'man 累计役满
'li'bao'pai 里宝牌
'li'bao'pai'biao'shi'pai 里宝牌表示牌
'li'li'yao 粒粒幺
'li'pai 理牌
'li'xuan'shang'pai 里悬赏牌
'li'zhi 立直
'li'zhi'bang 立直棒
'li'zhi'yi'fa 立直一发
'lian'feng'pai 连风牌
'lian'kai'hua 连开花
'lian'ke 连刻
'lian'liu 连六
'lian'qi'dui 连七对
'lian'zhong'san'yuan 连中三元
'lian'zhuang 连庄
'liang'fan 两番
'liang'jia'hu 两家和
'liang'jia'hu 两家胡
'liang'mian'ting 两面听
'liang'qian 两嵌
'liang'xiang'ting 两向听
'ling'shang 岭上
'ling'shang'kai'hua 岭上开花
'liu'ben'chang 六本场
'liu'bing 六饼
'liu'fan 六番
'liu'ju 流局
'liu'ju'man'guan 流局满贯
'liu'lian 六连
'liu'lian'zhang 六连张
'liu'suo 六索
'liu'tiao 六条
'liu'tong 六筒
'liu'wan 六万
'lun'liu'zuo'zhuang 轮流坐庄
'lun'zhuang 轮庄
'luo'dan'qi 裸单骑
'lv'fa 绿发
'lv'yi'se 绿一色
'lv'yi'se'lun 绿一色轮
'ma'diao'pai'qi'yuan'shuo 马吊牌起源说
'ma'jiang 麻将
'ma'jiang'ci'ku 麻将词库
'ma'jiang'qi'yuan 麻将起源
'ma'pai 码牌
'ma'que 麻雀
'ma'que'pai'qi'yuan'shuo 麻雀牌起源说
'man'guan 满贯
'mang'pai 盲牌
'me'jiu'tou 么九头
'men'feng 门风
'men'feng'ke 门风刻
'men'feng'pai 门风牌
'men'qian 门前
'men'qian'jia'fu 门前加符
'men'qian'qing 门前清
'men'qian'qing'zi'mo'hu 门前清自摸和
'men'qian'qing'zi'mo'hu 门前清自摸胡
'men'qing 门清
'mian'duan'ping 面断平
'mian'zi'fu 面子符
'miao'shou'hui'chun 妙手回春
'ming'gang 明杠
'ming'ke 明刻
'ming'pai 鸣牌
'mo'ni'da'fa 模拟打法
'nan'bei'zhan'zheng 南北战争
'nan'chang'ma'jiang 南昌麻将
'nan'er'ju 南二局
'nan'feng 南风
'nan'feng'quan 南风圈
'nan'jia 南家
'nan'jing'ma'jiang 南京麻将
'nan'ru 南入
'nan'san'ju 南三局
'nan'si'ju 南四局
'nan'yi'ju 南一局
'nei'meng'ma'jiang 内蒙麻将
