'ai'li 艾莉
'ai'lin'duo'a'la 艾琳朵阿拉
'ai'lu'ke'lu 艾露克露
'ai'lu'ke'lu'bo'dun 艾露克露伯顿
'an'li'ai'te 安利艾特
'chang'gu'chuan'ping'nai 长谷川平乃
'da'zhen'tan'shi'dai 大侦探时代
'de'jing'qing'kong 德井青空
'gao'cheng'yuan'qi 高城元气
'gen'jin'ci'lang 根津次郎
'guai'dao'di'guo 怪盗帝国
'ju'tian'quan 橘田泉
'kai'te 凯特
'ke'di'ni'ya 柯蒂妮娅
'ke'di'ni'ya'ge'la'ka 柯蒂妮娅格拉卡
'ke'la'li'si 克拉里斯
'lai'qi'suo'ni'ya 来栖索尼娅
'li'pa'guo 利帕国
'ma'li 玛丽
'ma'pu'lu 玛普露
'ming'ban'cong'mei 明坂聪美
'ming'zhi'xiao'yi 明智小衣
'nan'tiao'ai'nai 南条爱乃
'ni'luo 妮洛
'pei'luo 佩洛
'pian'gang'zi 片冈梓
'qian'xing'ci'zi 钱形次子
'rang'qi'ni'luo 让崎妮洛
'san'sen'ling'zi 三森铃子
'sen'ya'di 森亚蒂
'shi'zuo'sha'you'li 矢作纱友里
'si'tong'li'ba 斯通利巴
'tian'cun'you'xiang'li 田村由香里
'xia'luo'ke 夏洛克
'xia'luo'ke'xue'li'fu'de 夏洛克雪莉福德
'xia'ye'hong 下野纮
'xiao'lin'you 小林优
'xiao'shan'li'ye 小山力也
'xiao'xi'ke'xing 小西克幸
'xiao'yi 小衣
'xin'gu'liang'zi 新谷良子
'ya'sen'luo'sen 亚森罗森
'ye'zhong'lan 野中蓝
'yi'cheng'mei'you'xi 一城美由希
'yu'ban 鱼板
'yu'gao 鱼糕
'yuan'shan'xiao 远山咲
'ze'cheng'mei'xue 泽城美雪
'zhen'dou 侦都
'zhen'tan'ge'ju 侦探歌剧
'zhen'tan'xue'yuan 侦探学院
'zhong'yuan'ma'yi 中原麻衣
'zhu'ge 猪哥
'zuo'zuo'mu'wei'lai 佐佐木未来
