'chen'kuan'xiang'xia'zuo'di 沉髋向下坐低
'deng'zhi 蹬直
'fu'kuan 扶髋
'fu'shi 腹式
'huan'yi'shi 幻椅式
'jian'shi 肩式
'nie'ti 涅悌
'pen'qiang'shi 盆腔式
'qian'kuan'shao'xiang'hou 前髋稍向后
'shi'ge'jiao'zhi'qing'ying 十个脚趾轻盈
'shou'zhi'cheng 手支撑
'shou'zhua'jiao'zhi'qian'wan'shi 手抓脚趾前弯式
'shu'shi 树式
'shuang'jiao'shi 双角式
'tun'you'li'shang'ti 臀有力上提
'xiong'shi 胸式
'zuo'gu'jia'zhong'xian 坐骨夹中线
