'a'shui'xiao'de 阿谁消得
'ai'bei'xi'zhen'huan'zuo'er 爱被西真唤作儿
'ai'huai'qian 矮槐前
'ai'jun'cai'qi'liang'ju'quan 爱君才器两俱全
'ai'shi'gu'diao 哀时古调
'ai'xian'wei'zhu'zuo'yi'liang 哀弦危柱作伊凉
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'an'shang'chun 暗伤春
'an'shi'zai'dong'hai 安石在东海
'an'wei'fei'wo'xuan 安危费斡旋
'an'xi'yi'ju'run 暗袭衣裾润
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'an'yao'ren'jing 岸遥人静
'an'yong'yin'qing'yuan'que 安用阴晴圆缺
'ao'nao'feng'qing 懊恼风情
'ba'biao'shen'you 八表神游
'ba'jian'zhuo'sheng'sheng'li'duan 拔剑斫绳绳立断
'ba'jiu'he'ren'xin'dong 把酒何人心动
'ba'jiu'wen'qing'tian 把酒问青天
'ba'ma'xi'zhi'tian 八马戏芝田
'ba'pian'qi'yu 八篇奇语
'ba'sheng'gan'zhou'ji'can'liao'zi 八声甘州寄参寥子
'ba'zhan'qi'ran'bei'wang 把盏凄然北望
'bai'chi'fei'lan'ming'bi'jing 百尺飞澜鸣碧井
'bai'fa'bei'dang'shi 白发倍当时
'bai'fa'cang'yan 白发苍颜
'bai'fa'lu'lang'qing'wei'yi 白发卢郎情未已
'bai'fa'qian'jing'xiang'song 白发千茎相送
'bai'han'yu'long'wo'zi'xian 摆撼鱼龙我自闲
'bai'hu'tu 百虎图
'bai'jia'cang'ran'yan'yu'li 白甲苍髯烟雨里
'bai'jin'lao'zi'xu 白尽老髭须
'bai'jiu'wu'sheng'hua'xie'you 白酒无声滑泻油
'bai'jiu'xin'kai'jiu'yun 白酒新开九酝
'bai'ju'yi 白居易
'bai'ma'zao'diao'liu'bu'zhu 白马皂貂留不住
'bai'nian'li 百年里
'bai'nian'qiang'ban 百年强半
'bai'she'wu'yan'tao'li'jin 百舌无言桃李尽
'bai'shou'wang'ji 白首忘机
'bai'shou'xiang'kan'ni'nai'he 白首相看拟奈何
'bai'sui'chi'wan'tui'bu'dao 百岁痴顽推不倒
'bai'tou'xiang'dui'gu'yi'ran 白头相对故依然
'bai'xue'fei'luan 白雪飞乱
'bai'xue'qing'ci'chu'zuo'jian 白雪清词出坐间
'bai'yun'jian 白云间
'bai'yun'xiang'li'you'wen'rou 白云乡里有温柔
'bai'zi'liu'su 百子流苏
'ban'hao'chun'shui'yi'cheng'hua 半壕春水一城花
'ban'jing'ya'xi'que 半惊鸦喜鹊
'ban'jun'you'du 伴君幽独
'ban'kong'xiao'gu 半空箫鼓
'ban'luo'mei'hua'wan'mian'xiang 半落梅花婉娩香
'ban'nian'mei'lv'wei'ceng'kai 半年眉绿未曾开
'ban'sheng'tan'zhi'sheng'zhong 半生弹指声中
'ban'ye'yin'shan'shang'ji'su 半夜银山上积苏
'bang'hua'mian'you'can'hong 谤花面有惭红
'bang'ren'xian'jue 傍人先觉
'bao'ban'zhong'hua'jiao'yu'jie 包办中华教育界
'bao'dao'jin'chai'zhui'ye 报道金钗坠也
'bao'en'ying'bu'yong'she'zhu 报恩应不用蛇珠
'bao'hu'ci 暴虎辞
'bao'shen'wei'ke'jiao 保身未可骄
'bao'su'qin'du'xiang 抱素琴独向
'bao'xin'qing 报新晴
'bao'yao'qin'xun'chu'xin'yun 抱瑶琴寻出新韵
'bao'zhe'ju'xiang'hua 抱着俱香滑
'bei'deng'tou'wen 背灯偷揾
'bei'di'yi'wen'xin'gui'ku 北地已闻新鬼哭
'bei'feng'liu'shui 悲风流水
'bei'feng'ying'yu'liu'zhu'hua 背风迎雨流珠滑
'bei'ge'yan'zhao'yi'xiao'chen 悲歌燕赵已消沉
'bei'gu'shan'qian'san'mian'shui 北固山前三面水
'bei'gui'hong 背归鸿
'bei'ke'ming'chao'gui'qu'yan'nan'xiang 北客明朝归去雁南翔
'bei'ke'you'lai'chu'wei'shi 北客有来初未识
'bei'ren'tou'gai'xiao'peng'shan 背人偷盖小蓬山
'bei'ru'qu'zou'zhen'huang'zou 被汝趋走真荒陬
'bei'shan'qing 北山倾
'bei'wang'ping'chuan 北望平川
'bei'wang'ping'yuan 北望平原
'bei'xing'dao'shou'xiu'ci'que 杯行到手休辞却
'ben'bu'tong'yan 本不通言
'ben'fei'you'yi 本非有意
'ben'lai'wan'xia'ting'qu'qian 奔来腕下听驱遣
'bi'ci'bu'lun'qian'shu 彼此不论钱数
'bi'ci'wang'xing'dao'er'ru 彼此忘形到尔汝
'bi'dian'sha'chu 碧簟纱厨
'bi'lian'tian 碧连天
'bi'qiong'shu'yong'qing'luo'ji 碧琼梳拥青螺髻
'bi'sha'chuang'xia'shui'chen'yan 碧纱窗下水沉烟
'bi'sha'wei'lou'xian'chan'yu 碧纱微露纤掺玉
'bi'shan'ying'li'xiao'hong'qi 碧山影里小红旗
'bi'shang'long'she'fei'dong 壁上龙蛇飞动
'bi'shu'bu'ke'jian 彼姝不可见
'bi'xue'yan'jin'cheng'chun'qiu 笔削严谨成春秋
'bi'yue'qiong'zhi'kong'ye'ye 璧月琼枝空夜夜
'bian'ce'shan'yue'ru'xiong'huai 鞭策山岳入胸怀
'bian'cheng'xing'xie'jiang'jia'li 便乘兴携将佳丽
'bian'chui'san'mei'jian'yi'dian'chun'zhou 便吹散眉间一点春皱
'bian'gai'chun'gong 便丐春工
'bian'nan'wang 便难忘
'bian'qiao'cui 便憔悴
'bian'shang'yu'tang'jin'que 遍上玉堂金阙
'bian'shi'da'zhe 便是达者
