'chen'yi'yin'fan'gong'xing'shi 陈毅吟反攻形势
'chen'yi'you'tai'hang'shan'xi'xing'zu'xue 陈毅由太行山西行阻雪
'chen'yi'zhong'qiu 陈毅中秋
'chen'yi'zhu'dong'lao'liu'xun'da'qing 陈毅祝董老六旬大庆
'chen'yi'zhu'liu'bo'cheng'jiang'jun 陈毅祝刘伯承将军
'chen'yun'kai'cao'di'xing 陈云开草地行
'cheng'bai'xing'wang'yi'ju'qi 成败兴亡一局棋
'cheng'gong 成功
'cheng'ji'tu'ji'wei'hua'bei 乘机突击围华北
'cheng'ren'you'zhi'hua'ying'bi 成仁有志花应碧
'cheng'zhu'ping'liao'ban'bi'tian 撑住平辽半壁天
'chi'bo'tiao'tiao'ren'qu'liu 赤膊条条任去留
'chi'dan'wei'jiang'lai 赤胆为将来
'chi'qu'gan'ru'ji'jing'di 驰驱甘入棘荆地
'chi'xing'xiao'chu'yuan 迟行笑褚渊
'chi'zhi'fei'yang'gu'cheng'tou 赤帜飞扬古城头
'chong'guang'zu'guo'jie'yu'hui 重光祖国借余辉
'chong'jian'ci'qian'kun 重建此乾坤
'chong'tian'zhuang'zhi'fu'fei'peng 冲天壮志付飞鹏
'chong'zheng'he'shan 重整河山
'chou'an'ke'yi'zhu'long'tou 筹安客意住龙头
'chu'bao'an'liang'ze'zai'jian 除暴安良责在肩
'chuan'bian'jun'shu'yan'zi'xie 传遍军书雁字斜
'chuan'dan'xue'fei'ren'ru'ma 传单雪飞人如麻
'chuang'guo'chong'chong'guan'du'xian 闯过重重关渡险
'chui'lao'qing'ying'liao'hai'qu 垂老请缨辽海去
'chui'liu'ru'yao'yu'man'wu 垂柳如腰欲曼舞
'chun'feng'zuo'tai'yi'mei'ren 春风作态已媚人
'chun'guang'can'lan'shu'qiu'feng 春光灿烂倐秋风
'chun'man'ren'jian'jin'zi'you 春满人间尽自由
'ci'feng'rui'li'ke'li'ting 词锋锐利可犁庭
'ci'jia'wan'li'fu'lian'pian 辞家万里赋联翩
'ci'mu'shang'qian'fang 辞母上前方
'ci'ri'san'jun'qi'tong'ku 此日三军齐痛哭
'ci'shu'zhi'jin'liang'qian'zai 此树至今两千载
'ci'yi'qu'yuan'li'jia'men 此一去远离家门
'cong'rong'mo'fu'shao'nian'tou 从容莫负少年头
'cong'shi'wan'li'wai 从师万里外
'cui'mu'xing'shan'zhong'ji'mo 毳幕腥膻终寂寞
'cun'cun'min'bing'nao 村村民兵挠
'cuo'e'xi'yan'shi 嵯峨兮岩石
'da'dao'jiang'jie'shi 打倒蒋介石
'da'dao'lie'qiang'chu'jun'fa 打倒列强除军阀
'da'di'zheng'dang'qian 大敌正当前
'da'di'zhui'jie'dang'ji'duan 大敌追截当机断
'da'gui'xiao'gui'xiu'jin'lai 大鬼小鬼休进来
'da'hao'he'shan'yi'fan'ou 大好河山一泛鸥
'da'he'wu'shi'yi'kan'jing 大和武士亦堪旌
'da'lu'long'she'qi 大陆龙蛇起
'da'tong'shi'jie'meng'you'you 大同世界梦悠悠
'da'xiao'bu'tong'deng 大小不同等
'da'zhong'he'suo'ju 大众何所惧
'dai'biao'si'wan'wan 代表四万万
'dai'dao'bai'hua'qi'fang'ri 待到百花齐放日
'dai'liao'chang'jie'xing 带镣长街行
'dai'wo'ru'jia'bin 待我如嘉宾
'dan'zhi'jiu'zhong'guo 但知救中国
'dang'ge'han'su'wu 当歌汉苏武
'dang'jin'kang'wo'ri 当今抗倭日
'dang'nian'fu'ji'chu'kui'guan 当年负笈出夔关
'dang'nian'fu'lao'shou'qi'jing 当年父老授旗旌
'dang'nian'ping'hong'ze 当年平洪泽
'dang'nian'xiao'li'xian'jiang'zhou 当年小吏陷江州
'dang'ping'wo'kou'qi'you'gao 荡平倭寇气犹高
'deng'gao'qiao'shou'wang 登高翘首望
'di'chu'chen'gou'jie 涤除尘垢洁
'di'guo'zhu'yi'si'chun'dong 帝国主义思蠢动
'di'hou'guo'zhi'guang 敌后国之光
'di'hou'ji'jing'shu'zhan'si 敌后几经殊战死
'di'jun'dan'qi'sang 敌军胆气丧
'di'xia'yu'zhan'ni 低下欲沾泥
'diao'chong'wei'mi'ju 雕虫惟觅句
'ding'qu'bao'ri'fan'dong'jing 定驱暴日返东京
'ding'you'jia'yin'qi'ba'dong 定有佳音起巴东
'dong'bei'lin'luo'qiao'an'pai 东北林罗巧安排
'dong'bi'wu'du'can'zuo'you'huai 董必武读参座有怀
'dong'bi'wu'he'ye'can'mou'zhang'yun 董必武和叶参谋长韵
'dong'bi'wu'qing'ming'hou'yi'ri 董必武清明后一日
'dong'gong'shi'chu'xiong 董公实楚雄
'dong'jiang'ren'wu'gou'xiang'si 东江人物够相思
'dong'ting'zheng'yuan'quan 洞庭证源泉
'dong'ya'zheng'fei'long 东亚正飞龙
'dong'yuan'qun'zhong'lai'xiong'cai 动员群众赖雄才
'dou'wei'gong'nong'jie'fang'duo 都为工农解放多
'dou'yi'shi'nian'qian 陡忆十年前
'dou'zai'tie'ti'jian'ta'zhong 都在铁蹄践踏中
'du'cai'xia'tong'die 独裁下通牒
'du'fu'you'xi'qiang 独夫犹阋墙
'du'juan'ru'er'su'chun'feng 杜鹃入耳诉春风
'du'tao'shi'jiang'tou'lu'bao'zhong'hua 杜涛誓将头颅报中华
'du'zhan'ji'han'you'yi'qiu 独战饥寒又一秋
'duan'jian'zheng'shan'dao'chu'jia 短剑征衫到处家
'duan'lian'xin'feng'shi'di'tou 锻炼新锋试敌头
'duo'shou'ping'feng'lang 舵手平风浪
'e'mo'zheng'han'xiao 恶魔正憨笑
'er'jin'kuai'bai'tou 而今快白头
'er'jin'sheng'chan'zhi'fu'ke 而今生产执斧柯
'er'jin'ta'mei'jiang 而今挞美蒋
'er'jin'zhi'he'meng'zhong'yao 而今只合梦中邀
'er'zhe'wei'jun'ze 二者唯君择
'fa'jun'jiang'shuai'wang'cheng'qiang 法军将帅枉称强
'fa'xi'kun'shou'pin'gu'zhu 法西困兽拼孤注
'fan'dong'ming'nan'tao 反动命难逃
'fan'e'fan'gong'zi'xiao'ran 反俄反共自嚣然
'fan'gong'chou'su'zi'qu'wang 反共仇苏自取亡
'fan'gong'hong'liu'qi'hui'ri 反共洪流齐汇日
'fan'gong'qin'ying'yi'hen'zai 反共亲英遗恨在
'fan'gong'xing'shi'jian'yuan'lue 反攻形势见远略
'fan'gong'yin'mou'jian'wan'nan 反共阴谋见皖南
'fan'xing'dian'dian'ying'xiong'duo 繁星点点英雄多
'fan'yuan'dao'bei'fa 反袁到北伐
'fang'you'ren'wen'yuan 访友人文渊
'fang'zhi'min'yong'zhu 方志敏咏竹
'fang'zhi'ta'jian'gao 方知塔尖高
'fei'bian'quan'qiu'cheng'shuo'guo 飞遍全球成硕果
'fei'sheng'zhen'xiang'qun'lin'zhong 飞声振响群林中
'fei'tong'ze'liu'xin'ti'ruo 非同泽柳新稊弱
'fen'dou'yu'jun'tong 奋斗与君同
'fen'fei'bu'de'yi'si'qi 奋飞不得亦思齐
'fen'qi'zi'wei'zhan 奋起自卫战
'fen'wo'xia'zhong'jian 奋我匣中剑
'feng'huo'bian'hua'xia 烽火遍华夏
'feng'pei'le'cheng'shang 丰沛乐称觞
'feng'shuang'li'jin'zhi'nan'mo 风霜历尽志难磨
'feng'shuang'zi'li'liu'xin'yun 风霜字里留新韵
'feng'si'zhan'pao'yun'pi'jian 风撕战袍云披肩
'feng'xue'yan'men'dao 风雪雁门道
'feng'yu'jiao'jia'bing'shuang'xue 风雨交加冰霜雪
'feng'yu'jie'tong'zhou 风雨结同舟
'feng'yu'song'zheng'chuan 风雨送征船
'feng'yun'di'hou'xin'min'zhu 风云敌后新民主
'feng'yun'lei'dian'zou'chuan'suo 风云雷电走穿梭
'feng'zi'han'ren'ren'zi'nuan 风自寒人人自暖
'fu'chen'lei'zhuan'peng 浮沉类转蓬
'fu'di'chuan'qi'sheng 伏地传其声
'fu'hu'fu'xiang'long 伏虎复降龙
'fu'lao'xiang'qin 父老乡亲
'fu'ri'zhuo're'xiong'si'huo 伏日灼热熊似火
'fu'tang'dao'huo'wo'dang'xian 赴汤蹈火我当先
'fu'xi'shui'pai 凫戏水拍
'fu'xing'gao'zhao'gu'shen'zhou 福星高照古神州
'fu'yao'shi'zhang'yi 扶摇始张翼
'fu'yun'fu'gui'bu'ru'pin 浮云富贵不如贫
