'a'ban 阿半
'a'cao 阿漕
'a'zhen 阿真
'ai'zhi'tian'fu'luo'fan'tuan 爱知天妇罗饭团
'bai'xiong'kuan'si 白熊宽嗣
'ban'ka'la 班卡拉
'bei'duo'mo'wei'ji 北多摩危机
'bin'tian'shen'ye 滨添伸也
'bu'hua 步华
'chang'gu'chuan'fang'ming 长谷川芳明
'che'chi'bu'bi'deng 车持不比等
'cun'shang'yu'zai 村上裕哉
'da'ban'gui'jiang 大伴贵将
'da'chuan'tou 大川透
'da'pu'dong'hua 大浦冬华
'da'yuan'sha'ye'xiang 大原沙耶香
'da'zhong'ming'fu 大冢明夫
'dan'di'dian'zhang 丹迪店长
'de'hong'zao'ji 德弘早纪
'dong'di'hong'shu 东地宏树
'dong'jing'da'jue'zhan 东京大决战
'dou'qian'dai 豆千代
'e'yu 鳄鱼
'gang'shan'mo'gui 冈山魔鬼
'gao'qiao'shen'ye 高桥伸也
'gong'ze'zheng 宫泽正
'gu'cheng'men'zhi'fan 古城门志帆
'gu'mu'wang 古木望
'guan'zhi'yi 关智一
'heng'shan'zhi'zuo 横山智佐
'hua'shou'you'mei'li 花守由美里
'ji'dao 极道
'jia'zhou'qi'shi 甲胄骑士
'jie'huo'long'zhi'jie 芥火龙之介
'jie'ji'bei 结季贝
'jin'dao'yi'san 津岛一三
'jin'jing'mei'xiang 金井美香
'jin'ti 襟替
'jiu'chuan'ling 久川绫
'jiu'gui'wen'luo 九鬼温罗
'jiu'tun'tong'zi 酒吞童子
'jiu'tun'yi'pai 酒吞一派
'ju'zhi'nai 菊志乃
'lai'hu'chu'zhi 濑户初枝
'lai'hu'kan'tai'lang 濑户勘太郎
'li'xiang'zi 理香子
'ling'ben'ji'zi 铃本纪子
'ling'ben'wen 铃本文
'ling'lu'you'gui 铃鹿友龟
'long'yan 龙彦
'ma'he'yun'zhuan 马赫运转
'mei'zuo'tao 美作桃
'meng'zhe 猛者
'ming'yu'zhu'hui'ye 名余竹辉夜
'ming'yu'zhu'yue'guang 名余竹月光
'mo'cha'lv 抹茶绿
'mu'cun'zhu'li 木村珠莉
'nei'teng'you'hai 内藤有海
'ni'shan'cang'zhi'jie 籾山藏之介
'qi'teng'ci'lang 齐藤次郎
'qi'teng'gui'mei'zi 齐藤贵美子
'qi'yuan'jia'bu'hua'jie 祇园甲部花街
'ri'gao'li'cai 日高里菜
'ri'ji'ding'tui'jin'zhe 日吉町推进者
'san'chong'mo'tuo 三重摩托
'san'hao'an'fu 三好安夫
'sen'you'ri'xiang'dai 森友日向代
'sen'you'wang'wei 森友望未
'sen'you'you'shou 森友友守
'shan'ben'xiang'tai 山本祥太
'shan'xia'da'hui 山下大辉
'shang'tian'li'nai 上田丽奈
'shao'tuan'zi'dian 烧团子店
'shen'su'shou'li'jian 神速手里剑
'sheng'sheng'zhen'sha'zi 胜生真沙子
'shi'qin'ba 辻亲八
'shi'zuo'zhi'ma 石作志麻
'shou'zhong'hong'dao 手冢弘道
'shuang'ta'qi'shi'tuan 双塔骑士团
'shui'gu'you'zi 水谷优子
'suo'ze'zong'tong 所泽总统
'teng'cun'bu 藤村步
'teng'yuan'chun 藤原春
'teng'yuan'tao 藤原桃
'tian'xian'sheng 田先生
'tian'zhong'dun'zi 田中敦子
'wan'zi 万子
'wang'zhu 望助
'wu'ji'pa'da'pa'da 舞妓啪嗒啪嗒
'wu'qi'shi'nv'di 武器使女帝
'wu'shi'lan'yu'mei 五十岚裕美
'wu'tan 呜炭
'xi'cun'zhi'dao 西村知道
'xi'gu'jia'zheng 细谷佳正
'xiang'feng'yi 响逢衣
'xiao'ban'jie'ji'nai 小坂结季奈
'xiao'da 小达
'xiao'ji 小吉
'xiao'lan 小懒
'xiao'mi 小咪
'xiao'xi'ke'xing 小西克幸
'xiao'ze'ya'li 小泽亚李
'xiao'zhen 小真
'xiu'luo'che'chi 修罗车持
'xuan'zhuan'shao'nv 旋转少女
'yi'he'ren'zhe 伊贺忍者
'yi'teng'jing 伊藤静
'yi'tiao'mei'sha 一条美沙
'yin'wu'you'xiang'li 音无由香里
'yin'yu'xing'ji 音羽幸吉
'yong'zhong'tuo'ma 永冢拓马
'you'mei 由美
'yu'de'yuan 宇德园
'yu'de'zhen'cha'wei 宇德真茶未
'yu'hao'cun 御好村
'yu'hu'gong'fang 鱼虎工房
'yu'hu'ji'zi 鱼虎姬子
'yu'hu'shou 鱼虎守
'yu'yuan'chun'xiang 御园春香
'yu'yuan'qian'ling 御园千绫
'yu'yuan'qiu 羽原秋
'yue'guang'shi 月光石
'zao'jian'sha'zhi 早见沙织
'zeng'tian'you'ji 增田由纪
'zhan'dui'pian 战队片
'zhen'li'fu 真理夫
'zhen'tang'gui 真堂圭
'zhi'xing'jiu'ren'zi 执行玖仁子
'zhong'tian'li'sha 种田梨沙
'zhong'yuan'ma'yi 中原麻衣
'zi'jing'tuan 自警团
'zuo'teng'zou'mei 佐藤奏美
'zuo'zuo'jian'tai 佐佐健太
