'bin'qi 滨崎
'che'shui 澈水
'chen'feng 辰风
'du'ren 渡刃
'feng'chuan'zhang'lao 丰川长老
'feng'jian 风间
'han'cai'yi 韩彩翼
'he'tian'zhang'lao 鹤田长老
'hu'wang 虎王
'huang'fu'cheng 皇甫成
'jia'hu 加护
'jing'ye'an'xin 京野暗心
'jiu'li 久里
'ke'lie 柯烈
'leng'bing'lan 冷冰蓝
'leng'feng 冷锋
'li'an 黎安
'lin'ke'yi 林可依
'lu'yi'chen 陆毅晨
'mu'shen 幕神
'nan'gong'ning'wei 南宫凝为
'nei'teng'zhang'lao 内藤长老
'ruo'song 若松
'sen'jia'zi'you 森嘉紫幽
'sheng'guang'bai'hu 圣光白虎
'shi'wang 狮王
'si'dai'lang'hou 四代狼后
'si'dai'lang'wang 四代狼王
'si'mei 斯美
'teng'yuan'zhang'lao 藤原长老
'xiao'gen'ban 小跟班
'xiao'lin 小林
'xue'mei'ao'xue 血魅傲雪
'yin'nuan'xun 银暖薰
