'ba'ge 八戈
'ba'wei 八微
'ba'wei 八未
'ba'wu 八物
'ba'yu 八语
'bang'pang'bing'ming 帮滂並明
'chan'tong'yong 产同用
'chen'zi'fu'jian'xin'yun 龀字附见焮韵
'chen'zi'fu'jian'yin'yun 龀字附见隐韵
'dai'tong'yong 代同用
'dang'tong'yong 宕同用
'dang'tong'yong 荡同用
'de'tong'yong 德同用
'deng'deng'deng'de 登等嶝德
'deng'tong'yong 嶝同用
'deng'tong'yong 登同用
'deng'tong'yong 等同用
'deng'you'hou'you 登尤侯幽
'dong'dong'song'wu 东董送屋
'dong'dong'zhong'jiang 东冬锺江
'dong'song'wo 冬送沃
'dong'zhong'jiang'zhi 董肿讲纸
'dong'zi'fu'jian'zhong'yun 湩字附见肿韵
'du'yong 独用
'duan'tou'ding'ni 端透定泥
'duo'tong'yong 铎同用
'er'dong 二冬
'er'shi'ba'han 二十八翰
'er'shi'ba'he 二十八盍
'er'shi'ba'shan 二十八山
'er'shi'ba'xian 二十八狝
'er'shi'ba'yan 二十八严
'er'shi'er'hen 二十二很
'er'shi'er'qin 二十二覃
'er'shi'er'xi 二十二昔
'er'shi'er'yuan 二十二元
'er'shi'er'zhun 二十二稕
'er'shi'fei 二十废
'er'shi'jiu'fan 二十九凡
'er'shi'jiu'huan 二十九换
'er'shi'jiu'xiao 二十九篠
'er'shi'jiu'ye 二十九葉
'er'shi'liu'chan 二十六产
'er'shi'liu'huan 二十六桓
'er'shi'liu'hun 二十六慁
'er'shi'liu'ji 二十六缉
'er'shi'liu'xian 二十六咸
'er'shi'mo 二十陌
'er'shi'qi'he 二十七合
'er'shi'qi'hen 二十七恨
'er'shi'qi'shan 二十七删
'er'shi'qi'xian 二十七衔
'er'shi'qi'xian 二十七铣
'er'shi'ruan 二十阮
'er'shi'san'han 二十三旱
'er'shi'san'hun 二十三魂
'er'shi'san'tan 二十三谈
'er'shi'san'wen 二十三问
'er'shi'san'xi 二十三锡
'er'shi'si'hen 二十四痕
'er'shi'si'huan 二十四缓
'er'shi'si'xin 二十四焮
'er'shi'si'yan 二十四盐
'er'shi'si'zhi 二十四职
'er'shi'wen 二十文
'er'shi'wu'de 二十五德
'er'shi'wu'han 二十五寒
'er'shi'wu'shan 二十五潸
'er'shi'wu'tian 二十五添
'er'shi'wu'yuan 二十五愿
'er'shi'yi'hun 二十一混
'er'shi'yi'mai 二十一麦
'er'shi'yi'qin 二十一侵
'er'shi'yi'xin 二十一欣
'er'shi'yi'zhen 二十一震
'er'shi'you 二十幽
'er'song 二宋
'er'wo 二沃
'er'xian 二仙
'er'zhong 二肿
'fa'tong'yong 乏同用
'fan'fan'fan'fa 凡范梵乏
'fan'tong'yong 凡同用
'fan'tong'yong 梵同用
'fan'tong'yong 范同用
'fei'fu'feng'wei 非敷奉微
'gan'tong'yong 敢同用
'ge'guo'guo 戈果过
'ge'jia'ge 歌哿箇
'ge'tong'yong 戈同用
'geng'geng'jing'mo 庚梗敬陌
'geng'geng'zheng'mai 耕耿诤麦
'geng'jing'tong'yong 耿静同用
'geng'qing'qing'zheng 耕清青蒸
'geng'qing'tong'yong 耕清同用
'guai'jue'tong'yong 怪夬同用
'guang'yun 广韵
'guang'yun'du'yong'tong'yong'si'sheng'biao 广韵独用同用四声表
'guo'tong'yong 果同用
'guo'tong'yong 过同用
'hai'hai'dai 咍海代
'hai'tong'yong 海同用
'hai'tong'yong 骇同用
'han'han'han'he 寒旱翰曷
'han'huan'shan'shan 寒桓删山
'hao'hao'hao 豪皓号
'he'tong'yong 盍同用
'he'zi'fu'jian'mei'yun 麧字附见没韵
'hen'hen'hen 痕很恨
'hou'hou'hou 侯厚候
'hou'you'tong'yong 侯幽同用
'hou'you'tong'yong 候幼同用
'hou'you'tong'yong 厚黝同用
'huan'huan'huan'mo 桓缓换末
'huan'tong'yong 换同用
'huan'tong'yong 桓同用
'huan'tong'yong 缓同用
'hui'hui'dui 灰贿队
'hun'hen'tong'yong 混很同用
'hun'hen'tong'yong 魂痕同用
'hun'hun'hun'mo 魂混慁没
'ji'tong'yong 祭同用
'jia'jie'hui'hai 佳皆灰咍
'jia'xie'gua 佳蟹卦
'jian'tong'yong 监同用
'jian'tong'yong 裥同用
'jian'xi'qun'yi 见溪群疑
'jiang'jiang'jiang'jue 江讲降觉
'jie'hai'guai 皆骇怪
'jie'tong'yong 皆同用
'jing'qing'cong'xin'xie 精清从心邪
'jiu'ma 九麻
'jiu'qi 九迄
'jiu'yu 九御
'jiu'yu 九鱼
'jiu'yu 九麌
'kan'tong'yong 槛同用
'kan'tong'yong 阚同用
'liu'hao 六豪
'liu'shi'fan 六十梵
'liu'shu 六术
'liu'zhi 六止
'liu'zhi 六脂
'liu'zhi 六至
'ma'ma'ma 麻马祃
'ma'yang'tang'geng 麻阳唐庚
'mai'xi'tong'yong 麦昔同用
'mo'tong'yong 末同用
'mo'tong'yong 模同用
'mo'tong'yong 没同用
'mu'mu'mu 模姥暮
'mu'tong'yong 姥同用
'mu'tong'yong 暮同用
'qi'ge 七歌
'qi'ji'ji 齐荠霁
'qi'wei 七尾
'qi'zhi 七之
'qi'zhi 七志
'qi'zhi 七栉
'qin'gan'kan'he 覃感勘合
'qin'qin'qin'ji 侵寝沁缉
'qin'qin'tan'yan 侵覃谈盐
'qing'jing'jin'xi 清静劲昔
'qing'jiong'jing'xi 青迥径锡
'qu'sheng 去声
'ru'sheng 入声
'san'jiang 三讲
'san'shi'ba'ge 三十八箇
'san'shi'ba'geng 三十八梗
'san'shi'er'hao 三十二皓
'san'shi'er'xia 三十二狎
'san'shi'er'xian 三十二霰
'san'shi'jian 三十谏
'san'shi'jiu'geng 三十九耿
'san'shi'jiu'guo 三十九过
'san'shi'liu'xiao 三十六效
'san'shi'liu'yang 三十六养
'san'shi'liu'zi'mu 三十六字母
'san'shi'qi'dang 三十七荡
'san'shi'qi'hao 三十七号
'san'shi'san'jia 三十三哿
'san'shi'san'xian 三十三线
'san'shi'san'ye 三十三业
'san'shi'si'fa 三十四乏
'san'shi'si'guo 三十四果
'san'shi'si'xiao 三十四啸
'san'shi'tie 三十帖
'san'shi'wu'ma 三十五马
'san'shi'wu'xiao 三十五笑
'san'shi'xiao 三十小
'san'shi'yi'jian 三十一裥
'san'shi'yi'qia 三十一洽
'san'shi'yi'qiao 三十一巧
'san'xiao 三萧
'san'yong 三用
'san'zhong 三锺
'san'zhu 三烛
'shan'chan'jian'xia 山产裥鎋
'shan'shan'jian'xia 删潸谏黠
'shan'tong'yong 山同用
'shang'ping'sheng 上平声
'shang'sheng 上声
'shi'ba'dui 十八队
'shi'ba'wen 十八吻
'shi'ba'yao 十八药
'shi'ba'you 十八尤
'shi'ba'zhun 十八谆
'shi'er'geng 十二庚
'shi'er'he 十二曷
'shi'er'ji 十二霁
'shi'er'qi 十二齐
'shi'er'xie 十二蟹
'shi'jiu'dai 十九代
'shi'jiu'duo 十九铎
'shi'jiu'hou 十九侯
'shi'jiu'yin 十九隐
'shi'jiu'zhen 十九臻
'shi'liu'guai 十六怪
'shi'liu'hai 十六咍
'shi'liu'xie 十六屑
'shi'liu'zhen 十六轸
'shi'liu'zheng 十六蒸
'shi'mu 十姥
'shi'qi'deng 十七登
'shi'qi'jue 十七夬
'shi'qi'xue 十七薛
'shi'qi'zhen 十七真
'shi'qi'zhun 十七準
'shi'san'geng 十三耕
'shi'san'hai 十三骇
'shi'san'ji 十三祭
'shi'san'jia 十三佳
'shi'san'mo 十三末
'shi'si'hui 十四贿
'shi'si'jie 十四皆
'shi'si'qing 十四清
'shi'si'tai 十四泰
'shi'si'xia 十四黠
'shi'wu'gua 十五卦
'shi'wu'hai 十五海
'shi'wu'hui 十五灰
'shi'wu'qing 十五青
'shi'wu'xia 十五鎋
'shi'yang 十阳
'shi'yi'ji 十一荠
'shi'yi'mo 十一模
'shi'yi'mo 十一没
'shi'yi'mu 十一暮
'shi'yi'tang 十一唐
'shi'yu 十虞
'shi'yu 十遇
'shi'yue 十月
'shu'zhi'tong'yong 术栉同用
'si'jiang 四江
'si'jiang 四绛
'si'jue 四觉
'si'shi'ba'deng 四十八嶝
'si'shi'ba'gan 四十八感
'si'shi'er'dang 四十二宕
'si'shi'er'zheng 四十二拯
'si'shi'jing 四十静
'si'shi'jiu'gan 四十九敢
'si'shi'jiu'you 四十九宥
'si'shi'liu'jing 四十六径
'si'shi'liu'you 四十六黝
'si'shi'ma 四十祃
'si'shi'qi'qin 四十七寝
'si'shi'qi'zheng 四十七证
'si'shi'san'deng 四十三等
'si'shi'san'jing 四十三敬
'si'shi'si'you 四十四有
'si'shi'si'zheng 四十四诤
'si'shi'wu'hou 四十五厚
'si'shi'wu'jin 四十五劲
'si'shi'yi'jiong 四十一迥
'si'shi'yi'yang 四十一漾
'si'xiao 四宵
'si'zhi 四纸
'tan'gan'kan'he 谈敢阚盍
'tan'tong'yong 谈同用
'tang'dang'dang'duo 唐荡宕铎
'tang'tong'yong 唐同用
'tian'tian'tie 添忝帖
'tian'tong'yong 忝同用
'tian'tong'yong 添同用
'tian'xian'xian'yan 添咸衔严
'tie'tong'yong 帖同用
'tong'yong 同用
'wei'wei'wei 微尾未
'wen'wen'wen'wu 文吻问物
'wu'shi'ba'jian 五十八鑑
'wu'shi'er'qin 五十二沁
'wu'shi'er'xian 五十二豏
'wu'shi'hou 五十候
'wu'shi'jiu'yan 五十九酽
'wu'shi'liu 五十六
'wu'shi'qi'xian 五十七陷
