'a'er'min'ya'lu'lei'te 阿尔敏亚鲁雷特
'a'ni'li'ang'na'de 阿尼利昂纳德
'ai'er'wen'shi'mi'si 艾尔文史密斯
'ai'lu'duo 艾鲁多
'ai'lun'ye'ge'er 艾伦耶格尔
'bei'te'huo'er'de'hu'fo 贝特霍尔德胡佛
'bing'zhang 兵长
'bo'zha'te 波扎特
'duo'tuo'pi'ke'xi'si 多托匹克西斯
'fa'lan'zi 法兰兹
'han'ji'zuo'ye 韩吉佐耶
'han'na 汉娜
'he'li'si'ta'lan'si 赫里斯塔兰斯
'jun'da 君达
'kang'ni'si'pu'lin'ge 康尼斯普林格
'lai'na'bu'lang 莱纳布朗
'li'wei'er 利威尔
'ma'ke'bo'te 马可波特
'mi'ke'sa'ka'li'ya'si 米可萨卡利亚斯
'mi'li'wu'si'sai'mu'si'ji 米力伍斯赛姆斯基
'mi'na'ka'luo'lai'na 米娜卡罗莱纳
'nai'ke'ti'ya'si 奈克提亚斯
'ou'lu 欧鲁
'pei'te'la'la'lu 佩特拉拉鲁
'rang'ji'er'xi'si'tan 让基尔希斯坦
'sa'sha'bu'lao'si 萨莎布劳斯
'san'li'a'ke'man 三笠阿克曼
'tuo'ma'si'wa'ge'na 托马斯瓦格纳
'xiu'ci 修慈
'you'mi'er 尤弥尔
