'an'cheng 暗撑
'an'guan 暗管
'an'han 暗涵
'an'jian 暗间
'an'liang 暗梁
'an'ping'bao'gao 安评报告
'an'quan'ping'jia 安全评价
'an'zhu 暗柱
'an'zhu'pei'jin 暗柱配筋
'an'zhu'tu 暗柱图
'ba'liang 扒梁
'ba'qi'zhao 拔气罩
'ba'sang 拔磉
'bai'chi'deng 白炽灯
'bai'shui'ni 白水泥
'ban'cai 板材
'ban'di 板底
'ban'di'gang'jin 板底钢筋
'ban'ding 板顶
'ban'ding'gang'jin 板顶钢筋
'ban'hou 板厚
'ban'jin 板筋
'ban'mian 板面
'ban'pei'jin 板配筋
'ban'pei'jin'tu 板配筋图
'ban'qiu'xing'qiong'ding 半球形穹顶
'ban'shi'lou'ti 板式楼梯
'ban'shi'san're'qi 板式散热器
'ban'tiao'diao'ding 板条吊顶
'ban'tiao'mo'hui 板条抹灰
'ban'tu 板图
'ban'yan 板岩
'ban'ying'zhi'su'liao 半硬质塑料
'ban'yuan'tou'luo'ding 半圆头螺钉
'ban'yuan'xing'bi'kan 半圆形壁龛
'ban'zhi'jie'zhao'ming 半直接照明
'ban'zhu'jie'gou 板柱结构
'bang'za 绑扎
'bao'bi'gan'xi 薄壁杆系
'bao'bi'gang'guan 薄壁钢管
'bao'he'kong'qi'wen'du 饱和空气温度
'bao'he'tu 饱和土
'bao'hen 刨痕
'bao'hu'ceng 保护层
'bao'hu'fang'bao'deng'ju 保护防爆灯具
'bao'hu're'xiang'fa 保护热箱法
'bao'hua'ban 刨花板
'bao'jin'shu'pi 包金属皮
'bao'jing'fa 报警阀
'bao'jing'feng'ming'qi 报警蜂鸣器
'bao'jing'qi 报警器
'bao'kuang 抱框
'bao'po'qi'cai 爆破器材
'bao'shen'zhang 报审章
'bao'tou'liang 抱头梁
'bao'wen'ban 保温板
'bao'wen'cai'liao 保温材料
'bao'wen'ceng 保温层
'bao'wen'men 保温门
'bao'xian'gong'gu 保险公估
'bao'xian'xi'shu 保险系数
'bei'jia 杯架
'bei'jing'mu 背景幕
'bei'jing'zao'sheng 背景噪声
'bei'li'mian 北立面
'bei'li'mian 背立面
'bei'mian 背面
'ben'gou 本构
'ben'gou'guan'xi 本构关系
'ben'gou'mo'xing 本构模型
'ben'huang'xian'lv 苯磺酰氯
'beng'fang 泵房
'beng'keng 泵坑
'beng'song 泵送
'beng'song'fei 泵送费
'bi'ban 壁板
'bi'chu 壁橱
'bi'deng 壁灯
'bi'deng'jia 壁灯架
'bi'gua 壁挂
'bi'he'dian'qi 闭合电器
'bi'lei 避雷
'bi'lei'dai 避雷带
'bi'lei'qi 避雷器
'bi'lei'xi'tong 避雷系统
'bi'lei'zhen 避雷针
'bi'li'chi 比例尺
'bi'lu 壁炉
'bi'men'qi 闭门器
'bi're 比热
'bi'suan 笔算
'bi'xian'quan 避险权
'bi'zhi 壁纸
'bian'biao'gao 变标高
'bian'dian'suo 变电所
'bian'feng'liang'xi'tong 变风量系统
'bian'gang 扁钢
'bian'geng'tong'zhi 变更通知
'bian'guang'deng 变光灯
'bian'jie'mian 变截面
'bian'jie'tiao'jian 边界条件
'bian'kuang 边框
'bian'kuang'liang 边框梁
'bian'kuang'zhu 边框柱
'bian'liang 边梁
'bian'liu'qi 变流器
'bian'pei'dian'zhan 变配电站
'bian'pin'qi 变频器
'bian'su 变速
'bian'xing'feng 变形缝
'bian'xing'kong'zhi 变形控制
'bian'ya'qi 变压器
'bian'ya'qi'rong'liang 变压器容量
'bian'ya'qi'shi 变压器室
'bian'ya'qi'zu 变压器组
'bian'yuan'gou'jian 边缘构件
'bian'yuan'wen'he 边缘吻合
'bian'yuan'xiao'ying 边缘效应
'bian'zhe 变赭
'bian'zhi'xian 编织线
'bian'zhi'yi'ju 编制依据
'bian'zhi'zuo 边支座
'bian'zhu 边柱
'biao'gao 标高
'biao'hao 标号
'biao'zhi'zhao'ming'xi'tong 标志照明系统
'biao'zhun'ceng 标准层
'biao'zhun'ceng'ping'mian 标准层平面
'biao'zhun'da'yang 标准大样
'biao'zhun'dong'shen 标准冻深
'biao'zhun'gou'jian 标准构件
'biao'zhun'guang'yuan 标准光源
'biao'zhun'jie'mian 标准截面
'biao'zhun'she'ji 标准设计
'biao'zhun'shi 标准时
'biao'zhun'tu 标准图
'biao'zhun'yi'lan'biao 标准一览表
'biao'zhun'zhi 标准值
'biao'zhun'zu'he 标准组合
'bing'lian 并联
'bing'lian'dian'lu 并联电路
'bo'dong'sheng'xue 波动声学
'bo'duan'kai'guan 波段开关
'bo'feng'ban 搏缝版
'bo'fu'liang 薄腹梁
'bo'gang'ban 薄钢板
'bo'gu'jia 博古架
'bo'li 玻璃
'bo'li'ban 玻璃板
'bo'li'chuang 玻璃窗
'bo'li'gang 玻璃钢
'bo'li'jiao 玻璃胶
'bo'li'ma'sai'ke 玻璃马赛克
'bo'li'men 玻璃门
'bo'li'mu'qiang 玻璃幕墙
'bo'li'si 玻璃丝
'bo'li'si'bu 玻璃丝布
'bo'ruo'ceng 薄弱层
'bo'wen'guan 波纹管
'bo'xing'wa 波形瓦
'bo'zhi'tu'liao 薄质涂料
'bu'an'quan 不安全
'bu'ceng'jian'liang 布层间梁
'bu'chang 补偿
'bu'chang'dian'lu 补偿电路
'bu'chang'gui 补偿柜
'bu'chang'qi 补偿器
'bu'chang'shou'suo'hun'ning'tu 补偿收缩混凝土
'bu'deng'bian'jiao'gang 不等边角钢
'bu'deng'zhi'jiao'gang 不等肢角钢
'bu'dui'chen'ping'heng 不对称平衡
'bu'feng'bi'lou'ti 不封闭楼梯
'bu'jian'pu'zuo 补间铺作
'bu'liang'dao'ti 不良导体
'bu'qiang 补强
'bu'qiang'gang'jin 补强钢筋
'bu'ran'jie'gou 不燃结构
'bu'shang'ren'wu'mian 不上人屋面
'bu'xian 布线
'bu'xian'guan'dao 布线管道
'bu'xiu'gang 不锈钢
'bu'xiu'gang'ban 不锈钢板
'bu'xiu'gang'guan 不锈钢管
'cai'bu'jin 踩步金
'cai'du 彩度
'cai'guang'jun'yun'du 采光均匀度
'cai'guang'kou 采光口
'cai'guang'xi'shu 采光系数
'cai'guang'zhao 采光罩
'cai'liao'fen'pei'cun'fang 材料分配存放
'cang'ku'da'jian 仓库搭建
'cao'gang 槽钢
'cao'kou 槽口
'cao'sheng'zi 槽升子
'cao'tie 槽铁
'cao'xing'ke'yi'dong'jia 操行可移动架
'cao'zuo'dian'yuan 操作电源
'ce'hui 测绘
'ce'ji'lei 侧击雷
'ce'li'mian 侧立面
'ce'liang'diao'gan 测量吊杆
'ce'liang'fang'xian 测量放线
'ce'mian'cai'guang 侧面采光
'ce'mian'chui'zhi'du 侧面垂直度
'ce'shi'dian 测试点
'ce'shi'ka'zi 测试卡子
'ce'shi'tu 侧视图
'ce'tian'chuang 侧天窗
'ce'xiang'fan'she'sheng 侧向反射声
'ce'xiang'zhao'ming 侧向照明
'ce'yi 侧移
'ceng'gao 层高
'ceng'gao'biao 层高表
'ceng'jian'liang 层间梁
'ceng'jian'wei'yi'bi 层间位移比
'ceng'shu 层数
'ceng'ya'cai'liao 层压材料
'cha'ban 插板
'cha'jie'ban 插接板
'cha'jie'guan 插接管
'cha'jin 插筋
'cha'kou 插口
'cha'kou'jie'tou 插口接头
'cha'shou 叉手
'cha'tou 插头
'cha'tou'ban 插头板
'cha'tu 插图
'cha'xiao 插销
'cha'zhu'zao 叉柱造
'cha'zuo 插座
'chai'jian'bi 拆建比
'chai'mo 拆模
'chai'mu'ban 拆模板
'chai'tu 拆图
'chan'dong'hui'sheng 颤动回声
'chan'he'liao 掺合料
'chan'zhu'zao 缠柱造
'chang'di'lei'bie 场地类别
'chang'di'mian'ji 场地面积
'chang'di'tu 场地土
'chang'hu'xian'deng 长弧氙灯
'chang'kua 长跨
'chang'luo'xuan'guan'zhu'zhuang 长螺旋灌注桩
'chang'qi'gang'du 长期刚度
'chang'suo'gan 场所感
'chang'xi'bi 长细比
'chang'zhi'fa'guang 场致发光
'chang'zhi'fa'guang'deng 场致发光灯
'chao'chang 超长
'chao'chang'jie'gou 超长结构
'chao'gao 超高
'chao'gao'pin 超高频
'chao'jin 超筋
'chao'jin'chao'xian 超筋超限
'chao'jin'liang 超筋梁
'chao'wu'lei'dui'shuang'jiao'xian 超五类对双绞线
'chao'xian 超限
'che'jia'zi 坼架子
'che'liang'he'zai 车辆荷载
'chen'dian'chi 沉淀池
'chen'jiang 沉降
'chen'jiang'cha 沉降差
'chen'jiang'feng 沉降缝
'chen'tou'luo'shuan 沉头螺栓
'chen'tou'luo'si 沉头螺丝
'chen'tou'mu'luo'shuan 沉头木螺栓
'cheng'cha'guan 承插管
'cheng'cha'jie'tou 承插接头
'cheng'kong'dian'yuan 程控电源
'cheng'kong'qi 程控器
'cheng'mao'kun 程懋堃
'cheng'tai 承台
'cheng'tai'liang 承台梁
'cheng'xu'kai'guan 程序开关
'cheng'zai'li 承载力
'cheng'zai'long'gu 承载龙骨
'cheng'zhong 承重
'cheng'zhong'ge'qiang 承重隔墙
'cheng'zhong'jie'gou 承重结构
'cheng'zhong'qiang 承重墙
'cheng'zhong'qiang'jie'gou 承重墙结构
'cheng'zhong'zhuan'qiang 承重砖墙
'chi'bi 池壁
'chi'cun'xian 尺寸线
'chi'li'ceng 持力层
'chi'wei 鸱尾
'chong'fu 重复
'chong'fu'jie'di 重复接地
'chong'ji'dian'liu 冲击电流
'chong'jiao 虫胶
'chong'qi'jie'gou 充气结构
'chong'qie 冲切
'chong'qie'po'huai 冲切破坏
'chong'yan 重檐
'chou'cha'she'ding 抽查射钉
'chou'qi'beng 抽气泵
'chou'qi'feng'shan 抽气风扇
'chou'qi'ji 抽气机
'chou'qi'tong'feng 抽气通风
'chou'yang'fa'sheng'qi 臭氧发生器
'chu'cang'shi 储藏室
'chu'dian 触点
'chu'dian'ya'li 触点压力
'chu'ji 出际
'chu'ning 初凝
'chu'ping'mian 出平面
'chu'qi'kou 出气口
'chu'ru'kou 出入口
'chu'she 初设
'chu'shi'ji 除湿剂
'chu'shui'kou 出水口
'chu'xian'he 出线盒
'chu'xian'kou 出线口
'chu'xiu 除锈
'chu'you'chi 除油池
'chuan'bing'lian 串并联
'chuan'bing'lian'dian'lu 串并联电路
'chuan'ding 穿钉
'chuan'gan'qi 传感器
'chuan'guan 穿管
'chuan'kong'ban 穿孔板
'chuan'lian 串联
'chuan'lian'dian'chi'zu 串联电池组
'chuan'lian'dian'lu 串联电路
'chuan'lian'xian'quan 串联线圈
'chuan're 传热
'chuan'song'zhuang'zhi 传送装置
'chuan'xian'gong'cheng 穿线工程
'chuan'zhi 传质
'chuan'zi 椽子
'chuang'cha'xiao 窗插销
'chuang'ci'bao'jing 窗磁报警
'chuang'gui 窗轨
'chuang'jian'qiang 窗间墙
'chuang'jing 窗井
'chuang'kuang 窗框
'chuang'kuang'qiang 窗框墙
'chuang'mei 窗楣
'chuang'qiang'bi 窗墙比
'chuang'suo 窗锁
'chui'dai 垂带
'chui'dai'shi 垂带石
'chui'tai'gou'lan 垂台钩栏
'chui'yin 锤印
'chui'zhi'zhe'yang 垂直遮阳
'chun'shou'wan 纯受弯
'chun'yin 纯音
'ci'guan 瓷管
'ci'jia 瓷夹
'ci'jia'ban 瓷夹板
'ci'jia'bu'xian 瓷夹布线
'ci'jian 次间
'ci'ka'suo 磁卡锁
'ci'li'kai'guan 磁力开关
