'a'hu 阿虎
'ai'lei'zha'er'lian'dao 艾雷扎尔镰刀
'an'ye'xi'shi'nai 安野希世乃
'an'yuan'yang'gui 安元洋贵
'bai'fa'nv 白发女
'bai'mian'zhe 白面者
'bai'mu'shi 柏木实
'bai'pai'zi 白拍子
'bai'tian'shan 白天山
'ban'ben'zhen'ling 坂本真绫
'bi'yao 婢妖
'cang'yue'chao 苍月潮
'cang'yue'jia 苍月家
'cang'yue'xu'mo'zi 苍月须磨子
'cang'yue'zi'mu 苍月紫暮
'cao'tai'lang 草太郎
'chai'tian'xiu'sheng 柴田秀胜
'chang'fei'wan 长飞丸
'chao'yu'hu 潮与虎
'chong'guai 虫怪
'chu'yao'bing'qi 除妖兵器
'chuan'xin'jiao 穿心角
'dao'ye'shi 稻叶实
'de'ye'xin'er 德野信二
'dong'zhi'zhang'lao 东之长老
'dou'he'zi 斗和子
'du'gang'chun 杜纲纯
'du'gang'wu 杜纲悟
'fa'li'seng 法力僧
'fan'gang 饭纲
'fan'zhong'zhao'san 饭冢昭三
'fei'tou'man 飞头蛮
'feng'ban'liang'tai 逢坂良太
'feng'qi'ai'sheng 丰崎爱生
'fu'hu'bu 伏户步
'fu'jian'he'mei 富樫和美
'fu'xuan'yuan 芙玄院
'gao'mu'she 高木涉
'gao'yuan'cai'yang 高垣彩阳
'gong'ye'zhen'shou 宫野真守
'gu'chuan'deng'zhi'fu 古川登志夫
'guan'hu 管狐
'guan'shou'ri'lun 关守日轮
'guang'ba'ming'zong 光霸明宗
'gui'shan'yong 桧山勇
'ha'ma'ji'gou 哈玛机构
'hai'feng 海凤
'hai'zuo'tou 海座头
'he'lian'na'ma'ke'fu 赫莲娜马可夫
'he'luo 和罗
'hei'an'zhi'jian'xie'fa 黑暗制剑邪法
'hong'lian 红炼
'hou'ze 厚泽
'hou'ze'gong'zhi 厚泽恭治
'hua'xiang'zhi'gui 画像之鬼
'hua'ze'xiang'cai 花泽香菜
'huo'ren'sheng'ji'zhi'jian'fa 活人生祭制剑法
'jian'qi'xian'yi 间崎贤一
'jiang'chuan'yang'sheng 江川央生
'jing'shang'zhen'you'zi 井上真由子
'jing'yan 净眼
'jiu'yin 九印
'jue'mei 决眉
'la'ma 拉玛
'lang'chuan'da'fu 浪川大辅
'lei'shou 雷兽
'lei'xin 雷信
'li'xia 丽霞
'li'zi 礼子
'lian'you 鎌鼬
'ma'ke'pa'pu'luo'di 马可帕普洛帝
'ma'zi 麻子
'mao'ye'ai'yi 茅野爱衣
'mu'cun'ya'shi 木村雅史
'mu'ye'you'yi 牧野由依
'nan'li'you'xiang 南里侑香
'ni'ke'la'si'kai'si'te'la 尼可拉斯凯斯特拉
'ni'nan'zhe'zhi'jia 呢喃者之家
'pan'hui'mei 潘惠美
'pian'shan 片山
'po'mo'ling'mao 破魔灵矛
'qian'bao'lun 千宝轮
'qing'niao'xuan 青鸟轩
'qing'shui'li'sha 清水理沙
'qiu'ye'liu 秋叶流
'ren'li'yu'mei 仁礼裕美
'ri'liu'jian'liu 日留菅流
'ri'qi'yu'jiao 日崎御角
'san'mu'zhen'yi'lang 三木真一郎
'san'zhai'jian'tai 三宅健太
'sha'jia'ke'sha 沙加克沙
'shan'ben 山本
'she'le'shui'nai'xu 设乐水乃绪
'shi'lang 十郎
'shi'shi 食石
'shi'wu'lei'zheng'fa 十五雷正法
'shi'zhong'yun'sheng 石冢运升
'shou'hu'shen 守护神
'shou'mao 兽矛
'shou'shi'ke'mei 守矢克美
'shui'shu'nai'nai 水树奈奈
'si'mian'chang'ji 寺杣昌纪
'song'jing'mo'wei 松井摩味
'teng'tian'he'ri'lang 藤田和日郎
'teng'yuan'qi'zhi 藤原启治
'wei'chui 威吹
'wei'si'li 巍四里
'wei'xuan 伪眩
'wei'yu'gui 梶裕贵
'wu'xiong 雾雄
'xi'gu'jia'zheng 细谷佳正
'xiang'shang 香上
'xiao'shan'li'ye 小山力也
'xiao'song'wei'ke'zi 小松未可子
'xiao'xian 小贤
'xiong'luo 凶罗
'xu'chuan 旭川
'xu'mo'zi 须磨子
'xue'kua 血夸
'yi'gui 一鬼
'yi'long 义龙
'yin'xia 引狭
'yin'xia'wu'xiong 引狭雾雄
'ying'qu 鹰取
'ying'qu'ming'dai 鹰取明代
'ying'qu'wu'wei 鹰取武卫
'ying'qu'xiao'ye 鹰取小夜
'yong'ze'cai'jiao 永泽菜教
'you'gu'zhi'di 幽谷之地
'yu'sheng'dao'xiong 羽生道雄
'yu'sheng'hua'bo 羽生画伯
'yu'sheng'li'zi 羽生礼子
'yu'yao 鱼妖
'yun'wai'jing 云外镜
'zai'zhong'you 畠中祐
'zao'jian'sha'zhi 早见沙织
'ze'ren'zhe 责任者
'zhao'cang'ai'mei 沼仓爱美
'zhao'si'de'yu'sheng 找死的羽生
'zhao'ya 爪牙
'zhe'li'fu'mei'zi 折笠富美子
'zhen'tang'gui 真堂圭
'zhen'you'zi 真由子
'zhong'cun'ma'sha'zi 中村麻沙子
'zhong'cun'ma'zi 中村麻子
'zhong'cun'mi'ci 中村米次
'zhong'cun'you'yi 中村悠一
'zhong'dao'da'ye 中岛达也
'zhuo'ying 捉影
'zi'fu 字伏
'zi'long'jing 紫龙晶
'zi'mu 紫暮
'zu'zhou'zhi'zi 诅咒之子
'zuo'zuo'mu'wang 佐佐木望
