'a'er'feng'si 阿尔冯斯
'da'lao 大佬
'da'tuan 打团
'dai'xian 带线
'dai'xian'jing'ying 带线精英
'dian'fan'bao 电饭煲
'diao'xian 掉线
'fa'chuan 法穿
'fa'qiang 法强
'fa'xi 法吸
'fan'jia 反甲
'fei'xie 飞鞋
'fei'zhou'ren 非洲人
'fu'zhu 辅助
'ga'li'bang 咖喱棒
'gao'si 高斯
'gao'si'ta 高斯塔
'gong'cheng'shou 攻城兽
'gou'tou'long'shan 狗头龙闪
'guang'huan 光环
'hei'che 黑车
'hei'xue'ji 黑雪姬
'hong'ba'ba 红爸爸
'hua'ji'shou 滑稽兽
'ji'si'xiu'tei 姬丝秀忒
'ji'tan 祭坛
'ji'tan'gong 祭坛工
'jian'xin 剑心
'jie'geng 桔梗
'jiu'cai 韭菜
'kuang'wu 狂舞
'la'ji 辣鸡
'lan'ba'ba 蓝爸爸
'lao'si'ji 老司机
'lei'yan'long 雷演龙
'li'shun'si 李舜死
'liang'yi'shi 两仪式
'lie'yang 烈阳
'meng'meng 梦梦
'meng'xin 萌新
'mo'kang 魔抗
'ou'huang 欧皇
'ou'zhou'ren 欧洲人
'pao'che 炮车
'pao'jie 炮姐
'po'ren 破刃
'qi'hei 漆黑
'qi'zhi 旗帜
'qiang'wei'shuang'qiang 蔷薇双枪
'qiang'wu'di 强无敌
'qiu'zhang 酋长
'rou'si'na 肉丝娜
'san'lang 三狼
'san'li 三笠
'san'wan'jing'ji'yi'miao'tang 三万经济一秒躺
'sha'ye 沙耶
'shan'shan 闪闪
'shao'jia 烧甲
'shen'tan 神坛
'sheng'jian 圣剑
'sheng'jian'ta 圣剑塔
'sheng'yu 圣域
'shi'nai 诗乃
'shi'ren 食忍
'shi'tou'ren 石头人
'shi'zhi'ren'zhe 食之忍者
'shou'xi 首席
'si'bi'tao 撕逼套
'si'hei 四黑
'si'ji 死棘
'si'ma'san'gou 四马三狗
'si'ma'ying'xiong 司马英雄
'si'tu'zi 四兔子
'su'liao'che 塑料车
'tie'sui'ya 铁碎牙
'tong'ren 桐人
'tu'dou'fu'wu'qi 土豆服务器
'wan'ju'che 玩具车
'wu'chuan 物穿
'wu'he'qin'li 五河琴里
'xian'yu 咸鱼
'xiao'bing'lie'ren 小兵猎人
'xiao'can'bao 小残暴
'xiao'ji 小鸡
'xiao'mai 小埋
'xiao'yi'zi 小姨子
'xing'bao'qi'liao'zhan 星爆弃疗斩
'ye'qi 楪祈
'yi'fang 一方
'yi'ka'luo'si 伊卡洛斯
'yi'ke'sai'ting 一颗赛艇
'yi'su 移速
'you'ku'li'wu'de 优库里伍德
'yu'zhou 宇宙
'yu'zhou'ying'xiong'a'ke'man 宇宙英雄阿克曼
'yuan'ju'qiang 圆巨强
'zei'liu 贼溜
'zhan'chang'yuan'hei'yi 战场原黑仪
'zhan'fa 战法
'zhi'zhang 制杖
'zhuang'jia'che 装甲车
