'a'yu 阿喻
'ba'bao'nuo'mi'ya 八宝糯米鸭
'ba'wang'bie'ji 霸王别姬
'ba'xian'guo'hai'nao'luo'han 八仙过海闹罗汉
'ban'zai'xiang'shou 半载相守
'bao'zai'fan 煲仔饭
'bi'hai'cheng'kong 碧海澄空
'bi'lu'si 俾路斯
'bing'tang'xiang'lian 冰糖湘莲
'cai'tao 彩陶
'cha'shao'rou 叉烧肉
'chou'gui'yu 臭鳜鱼
'chu'yi'da'sai 厨艺大赛
'chu'yi'hua'gao 楚夷花糕
'dai'ba'zhou'zi 带把肘子
'dao'meng'lou'lan 盗梦楼兰
'dong'bi'long'zhu 东璧龙珠
'dong'si'ma 东司马
'dui'yi'shan'he 对弈山河
'fei'long'tang 飞龙汤
'feng'bai'dao'liu'xiang 枫柏倒流香
'feng'sheng'shui'qi 风生水起
'fo'tiao'qiang 佛跳墙
'gong'bao'ji'ding 宫保鸡丁
'gui'cheng'ma'la'ji 鬼城麻辣鸡
'gui'hua'jiu 桂花酒
'guo'bao'rou 锅包肉
'han'ying 寒英
'he'xiang'fu 合香府
'he'xiang'ru'gu 合香如故
'hei'hu'jiao'xie 黑胡椒蟹
'hu'geng 鹄羹
'hui'yi 绘忆
'hun'qian'meng'ying 魂牵梦萦
'hun'tang'jiu'niang'yuan'xiao 混汤酒酿元宵
'hun'xin 魂芯
'ji'li'xia 吉利虾
'ji'rong'jin'si'sun 鸡茸金丝笋
'jiao'hua'ji 叫花鸡
'jiao'zi 饺子
'jin'qiu'yuan'lin 金秋愿林
'jin'yu 金玉
'ju'chun'yuan 聚春苑
'kai'shui'bai'cai 开水白菜
'kao'ru'zhu 烤乳猪
'kong'sang 空桑
'kong'sang'e'gui 空桑恶鬼
'kun'yue'ge 坤岳阁
'lei'dong'bu'zhou 雷动不周
'lei'yin 雷音
'li'hong'ge 离虹阁
'lian'hua'xue'ya 莲花血鸭
'long'jing'xia'ren 龙井虾仁
'ma'nao 玛瑙
'meng'po'tang 孟婆汤
'mu'dan'yan'cai 牡丹燕菜
'nian'gao 年糕
'nian'nian'you'yu 年年有余
'peng'lai'guo'zhu 蓬莱国主
'peng'zu 彭祖
'qiang'jin'jiu 将进酒
'qing'xin'gua'yu 清芯寡玉
'rou'gu'cha 肉骨茶
'rui'xue'ying'chun 瑞雪迎春
'san'xian'tuo'gu'yu 三鲜脱骨鱼
'shan'ju 膳具
'shao'xing'zui'ji 绍兴醉鸡
'shi'hun 食魂
'shi'li'yin'xing 诗礼银杏
'shi'wu'yu 食物语
'shi'zi'mo 石子馍
'shui'yue'ge 水月阁
'si'chuan'huo'guo 四川火锅
'su'zheng'yin'sheng'bu 素蒸音声部
'suan'li'mu 酸梨木
'tai'bai'ya 太白鸭
'tai'ji'yu'ni 太极芋泥
'tai'shi'wu'long'geng 太史五龙羹
'tang'cu'yuan'bai 糖醋沅白
'tao'hua'zhou 桃花粥
'tao'tie'sheng'yan 饕餮盛宴
'tian'xiang'bai'ji 天香白冀
'tiao'liao 调料
'tu'su'jiu 屠苏酒
'wan'qu'he'ming 万曲和鸣
'wu'qing 无情
'wu'wei'shi 五味使
'xi'feng'jiu 西凤酒
'xi'hu'cu'yu 西湖醋鱼
'xia'jiao 虾饺
'xia'zhi'da'chu 侠之大厨
'xiao'ji'dun'mo'gu 小鸡炖蘑菇
'xie'niang'cheng 蟹酿橙
'xin'feng'man'xiang 新风鳗鲞
'xin'ma'fu 新马服
'xing'yi'dou'zhuan 星移斗转
'xue'ji'geng 雪霁羹
'yan'du'xian 腌笃鲜
'yi'ya 易牙
'yi'zhi 伊挚
'ying'tao'bi'luo 樱桃毕罗
'yu'fu'cang'yang 鱼腹藏羊
'yu'lin'xiang'yao 玉麟香腰
'yu'xiang'rou'si 鱼香肉丝
'yue'bing 月饼
'yue'shang'zhuo'xin 月上琢心
'yun'hua'yin'chun 云华引春
'yun'jin 云谨
'yun'tuo'ba'xian 云托八鲜
'yun'you'xian'he 云游仙鹤
'zhi'geng 雉羹
'zhi'ri 值日
'zhi'xiang'yuan 植香园
'zi'tan 紫檀
'zi'tui'yan 子推燕
