'an'quan'dai 安全带
'an'quan'deng'ji 安全等级
'an'quan'du 安全度
'an'quan'fang'hu'xi'tong'an'quan'fang'hu'xi'tong 安全防护系统安全防护系统
'an'quan'he'zai'xi'shu 安全荷载系数
'an'quan'jing'ju 安全净距
'an'quan'jing'kong'gao'du 安全净空高度
'an'quan'qi'nang'fang'hu'xi'tong 安全气囊防护系统
'an'quan'xi'shu 安全系数
'an'quan'zai'zhong 安全载重
'an'quan'zai'zhong'an'quan'fu'he 安全载重安全负荷
'an'zhuang'yu'ying'li'an'zhuang'yu'ying'li 安装预应力安装预应力
'ao'mian 凹面
'ban'dan'yuan'ban'dan'yuan 板单元板单元
'ban'fan'she'qi 半反射器
'ban'jing 半径
'ban'ke'fei'xian'xing'li'xue 板壳非线性力学
'ban'ke'li'xue 板壳力学
'ban'liang 板梁
'ban'liu'heng'xiang'li 伴流横向力
'ban'shui'hua're'shi'gao 半水化热石膏
'ban'su'xing'zhuang'tai 半塑性状态
'ban'xiang'liang 板箱梁
'ban'zhen'dao'qi 板振捣器
'ban'zhuang 板桩
'ban'zhuang'wei'yan 板桩围堰
'bao'he 饱和
'bao'he'mi'du 饱和密度
'bei'dong'tu'ya'li 被动土压力
'bei'dong'tu'ya'li'xi'shu 被动土压力系数
'bei'jing'du'fu'dian'hong'zhi'ling 倍精度浮点宏指令
'bei'li'mian'tu 背立面图
'ben'gou'mo'xing'ben'gou'mo'xing 本构模型本构模型
'ben'gou'mo'xing'qu'fu'mian 本构模型屈服面
'bi'xu'bian 比徐变
'bian'jie'tiao'jian 边界条件
'bian'po 边坡
'bian'po'dian'fan'wan'dian'lie'dian 变坡点反弯点裂点
'bian'qian'jin'ding 扁千斤顶
'bian'qiao 便桥
'bian'wei 变位
'bian'xing 变形
'bian'xing'hou'wei'bian'xing'de'xing'zhuang 变形后未变形的形状
'bian'xing'li 变形力
'bian'xing'yan'suan 变形验算
'bian'yuan'gai'lv'fen'bu 边缘概率分布
'bian'zhong'kua'jing'bian'zhong'kua'jing 边中跨径边中跨径
'biao'ding 标定
'biao'jie'gou'xing'shi 表结构形式
'biao'zhun'gao'cheng'gao'cheng'kong'zhi'dian 标准高程高程控制点
'biao'zhun'gong'lu'deng'ji'dai'ma 标准公路等级代码
'biao'zhun'zhi 标准值
'biao'zhun'zhong'li'jia'su'du 标准重力加速度
'bing'he'chuang 冰河床
'bing'ta 冰塔
'bing'tui'li'bing'ya'li'bing'yong 冰推力冰压力冰壅
'bing'ya'li 冰压力
'bo'dian'zu'wen'du'ji 铂电阻温度计
