'beng'beng 蹦蹦
'chi'ji 吃鸡
'da'shen 大神
'dai'wo'fei 带我飞
'fu'di'mo 伏地魔
'hei'hao 黑号
'huan'ying'tan'ke 幻影坦克
'ji'chang 机场
'ji'pu 吉普
'jin'tian'yao'chi'ji 今天要吃鸡
'jue'di'da'tao'sha 绝地大逃杀
'kong'tou 空投
'lao'yin'bi 老阴逼
'mo'tuo'che 摩托车
'ni'de'ji'shu'yi'ban'ban 你的技术一般般
'ni'ge'fu'di'mo 你个伏地魔
'ni'zhen'cai 你真菜
'xiao'huang'yi 小黄衣
'xue'xiao 学校
