'an'jian'de'yi'song 案件的移送
'bei'che'xiao'de'xing'zheng'ji'guan'de'bei'gao'zi'ge 被撤销的行政机关的被告资格
'bei'gao 被告
'bei'gao'de'bian'geng'yu'zhui'jia 被告的变更与追加
'bei'gao'de'su'song'quan'li 被告的诉讼权利
'bei'gao'de'su'song'yi'wu 被告的诉讼义务
'bei'gao'ju'zheng'ze'ren 被告举证责任
'bei'jia'hai'ren'de'yuan'gao'zi'ge 被加害人的原告资格
'ben'xia'qu'nei'zhong'da'fu'za'an'jian 本辖区内重大复杂案件
'bi'yao'de'gong'tong'su'song 必要的共同诉讼
'bian'geng'pan'jue 变更判决
'bian'lun'quan'yuan'ze 辩论权原则
'bian'min'yuan'ze'he'xiao'lv'yuan'ze 便民原则和效率原则
'bo'hui'su'song'qing'qiu 驳回诉讼请求
'bu'chan'sheng'shi'ji'ying'xiang'de'xing'wei 不产生实际影响的行为
'bu'fen'nei'bu'xing'zheng'xing'wei 部分内部行政行为
'bu'fen'xing'zheng'ren'shi'guan'li'jue'ding'de'ke'su'xing 部分行政人事管理决定的可诉性
'bu'neng'dan'du'zuo'wei'ding'an'yi'ju'de'zheng'ju 不能单独作为定案依据的证据
'bu'neng'zuo'wei'ding'an'yi'ju'de'zheng'ju 不能作为定案依据的证据
'bu'ti'gong'jian'ding'jie'lun'de'hou'guo 不提供鉴定结论的后果
'bu'yu'shou'li 不予受理
'bu'yu'shou'li'cai'ding 不予受理裁定
'bu'zhun'xu'che'su 不准许撤诉
'bu'zuo'wei'wei'fa 不作为违法
'bu'zuo'wei'wei'fa'de'biao'xian'xing'shi'ji'shen'cha 不作为违法的表现形式及审查
'chan'quan'jie'ding'zhong'de'xing'zheng'an'jian'guan'xia 产权界定中的行政案件管辖
'che'hui'shang'su'de'tiao'jian 撤回上诉的条件
'che'su'de'fa'lv'hou'guo 撤诉的法律后果
'che'xiao'pan'jue 撤销判决
'che'xiao'pan'jue'yu'fu'yi'jue'ding 撤销判决与复议决定
'chen'shu'quan'shen'bian'quan'jiu'ji'quan 陈述权申辩权救济权
'chong'fu'chu'li'xing'wei 重复处理行为
'chou'xiang'xing'zheng'xing'wei 抽象行政行为
'chu'fa'fa'ding'yuan'ze 处罚法定原则
'chu'fa'gong'kai'yuan'ze 处罚公开原则
'chu'fa'gong'zheng'yuan'ze 处罚公正原则
'chu'fa'xiang'dui'ren'quan'li'bao'zhang'yuan'ze 处罚相对人权利保障原则
'chu'fa'yu'jiao'yu'xiang'jie'he'yuan'ze 处罚与教育相结合原则
'chu'ting'zuo'zheng'de'quan'li'yu'yi'wu 出庭作证的权利与义务
'chu'ting'zuo'zheng'de'yi'wu 出庭作证的义务
'da'bian'zhuang'song'da'de'yao'qiu 答辩状送达的要求
'dai'li'ren'ju'zheng'fan'wei 代理人举证范围
'dan'du'qing'qiu'xing'zheng'pei'chang'de'cheng'xu 单独请求行政赔偿的程序
'dan'xing'fa'gui'gui'ding'de'qi'su'qi'xian 单行法规规定的起诉期限
'dang'shi'ren 当事人
'dang'shi'ren'de'chen'shu 当事人的陈述
'dang'shi'ren'ju'bu'dao'ting 当事人拒不到庭
'dang'shi'ren'shen'qing'zhi'xing'de'qi'xian 当事人申请执行的期限
'dang'ting'ren'ding'zheng'ju'de'tiao'jian 当庭认定证据的条件
'di'er'shen'cheng'xu 第二审程序
'di'er'shen'cheng'xu'yu'di'yi'shen'cheng'xu'de'guan'xi 第二审程序与第一审程序的关系
'di'er'shen'de'shen'li'qi'xian 第二审的审理期限
'di'fang'xing'fa'gui'zi'zhi'tiao'li'he'dan'xing'tiao'li 地方性法规自治条例和单行条例
'di'san'ren'de'ju'zheng'ze'ren 第三人的举证责任
'di'san'ren'de'su'song'qing'qiu 第三人的诉讼请求
'di'yi'shen'an'jian'de'shen'li'qi'xian 第一审案件的审理期限
'di'yu'guan'xia 地域管辖
'dian'zi'shu'ju'zi'liao'de'zheng'ming'li'ren'ding 电子数据资料的证明力认定
'dian'zi'zheng'ju'de'zheng'ming'li 电子证据的证明力
'diao'kou'xu'ke'zheng'he'zhi'zhao 吊扣许可证和执照
'diao'qu'zheng'ju 调取证据
'dui'bu'dong'chan'de'zhi'xing'cheng'xu 对不动产的执行程序
'dui'ju'ti'xing'zheng'xing'wei'chao'yue'zhi'quan'de'shen'cha 对具体行政行为超越职权的审查
'dui'lan'yong'zhi'quan'de'ren'ding'ji'chu'li 对滥用职权的认定及处理
'dui'qi'su'de'shen'cha 对起诉的审查
'dui'xian'shi'gong'zheng'xing'zheng'chu'fa'de'bian'geng 对显失公正行政处罚的变更
'dui'xu'ke'shen'qing'de'shen'cha 对许可申请的审查
'er'shen'cai'pan'de'fang'shi'ji'qi'shi'yong'tiao'jian 二审裁判的方式及其适用条件
'er'shen'de'shen'li'fan'wei 二审的审理范围
'er'shen'dui'an'jian'de'chu'li 二审对案件的处理
'er'shen'yu'shen'pan'jian'du'cheng'xu'de'zhi'zheng'gui'ze 二审与审判监督程序的质证规则
'er'shen'yu'shen'pan'jian'du'cheng'xu'zhong'de'xin'zheng'ju 二审与审判监督程序中的新证据
'er'shen'zhong'ge'fang'de'cheng'wei 二审中各方的称谓
'fa'ding'dai'li'ren 法定代理人
'fa'fang'fu'xu'jin'xing'wei'de'qi'su'tiao'jian 发放抚恤金行为的起诉条件
'fa'hui'chong'shen'de'an'jian'ke'shang'su 发回重审的案件可上诉
'fa'hui'chong'shen'ling'xing'zu'cheng'he'yi'ting'de'tiao'jian 发回重审另行组成合议庭的条件
'fa'kuan 罚款
'fa'lv 法律
'fa'lv'shen'cha'de'fan'wei'he'biao'zhun 法律审查的范围和标准
'fa'lv'shi'yong'ji'qi'gui'ze 法律适用及其规则
'fa'yuan'shen'li'zhong'de'zhi'quan'zhu'yi 法院审理中的职权主义
'fang'hai'xing'zheng'su'song'xing'wei'de'gou'cheng'yao'jian 妨害行政诉讼行为的构成要件
'fei'guo'you'qi'ye'de'yuan'gao'zi'ge 非国有企业的原告资格
'fei'yong'de'fu'dan 费用的负担
'fei'yong'de'yu'jiao 费用的预交
'fu'yi'ji'guan'dang'bei'gao'shi'de'wei'tuo'dai'li'ren 复议机关当被告时的委托代理人
'fu'yi'qian'zhi 复议前置
'gao'ji'ren'min'fa'yuan'de'guan'xia 高级人民法院的管辖
'gong'kai'gong'ping'gong'zheng'yuan'ze 公开公平公正原则
'gong'kai'shen'pan'zhi'du 公开审判制度
'gong'ping'jing'zheng'quan'ren'de'yuan'gao'zi'ge 公平竞争权人的原告资格
'gong'tong'bei'gao 共同被告
'gong'tong'guan'xia 共同管辖
'gong'tong'yuan'gao 共同原告
'gong'zheng'xing'wei'de'ke'su'xing 公证行为的可诉性
'gu'fen'zhi'qi'ye'de'yuan'gao'zi'ge 股份制企业的原告资格
'guan'xia'quan'yu'shen'pan'quan 管辖权与审判权
'guan'xia'quan'zhuan'yi'yu'yi'song'guan'xia 管辖权转移与移送管辖
'guan'xia'yi'yi 管辖异议
'guan'xia'yi'yi'de'chu'li 管辖异议的处理
'gui'zhang'zhi'jian'chong'tu'de'jie'jue'ban'fa 规章之间冲突的解决办法
'guo'fa'xiang'dang'yuan'ze 过罚相当原则
'guo'ji'mao'yi'xing'zheng'an'jian 国际贸易行政案件
'guo'jia'xing'wei 国家行为
'hai'shi'xing'zheng'chu'fa'an'jian 海事行政处罚案件
'he'bing'shen'li 合并审理
'he'huo'qi'ye'de'su'song'dai'biao'ren 合伙企业的诉讼代表人
'he'yi'zhi'du 合议制度
'huan'jing'li'yi'xiang'you'zhe'de'yuan'gao'zi'ge 环境利益享有者的原告资格
'hui'bi 回避
'hui'bi'zhi'du 回避制度
'ji'bie'guan'xia 级别管辖
'ji'ceng'ren'min'fa'yuan'de'guan'xia 基层人民法院的管辖
'ji'tuan'su'song'de'su'song'dai'biao'ren 集团诉讼的诉讼代表人
'jian'cha'ji'guan'jian'du'yuan'ze 检察机关监督原则
'jian'ding'jie'lun 鉴定结论
'jian'ding'jie'lun'de'zhi'zheng'gui'ze 鉴定结论的质证规则
'jian'ding'shu'de'nei'rong 鉴定书的内容
'jiao'tong'shi'gu'ze'ren'ren'ding'xing'wei'de'bu'ke'su 交通事故责任认定行为的不可诉
'jing'fu'yi'hou'de'ju'ti'xing'zheng'xing'wei'de'bei'gao 经复议后的具体行政行为的被告
'jing'gao 警告
'jing'ying'zi'zhu'quan 经营自主权
'jiu'zheng'dang'ting'ren'ding'zheng'ju'you'wu'de'fang'shi 纠正当庭认定证据有误的方式
'ju'ti'xing'zheng'xing'wei 具体行政行为
'ju'zheng'xu'zhi 举证须知
'ju'zheng'ze'ren'fen'pei 举证责任分配
'ju'zheng'ze'ren'zhi'du 举证责任制度
'kai'ting'shen'li 开庭审理
'kai'ting'shen'li'de'cheng'xu 开庭审理的程序
'kan'yan'bi'lu 勘验笔录
'kang'su'an'jian'de'lai'yuan 抗诉案件的来源
'kang'su'de'fa'lv'hou'guo 抗诉的法律后果
'kang'su'de'xing'shi 抗诉的形式
'kang'su'de'zhu'ti 抗诉的主体
'ke'yi'bu'she'ding'xing'zheng'xu'ke'de'shi'xiang 可以不设定行政许可的事项
'kou'tou'wei'tuo'he'tui'ding'wei'tuo 口头委托和推定委托
'li'hai'guan'xi'ren'cheng'wei'di'san'ren'de'an'jian 利害关系人成为第三人的案件
'lian'ying'he'zi'he'zuo'qi'ye'de'shi'ge'yuan'gao 联营合资合作企业的适格原告
'liang'shen'zhong'shen'zhi 两审终审制
'liang'shen'zhong'shen'zhi'du 两审终审制度
'mo'shou'chu'fa 没收处罚
'nong'cun'tu'di'cheng'bao'ren'de'yuan'gao'zi'ge 农村土地承包人的原告资格
'pan'jue 判决
'pan'jue'bu'neng'jia'zhong'dui'yuan'gao'de'chu'fa 判决不能加重对原告的处罚
'pu'tong'de'gong'tong'su'song 普通的共同诉讼
'qi'su'cheng'li'de'tiao'jian 起诉成立的条件
'qi'su'fang'shi 起诉方式
'qi'su'nei'rong 起诉内容
'qi'su'qi'xian 起诉期限
'qi'su'qi'xian'de'dan'wu 起诉期限的耽误
'qi'ta'qin'fan'ren'shen'quan'cai'chan'quan'de'an'jian 其他侵犯人身权财产权的案件
'qin'fan'cai'chan'quan'de'pei'chang'fang'shi 侵犯财产权的赔偿方式
'qin'fan'cai'chan'quan'de'xing'zheng'pei'chang'fan'wei 侵犯财产权的行政赔偿范围
'qin'fan'gong'min'sheng'ming'jian'kang'quan'de'pei'chang'biao'zhun 侵犯公民生命健康权的赔偿标准
'qin'fan'jing'ying'zi'zhu'quan'de'xing'wei 侵犯经营自主权的行为
'qin'fan'ren'shen'quan'de'xing'zheng'pei'chang'fan'wei 侵犯人身权的行政赔偿范围
'qin'fan'ren'shen'zi'you'quan'de'pei'chang'biao'zhun 侵犯人身自由权的赔偿标准
'que'ren'pan'jue 确认判决
'ren'min'fa'yuan'diao'cha'he'shi'zheng'ju'de'fan'wei 人民法院调查核实证据的范围
'ren'min'fa'yuan'zai'ju'zheng'zhong'de'ze'ren 人民法院在举证中的责任
'shang'su 上诉
'shang'su'de'che'hui 上诉的撤回
'shang'su'de'fang'shi 上诉的方式
'shang'su'de'shou'li 上诉的受理
'shang'su'de'tiao'jian 上诉的条件
'shang'su'zhuang 上诉状
'shang'wei'fa'you'yu'xia'wei'fa 上位法优于下位法
'she'ding'xing'zheng'xu'ke'de'fan'wei 设定行政许可的范围
'she'ding'xing'zheng'xu'ke'de'nei'rong'he'cheng'xu 设定行政许可的内容和程序
'she'wai'xing'zheng'su'song 涉外行政诉讼
'she'wai'xing'zheng'su'song'de'dai'li 涉外行政诉讼的代理
'she'wai'xing'zheng'su'song'de'fa'lv'shi'yong 涉外行政诉讼的法律适用
'shen'cha'hou'de'fa'lv'jie'guo 审查后的法律结果
'shen'cha'ju'ti'xing'zheng'xing'wei'he'fa'xing'de'yuan'ze 审查具体行政行为合法性的原则
'shen'he'ren'ding'de'zhu'ti'dui'xiang'nei'rong 审核认定的主体对象内容
'shen'li'bu'shi'yong'tiao'jie 审理不适用调解
'shen'li'de'fan'wei 审理的范围
'shen'li'qian'de'zhun'bei 审理前的准备
'shen'li'shang'su'an'jian'de'fang'shi 审理上诉案件的方式
'shen'pan'du'li'yuan'ze 审判独立原则
'shen'pan'jian'du'cheng'xu'ti'qi'de'tiao'jian 审判监督程序提起的条件
'shen'pan'jian'du'cheng'xu'yu'di'er'shen'cheng'xu 审判监督程序与第二审程序
'shen'qing'che'su 申请撤诉
'shen'qing'chong'xin'jian'ding'de'tiao'jian 申请重新鉴定的条件
'shen'qing'fa'yuan'shou'ji'de'zheng'ju 申请法院收集的证据
'shen'qing'fei'su'an'jian'zhi'xing'ying'ti'gong'de'cai'liao 申请非诉案件执行应提供的材料
'shen'qing'fei'su'song'xing'zheng'an'jian'zhi'xing'de'tiao'jian 申请非诉讼行政案件执行的条件
'shen'qing'ren'min'fa'yuan'diao'qu'zheng'ju'de'cheng'xu 申请人民法院调取证据的程序
'shen'qing'xing'zheng'su'song'zhi'xing'de'shen'qing'ren 申请行政诉讼执行的申请人
'shen'qing'zai'shen'de'qi'xian 申请再审的期限
'shen'qing'zheng'ren'chu'ting'zuo'zheng'de'cheng'xu 申请证人出庭作证的程序
'shen'su 申诉
'shen'su'de'chu'li 申诉的处理
'sheng'xiao'fa'lv'wen'shu'de'zheng'ming'li 生效法律文书的证明力
'shi'ge'bei'gao 适格被告
'shi'shi'cha'feng'kou'ya'dong'jie'pai'mai'de'cheng'xu 实施查封扣押冻结拍卖的程序
'shi'ting'zi'liao 视听资料
'shi'wei'shen'qing'che'su 视为申请撤诉
'shi'wu'guan'xia 事物管辖
'shi'yong'ben'min'zu'yu'yan'wen'zi'yuan'ze 使用本民族语言文字原则
'shi'yong'fa'lv'fa'gui'cuo'wu 适用法律法规错误
'shou'li 受理
'shou'li'de'fa'lv'hou'guo 受理的法律后果
'shou'quan'fa'lv'gui'fan'you'yu'zhi'quan'fa'lv'gui'fan 授权法律规范优于职权法律规范
'shou'quan'wei'tuo'shu 授权委托书
