'an'chan'zhi'du'long 安禅制毒龙
'an'de'yuan'long'bai'chi'lou 安得元龙百尺楼
'an'de'zhong'shan'qian'ri'jiu 安得中山千日酒
'an'rong'dai'la'jiang'shu'liu 岸容待腊将舒柳
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'ao'li'shen'xian'xiao'wu'hou 傲吏身闲笑五侯
'ba'jiao'fen'lv'yu'chuang'sha 芭蕉分绿与窗纱
'ba'yue'dong'ting'qiu 八月洞庭秋
'ba'yue'hu'shui'ping 八月湖水平
'bai'ban'hong'zi'dou'fang'fei 百般红紫斗芳菲
'bai'chi'lou'tai'shui'jie'tian 百尺楼台水接天
'bai'di'cheng'gao'ji'mu'zhen 白帝城高急暮砧
'bai'fa'bei'hua'luo 白发悲花落
'bai'fa'lao'xian'shi 白发老闲事
'bai'fa'san'qian'zhang 白发三千丈
'bai'lu'shi'zhuan'zheng 白露始专征
'bai'mu'ting'zhong'ban'shi'tai 百亩庭中半是苔
'bai'pin'chui'jin'chu'jiang'qiu 白蘋吹尽楚江秋
'bai'ri'chuan'xin'jing 白日传心净
'bai'ri'yi'shan'jin 白日依山尽
'bai'sha'cui'zhu'jiang'cun'mu 白沙翠竹江村暮
'bai'shou'wei'shui'xiong 白首为谁雄
'bai'shui'rao'dong'cheng 白水绕东城
'bai'yun'hong'ye'gong'you'you 白云红叶共悠悠
'bai'yun'hui'wang'he 白云回望合
'bai'yun'qian'zai'kong'you'you 白云千载空悠悠
'bai'zhuan'liu'ying'rao'jian'zhang 百啭流莺绕建章
'ban'ling'tong'jia'qi 半岭通佳气
'ban'mu'fang'tang'yi'jian'kai 半亩方塘一鉴开
'bang'hua'sui'liu'guo'qian'chuan 傍花随柳过前川
'bao'jian'zhi'qian'jin 宝剑值千金
'bao'zhu'sheng'zhong'yi'sui'chu 爆竹声中一岁除
'bei'dou'gua'cheng'bian 北斗挂城边
'bei'du'bu'jing'ou 杯渡不惊鸥
'bei'feng'chui'bai'yun 北风吹白云
'bei'shan'shu'lv'zhang'heng'bei 北山输绿涨横陂
'bei'tang'wu'yue'qiu 陂塘五月秋
'bei'you'zhong'tian'bai'chi'tai 北有中天百尺台
'ben'wei'sheng'ming'chu'bi'zheng 本为圣明除弊政
'bi'jing'xi'hu'liu'yue'zhong 毕竟西湖六月中
'bi'xian'chu'ba'xiang 避贤初罢相
'bian'di'ying'hua'shao 边地莺花少
'bian'feng'sao'bei'ping 边风扫北平
'bian'jue'yan'qian'sheng'yi'man 便觉眼前生意满
'bie'lu'rao'shan'chuan 别路绕山川
'bie'ye'chu'kai'yun'han'bian 别业初开云汉边
'bie'ye'ju'you'chu 别业居幽处
'bie'ye'lin'qing'dian 别业临青甸
'bing'ru'xin'nian'gan'wu'hua 病入新年感物华
'bing'zuo'nan'lai'yi'wei'liang 并作南来一味凉
'bo'han'yue'yang'cheng 波撼岳阳城
'bo'mu'kong'tan'qu 薄暮空潭曲
'bo'piao'gu'mi'chen'yun'hei 波飘菰米沉云黑
'bu'bi'wen'jun'ping 不必问君平
'bu'dao'ren'jian'qiao'ji'duo 不道人间巧几多
'bu'de'dao'liao'xi 不得到辽西
'bu'fang'you'yan'mo'wang'gui 不妨游衍莫忘归
'bu'fu'xin'ling'en 不负信陵恩
'bu'ji'shi'you'feng 不及石尤风
'bu'qin'ting'jin'yao 不寝听金钥
'bu'sheng'qing'yuan'que'fei'lai 不胜清怨却飞来
'bu'shi'chou'zhong'ji'bing'zhong 不是愁中即病中
'bu'shou'chen'ai'ban'dian'qin 不受尘埃半点侵
'bu'tuo'suo'yi'wo'yue'ming 不脱蓑衣卧月明
'bu'xiang'dong'feng'yuan'wei'kai 不向东风怨未开
'bu'xin'dong'feng'huan'bu'hui 不信东风唤不回
'bu'xin'lou'tou'yang'liu'yue 不信楼头杨柳月
'bu'xu'tan'ban'gong'jin'zun 不须檀板共金樽
'bu'yong'kai'shu'zhi 不用开书帙
'bu'zai'wu'hu'zhong 不在五湖中
'bu'zhi'chun'qu'ji'duo'shi 不知春去几多时
'bu'zhi'he'chu'shi'ta'xiang 不知何处是他乡
'bu'zhi'ming'jing'li 不知明镜里
'bu'zhi'tian'xia'shi 不知天下士
'bu'zhi'xiang'ji'si 不知香积寺
'bu'zuo'bian'cheng'jiang 不作边城将
'cai'le'can'sang'you'cha'tian 才了蚕桑又插田
'cai'sheng'xie'gua'lv'yang'yan 彩绳斜挂绿杨烟
'cai'you'mei'hua'bian'bu'tong 才有梅花便不同
'cai'yun'xiao'shi'zhu 彩云萧史驻
'can'xing'ji'dian'yan'heng'sai 残星几点雁横塞
'can'xue'ya'zhi'you'you'ju 残雪压枝犹有橘
'cang'mang'ze'guo'dong 苍茫泽国东
'cao'cao'xu'zhen'na'xi'sheng 嘈嘈虚枕纳溪声
'cao'man'chi'tang'shui'man'bei 草满池塘水满陂
'cao'mu'zhi'chun'bu'jiu'gui 草木知春不久归
'cao'pu'heng'ye'liu'qi'li 草铺横野六七里
'cao'se'yao'kan'jin'que'wu 草色遥看近却无
