'bao'he 饱和
'bi'zhong 比重
'bian'po 边坡
'bian'yi'xi'shu 变异系数
'biao'gao 标高
'biao'guan 标贯
'biao'guan'ji'shu 标贯击数
'biao'guan'shen'du 标贯深度
'biao'zhun'cha 标准差
'biao'zhun'zhi 标准值
'bing'ji'tu 冰积土
'bu'liang'di'zhi'xian'xiang 不良地质现象
'can'ji'tu 残积土
'ce'xie 测斜
'ce'xie'kong 测斜孔
'ceng'hao 层号
'chao'guan 超灌
'chen'guan'guan'zhu'zhuang 沉管灌注桩
'chen'jiang 沉降
'cheng'ya'di'xia'shui 承压地下水
'cheng'ya'shui 承压水
'cheng'ya'shui'tu'yong 承压水突涌
'chi'li'ceng'de'xuan'ze 持力层的选择
'chong'ji'tu 冲积土
'chong'kong'zhuang 冲孔桩
'cu'sha 粗砂
'dan'qiao 单桥
'dan'qiao'jing'tan'yi 单桥静探仪
'dang'tu 挡土
'di'mao 地貌
'di'si'xi 第四系
'di'xia'lian'xu'qiang 地下连续墙
'di'xing 地形
'dong'tan 动探
'duo'tou'jiao'ban 多头搅拌
'fan'wei'zhi 范围值
'fen'bu'fan'wei 分布范围
'fen'pen'zhuang 粉喷桩
'fen'sha 粉砂
'fen'tu 粉土
'fen'xi'sha 粉细砂
'fen'zhi'nian'tu 粉质黏土
'feng'ji'tu 风积土
'fu'cheng 辅撑
'fu'jiao 复搅
'fu'shi'xing 腐蚀性
'fu'zhi'cheng 辅支撑
'gang'ban'wang 钢板网
'gang'jin'wang 钢筋网
'gao'cheng 高程
'gong'cheng'gai'kuang 工程概况
'gua'wang'pen'she'hun'ning'tu 挂网喷射混凝土
'guan'jing 管井
'guan'liang 冠梁
'guan'zhu'zhuang 灌注桩
'he'hong'se 褐红色
'he'huang'se 褐黄色
'hong'ji'tu 洪积土
'hou'ceng'zhuang 厚层状
'huan'cheng 换撑
'hui'yan 灰岩
'hun'he'tu 混合土
'ji'chu'lei'xing 基础类型
'ji'keng 基坑
'ji'keng'gong'cheng 基坑工程
'ji'keng'jiang'shui 基坑降水
'ji'keng'zhi'hu 基坑支护
'ji'shu 击数
'jian'zhu'kang'zhen'she'ji'gui'fan 建筑抗震设计规范
'jiang'pen'zhuang 浆喷桩
'jiao'ban'zhuang 搅拌桩
'jiao'li 角砾
'jie'lu 揭露
'jie'lun'yu'jian'yi 结论与建议
'jie'shui 截水
'jing'dian 井点
'jing'li'chu'tan 静力触探
'jing'tan 静探
'jing'tan'qu'xian 静探曲线
'jing'ya'yu'zhi'guan'zhuang 静压预制管桩
'jing'ya'yu'zhi'zhuang 静压预制桩
'kan'cha'gui'fan 勘察规范
'kan'cha'mu'di 勘察目的
'kan'tan'dian'ping'mian'wei'zhi'tu 勘探点平面位置图
'kang'fu'mao'gan 抗浮锚杆
'kang'jian'qiang'du 抗剪强度
'ke'hui'shou'mao'gan 可回收锚杆
'ke'hui'shou'mao'suo 可回收锚索
'ke'su 可塑
'keng'di 坑底
'kong'xi'bi 孔隙比
'kong'zhi'xing'kan'tan'kong 控制性勘探孔
'kuai'shi 块石
'kuai'zhuang'jie'gou 块状结构
'kuo'da'tou 扩大头
'kuo'da'tou'mao'gan 扩大头锚杆
'lao'chen'ji'tu 老沉积土
'li'jing 粒径
'li'sha 砾砂
'li'zhu 立柱
'li'zhu'zhuang 立柱桩
'luan'shi 卵石
'mao'gan 锚杆
'mao'suo 锚索
'mo'ca'li 摩擦力
'ni'jian'chang'di 拟建场地
'ni'jian'gong'cheng 拟建工程
'ni'tan 泥炭
'ni'tan'zhi'tu 泥炭质土
'ni'yan 泥岩
'nian'tu 黏土
'nian'zhi'fen'tu 黏质粉土
'pai'zhuang 排桩
'pai'zhuang'xuan'bi 排桩悬臂
'pai'zhuang'zhi'hu 排桩支护
'pen'mao 喷锚
'pen'mao'zhi'hu 喷锚支护
'pen'she'hun'ning'tu 喷射混凝土
'piao'shi 漂石
'ping'jun'zhi 平均值
'po'ji'tu 坡积土
'qiang'du'zhi'biao 强度指标
'qiang'feng'hua 强风化
'qing'xing'jing'dian 轻型井点
'quan'feng'hua 全风化
'ren'gong'tian'tu 人工填土
'ren'gong'wa'kong'guan'zhu'zhuang 人工挖孔灌注桩
'ren'gong'wa'kong'zhuang 人工挖孔桩
'ren'wu'yao'qiu 任务要求
'rong'dong 溶洞
'ruan'su 软塑
'sha'luan'shi 砂卵石
'sha'tu 砂土
'sha'zhi'fen'tu 砂质粉土
'shang'ceng'zhi'shui 上层滞水
'shao'you'guang'ze 稍有光泽
'shen'ceng'jiao'ban'zhuang 深层搅拌桩
'shi'ce'ji'shu 实测击数
'shi'yan'bian'hao 试验编号
'shi'ying 石英
'shu'ju'ge'shu 数据个数
'shuang'pai'zhuang 双排桩
'shuang'qiao 双桥
'shuang'qiao'jing'tan'yi 双桥静探仪
'shui'ni'tu 水泥土
'shui'wen'di'zhi'tiao'jian 水文地质条件
'shui'yang 水样
'su'tian'tu 素填土
'su'xing'zhi'shu 塑性指数
'sui'shi 碎石
'sui'shi'tu 碎石土
'suo'kou'liang 锁口梁
'tan'suan'gai'tan'zhi 碳酸钙炭质
'tan'xing'mo'liang 弹性模量
'tian'ran'han'shui'liang 天然含水量
'tian'ran'mi'du 天然密度
'tian'tu 填土
'tu'dong 土洞
'tu'gong'shi'yan 土工试验
'tu'lei'ming'cheng 土类名称
'tu'rang 土壤
'tu'yang 土样
'wang'pen 网喷
'wei'feng'hua 微风化
'wei'wan'cheng 未完成
'wu'ji'tu 无机土
'xi'sha 细砂
'xin'jin'chen'ji'tu 新近沉积土
'xiu'zheng'ji'shu 修正击数
'xuan'wa'zhuang 旋挖桩
'ya'suo'mo'liang 压缩模量
'ya'suo'mo'xing 压缩模型
'ya'suo'xi'shu 压缩系数
'yan'shi'zhi'liang'deng'ji 岩石质量等级
'yan'ti 岩体
'yan'tu 岩土
'yan'tu'gong'cheng 岩土工程
'yan'tu'gong'cheng'shi 岩土工程师
'yan'tu'gong'cheng'shi'lun'tan 岩土工程师论坛
'yan'tu'gong'cheng'tiao'jian 岩土工程条件
'yan'tu'gong'zuo'zhe 岩土工作者
'yan'yang 岩样
'yao'zhen'wu'fan'ying 摇震无反映
'ye'xing'zhi'shu 液性指数
'yi'ban'xing'kan'tan'kong 一般性勘探孔
'yin'jing'zhi'jie'gou 隐晶质结构
'ying'su 硬塑
'you'ji'zhi'tu 有机质土
'yu'ji'tu 淤积土
'yu'ni 淤泥
'yu'ni'zhi 淤泥质
'yu'ni'zhi'fen'zhi'nian'tu 淤泥质粉质黏土
'yu'ni'zhi'nian'tu 淤泥质黏土
'yu'ni'zhi'tu 淤泥质土
'yu'zhi'guan'zhuang 预制管桩
'yu'zhi'zhuang 预制桩
'yuan'li 圆砾
'yuan'wei'ce'shi 原位测试
'za'tian'tu 杂填土
'zai'jian'gong'cheng 在建工程
'zhi'cheng 支撑
'zhi'cheng'liang 支撑梁
'zhi'hu'zhuang 支护桩
'zhi'shui'wei'mu 止水帷幕
'zhong'feng'hua 中风化
'zhong'sha 中砂
'zhong'shen'guan'jing 中深管井
'zhu'ce'yan'tu'gong'cheng'shi 注册岩土工程师
'zhu'ce'yan'tu'gong'cheng'shi'lun'tan 注册岩土工程师论坛
'zhu'cheng 主撑
'zhu'zhi'cheng 主支撑
'zhu'zhuang 柱状
'zhuang'cheng 桩撑
'zhuang'cheng'zhi'hu 桩撑支护
'zhuang'ji 桩基
'zhuang'ji'chu 桩基础
'zhuang'jian'ju 桩间距
'zhuang'mao 桩锚
'zhuang'mao'zhi'hu 桩锚支护
'zhuang'pai 桩排
'zi'zhong'gu'jie 自重固结
'zong'he'fen'xi 综合分析
'zuan'kong 钻孔
'zuan'kong'guan'zhu'zhuang 钻孔灌注桩
'zuan'tan 钻探
