'bi'jiao'fa 比较法
'bi'lie'chi'du 比列尺度
'bian'liang 变量
'bian'ma 编码
'bian'ming'mo'shi 辨明模式
'bian'yuan'ci'shu'fen'bu 边缘次数分布
'biao'mian'xiao'du 表面效度
'bo'pu'er 波普尔
'bu'dui'chen'guan'xi 不对称关系
'cao'zuo'hua 操作化
'ce'liang'ceng'ci 测量层次
'ce'liang'chi'du 测量尺度
'ce'liang'zhi'biao 测量指标
'ceng'ci'miu'wu 层次谬误
'cha'yi'fa 差异法
'chan'ming'mo'shi 阐明模式
'chang'tiao'tu 长条图
'chong'ce'xin'du 重测信度
'chou'xiang'ding'yi 抽象定义
'chou'yang'diao'cha 抽样调查
'chou'yang'fang'an 抽样方案
'chou'yang'kuang 抽样框
'chun'tian'diao'cha 春田调查
'ci'ji 刺激
'ci'shu'fen'bu 次数分布
'da'qian'ti 大前提
'dang'an'zi'liao 档案资料
'deng'ji'chi'du 等级尺度
'deng'ju'chi'du 等距尺度
'deng'liang'ji'ti'chou'yang 等量集体抽样
'dian'xing'xiang'guan 典型相关
'ding'bi'chi'du 定比尺度
'ding'ju'bian'xiang 定距变项
'ding'ju'chi'du 定距尺度
'ding'lei'chi'du 定类尺度
'ding'li 定理
'ding'liang'fang'fa 定量方法
'ding'xing'fang'fa 定性方法
'ding'xu'chi'du 定序尺度
'du'li'xiao'guo 独立效果
'dui'shu'bi'lv 对数比率
'dui'shu'bi'lv'hui'gui 对数比率回归
'dui'shu'ni'ran'lv'bi'ka'fang 对数拟然率比卡方
'dui'shu'xian'xing'mo'shi 对数线性模式
'duo'bian'xiang'fen'xi 多变项分析
'duo'du'kong'jian 多度空间
'duo'duan'chou'yang 多段抽样
'duo'feng'qu'xian 多峰曲线
'duo'hou'fen'xi 堕后分析
'duo'xiang'dui'shu'bi'lv'hui'gui 多相对数比率回归
'duo'xu'xiang'guan'xi'shu 多序相关系数
'duo'yin'fen'lei'fen'xi 多因分类分析
'duo'yin'gong'xian'xing 多因共线性
'duo'yin'su'jie'shi 多因素解释
'duo'yin'xian'xing'hui'gui 多因线性回归
'duo'yuan'fen'xi 多元分析
'er'xiang'fen'bu 二项分布
'fa'sheng'xue'jie'shi 发生学解释
'fan'shi 范式
'fan'shi'zheng'zhu'yi 反实证主义
'fang'cha'fen'xi 方差分析
'fang'fa'lun 方法论
'fang'wen'fa 访问法
'fang'wen'ti'gang 访问提纲
'fei'shi'ti'gai'nian 非实体概念
'fei'xi'er'de'jing'que'jian'ding 费希尔的精确检定
'fen'bie'jue'ding'xi'shu 分别决定系数
'fen'xi'dan'wei 分析单位
'fen'xi'li'lun 分析理论
'fen'zu'zi'liao 分组资料
'fou'ding'yu 否定域
'fu'ben'xin'du 复本信度
'fu'xiang'guan 复相关
'gai'nian 概念
'ge'an'diao'cha 个案调查
'ge'an'yan'jiu 个案研究
'ge'an'yan'jiu'fa 个案研究法
'ge'ti'bian'xiang 个体变项
'ge'xing'jie'shi 个性解释
'gong'bian'fa 共变法
'gong'bian'guan'xi 共变关系
'gong'bian'xiao'du 共变效度
'gong'li 公理
'gong'liang 共量
'gong'neng'fen'xi'fa 功能分析法
'gong'neng'jie'shi 功能解释
'gong'tong'xiao'guo 共同效果
'gong'xing'jie'shi 共性解释
'gong'yin'fen'xi 公因分析
'gou'zao'lei'xing'fa 构造类型法
'gu'ding'da'ti 固定答题
'gu'ji'yan'jiu 估计研究
'guan'cha'fa 观察法
'gui'na 归纳
'gui'na'luo'ji 归纳逻辑
'gui'shu'xi'shu 归属系数
'han'shu'shi'chen'shu 函数式陈述
'heng'pou'diao'cha 横剖调查
'hong'guan'yan'jiu 宏观研究
'hou'ce 后测
'hu'dong'xiao'guo 互动效果
'hu'guan'ju'zhen 互关矩阵
'huan'yuan'lun 还原论
'huo'sang'shi'yan 霍桑试验
'ji'he'ping'jun'shu 几何平均数
'ji'ti'chou'yang 集体抽样
'ji'zhong'qu'shi'ce'liang'fa 集中趋势测量法
'jia'she 假设
'jia'she'jian'yan'fa 假设检验法
'jia'she'jian'yan'luo'ji 假设检验逻辑
'jian'dan'zheng'wei'fa 简单证伪法
'jian'hua'lun 简化论
'jian'jie'yan'jiu 间接研究
'jian'ju'gu'ji 间距估计
'jiao'hu'fen'lei 交互分类
'jie'gou'shi'fang'wen 结构式访问
'jie'ru'bian'xiang 介入变项
'jie'shi'li 解释力
'jie'shi'xing'yan'jiu 解释性研究
'jing'xiao'ying 净效应
'jing'yan'fa 经验法
'jing'yan'gai'kuo 经验概括
'jing'yan'guan'cha 经验观察
'jing'yan'gui'na 经验归纳
'jing'yan'tui'yan 经验推演
'ju'lei'fen'xi 聚类分析
'ju'li'gui'na 举例归纳
'ju'ti'yin'jing'xi'shu 具体因径系数
'ju'xing'tu 矩形图
'jue'ding'xi'shu 决定系数
'jue'dui'ling'dian 绝对零点
'jun'deng'jin'jian'fa 均等尽简法
'ke'xin'cheng'du 可信程度
'ke'xin'jian'ju 可信间距
'ke'xue'fa'zhan'jie'duan'lun 科学发展阶段论
'ke'xue'huan 科学环
'ke'yu'ce'du'xi'shu 可预测度系数
'kong'zhi'bian'xiang 控制变项
'kong'zhi'zu 控制组
'ku'en 库恩
'lei'jia'bai'fen'lv 累加百分率
'lei'jia'ci'shu 累加次数
'lei'jin'bi 累进比
'lei'xing'fa 类型法
'li'lun'fen'xi'fa 理论分析法
'li'lun'jia'gou 理论架构
'li'lun'yan'jiu 理论研究
'li'lun'zheng'wei'fa 理论证伪法
'li'shi'bi'jiao'yan'jiu 历史比较研究
'li'shi'ce'liang'fa 离势测量法
'liang'bian'xiang'fen'xi 两变项分析
'liang'biao'fa 量表法
'lie'lian'biao 列联表
'lie'lian'xi'shu 列联系数
'lin'lei'bi 邻类比
'ling'xiang'guan 零相关
'luo'ji'tui'yan 逻辑推演
'miao'shu'xing'yan'jiu 描述性研究
'ming'ti 命题
'ming'yi'chi'du 名义尺度
'mo'xing'li'lun 模型理论
'nei'rong'xiao'du 内容效度
'nei'sheng'bian'xiang 内生变项
'nei'zai'xiao'du 内在效度
'ni'he'you'du 拟合优度
'ni'xiang'guan 逆相关
'ou'yu'chou'yang 偶遇抽样
'pai'chu'gui'na 排除归纳
'pan'bie'fen'xi 判别分析
'pan'bie'han'shu 判别函数
'pi'zi'bao'diao'cha 匹兹堡调查
'ping'jun'ren 平均人
'pu'cha 普查
'qian'ce 前测
'qian'gen 潜根
'qian'zhi'bian'xiang 前置变项
'qing'xiang'xing'jie'shi 倾向性解释
'qiu'tong'fa 求同法
'qiu'tong'qiu'yi'fa 求同求异法
'qu'fen'xi'shu 区分系数
'qu'jie'fen'xi 曲解分析
'qu'shi'diao'cha 趋势调查
'quan'wei'fa 权威法
'qun'ti'bian'xiang 群体变项
'she'hui'diao'cha 社会调查
'she'hui'ding'yi'fan'shi 社会定义范式
'she'hui'shi'shi'fan'shi 社会事实范式
'she'hui'xing'wei'fang'shi 社会行为方式
'she'hui'xue'yan'jiu'fang'fa 社会学研究方法
'she'hui'yan'jiu 社会研究
'shen'du'fang'tan 深度访谈
'sheng'ji'bi 升级比
'sheng'tai'miu'wu 生态谬误
'sheng'yu'fa 剩余法
'shi'cuo'fa 试错法
'shi'di'yan'jiu 实地研究
'shi'fen'wei'cha 十分位差
'shi'fen'wei'zhi 十分位值
'shi'ti'gai'nian 实体概念
'shi'yan'fa 实验法
'shi'yan'zu 实验组
'shi'yong'xiao'du 实用效度
'shi'yong'xing'diao'cha 实用性调查
'shi'zheng'zhu'yi 实证主义
'shu'li'fen'xi'yu'mo'ni'fa 数理分析与模拟法
'shu'li'xi'shu 疏离系数
'shuang'feng'qu'xian 双峰曲线
'si'bian'fa 思辨法
'si'bian'li'lun 思辨理论
'suan'shu'ping'jun'shu 算术平均数
'tan'suo'xing'yan'jiu 探索性研究
'te'zheng'zhi 特征值
'tiao'jian'bai'fen'biao 条件百分表
'tiao'jian'ci'shu'biao 条件次数表
'tiao'jian'shi'chen'shu 条件式陈述
'tong'ji'diao'cha'yan'jiu 统计调查研究
'tong'ji'fen'xi 统计分析
'tong'ji'gai'kuo 统计概括
'tong'qi'qun'diao'cha 同期群调查
'tu'shi'fa 图示法
'wai'sheng'bian'xiang 外生变项
'wai'zai'xiao'du 外在效度
'wei'du 维度
'wei'guan'yan'jiu 微观研究
'wei'ti'miu'wu 微体谬误
'wei'zheng'li'lun 伪证理论
'wen'juan'fa 问卷法
'wen'xian'fa 文献法
'wu'cha'bian'xiang 误差变项
'xian'xing'ji'lv'hui'gui 线性几率回归
'xian'xing'jie'gou'guan'xi 线性结构关系
'xian'xing'zu'he 线性组合
'xiang'guan'fang'xiang 相关方向
'xiang'guan'guan'xi 相关关系
'xiang'jia'xiao'guo 相加效果
'xiang'mu'fen'xi 项目分析
'xiang'xi'mo'shi 详析模式
'xiao'biao'xiao'du 效标效度
'xiao'du 效度
'xiao'qian'ti 小前提
'xie'fang'cha 协方差
'xin'du 信度
'xing'zheng'xing'diao'cha 行政性调查
'xu'gou'bian'xiang 虚构变项
'xu'shu'tong'ji'fa 叙述统计法
'xu'shu'xing'diao'cha 叙述性调查
'xu'wu'guan'xi 虚无关系
'xue'shu'xing'diao'cha 学术性调查
'yan'jiu'fang'an 研究方案
'yan'jiu'fang'fa 研究方法
'yan'jiu'ke'ti 研究课题
'yan'jiu'lei'xing 研究类型
'yan'jiu'mu'di 研究目的
'yan'jiu'nei'rong 研究内容
'yan'jiu'she'ji'lei'xing 研究设计类型
'yan'yi 演绎
'yan'yi'li'lun 演绎理论
'yan'yi'luo'ji 演绎逻辑
'yan'yi'san'duan'shi 演绎三段式
'yi'bi'fen'ceng'sui'ji'chou'yang 异比分层随机抽样
'yi'bian'xiang 依变项
'yi'dong'ping'jun'fa 移动平均法
'yi'xiang'xing'jie'shi 意向性解释
'yin'bian'liang 因变量
'yin'guo'guan'xi 因果关系
'yin'guo'huan'jie 因果环节
'yin'guo'jie'shi 因果解释
'yin'guo'jue'ding'lun 因果决定论
'yin'guo'mo'xing 因果模型
'yin'guo'wang 因果网
'yin'guo'xiao'guo 因果效果
'yin'guo'you'xian'xing 因果优先性
'yin'zi'fen'xi 因子分析
'yin'zi'fu'he 因子负荷
'ying'yong'yan'jiu 应用研究
'yu'ce'xiao'du 预测效度
'yu'qi'ci'shu 预期次数
'zha'gen'li'lun 扎根理论
'zhe'ban'xin'du 折半信度
'zheng'xiang'guan 正相关
'zhi'jie'xiang'guan 直接相关
'zhi'shu'fa 指数法
'zhi'yi'zhi'shu 质异指数
'zhong'jie'bian'liang 中介变量
'zhong'shu 众数
'zhong'wei'shu 中位数
'zhong'yang'ji'xian'ding'li 中央极限定理
'zhu'guan'zhu'yi 主观主义
'zhui'zong'diao'cha 追踪调查
'zhun'ze'xiao'du 准则效度
