'ba'diao 八貂
'ba'gong 八公
'ba'zuo 八座
'bei'jing'jun'zheng'fu'lu'hai'jun'da'yuan'shuai 北京军政府陆海军大元帅
'bei'shu'mi'yuan 北枢密院
'bei'shu'mi'yuan'zhong'cheng'si 北枢密院中丞司
'bei'wang'fu 北王府
'bi'de'yuan 弼德院
'bo'ji'lie 勃极烈
'cheng'xiang 丞相
'chong'zheng'yuan 崇政院
'cong'gong 从公
'da'cheng'xiang 大丞相
'da'hou'cheng 大后丞
'da'jiang'jun 大将军
'da'liang'zao 大良造
'da'qian'yi 大前疑
'da'ren 大人
'da'si'kong 大司空
'da'si'ma 大司马
'da'si'tu 大司徒
'da'yin 大尹
'da'you'bi 大右弼
'da'yu'yue 大于越
'da'yuan'shuai'da'ben'ying 大元帅大本营
'da'zheng 大政
'da'zhong'zai'qing 大冢宰卿
'da'zong'tong 大总统
'da'zuo'fu 大左辅
'dang'guo 当国
'di'yi'jie'guo'hui 第一届国会
'dong'tai 东台
'dong'wang'fu 东王府
'dou'tai 都台
'er'da 二大
'er'fu 二府
'er'qing'shi 二卿士
'er'shou 二守
'fei'chang'da'zong'tong 非常大总统
'feng'ge 凤阁
'fu'zong'tong 副总统
'guang'zhou'guo'min'zheng'fu 广州国民政府
'guo'fang'zui'gao'wei'yuan'hui 国防最高委员会
'guo'jiang 国将
'guo'min'can'zheng'hui 国民参政会
'guo'min'da'hui 国民大会
'guo'min'zheng'fu 国民政府
'guo'shi 国师
'guo'wu'yuan 国务院
'guo'xiang 国相
'hu'fa'jun'zheng'fu 护法军政府
'hu'guo'jun'jun'zheng'fu'jun'wu'yuan 护国军军政府军务院
'huang'men'sheng 黄门省
'huang'shi'zhong'shu'ji'gou 皇室中枢机构
'ji'cha'qin'feng'shang'yu'shi'jian'chu 稽察钦奉上谕事件处
'ji'sheng 计省
'ji'shu'sheng 集书省
'jia'xiang'guo 假相国
'jian'guan 谏官
'jian'guo 监国
'jian'yuan 谏院
'jie'qing 介卿
'jun'ji'chu 军机处
'jun'shi 军师
'kai'fu'yi'tong'san'si 开府仪同三司
'li'fa'yuan 立法院
'liang'fu 两府
'liang'sheng'guan 两省官
'lin'shi'can'yi'yuan 临时参议院
'lin'shi'da'zong'tong 临时大总统
'lin'shi'fa'zhi'yuan 临时法制院
'lin'shi'fu'zong'tong 临时副总统
'lin'shi'zhi'zheng 临时执政
'lin'shi'zhi'zheng'fu 临时执政府
'ling'yin 令尹
'liu'qing 六卿
'luan'tai 鸾台
'men'xia'sheng 门下省
'mo'ao 莫敖
'na'bo 捺钵
'na'yan'zhong'dai'fu 纳言中大夫
'nan'jing'lin'shi'zheng'fu'zong'tong'fu 南京临时政府总统府
'nan'sheng 南省
'nan'shu'mi'yuan 南枢密院
'nei'chao'guan 内朝官
'nei'ge 内阁
'nei'guo'shi'yuan 内国史院
'nei'hong'wen'yuan 内弘文院
'nei'mi'shu'yuan 内秘书院
'nei'san'yuan 内三院
'nei'shi'shang'dai'fu 内史上大夫
'nei'shi'sheng 内史省
'nei'shu'sheng 内书省
'qing'shi 卿士
'san'gong 三公
'san'gu 三孤
'san'guan 三官
'san'shao 三少
'san'sheng 三省
'san'shi 三师
'san'si 三司
'shang'gong 上公
'shang'qing 上卿
'shang'shu'dou'sheng 尚书都省
'shang'shu'sheng 尚书省
'shang'shu'tai 尚书台
'shao'zai 少宰
'shao'zheng 少正
'shi'zhong'si 侍中寺
'shou'xiang 守相
'shu'mi'xing'fu 枢密行府
'shu'mi'yuan 枢密院
'si'fu 四辅
'si'fu 四府
'si'lin 四邻
'tai'bao 太保
'tai'fu 太傅
'tai'ge 台阁
'tai'shi 太师
'tai'wei 太尉
'tai'xing 台省
'tai'zai 太宰
'ti'li'zheng'wu 提理政务
'tian'wang'fu 天王府
'ting'zheng 听政
'tong'zheng'shi'si 通政使司
'tong'zheng'si 通政司
'wai'chao'guan 外朝官
'wei'zheng 为政
'wen'chang'dou'tai 文昌都台
'wen'chang'tai 文昌台
'wen'guan 文馆
'wu'fu 五府
'wu'han'guo'min'zheng'fu 武汉国民政府
'xi'tai 西台
'xia'dai'fu 下大夫
'xiang'bang 相邦
'xiang'guo 相国
'xiang'shi 相室
'xing'zheng'yuan 行政院
'ya'qing 亚卿
'ya'xiang 亚相
'yan'wang'fu 燕王府
'yi'wang'fu 翼王府
'yi'zheng'wang'da'chen 议政王大臣
'you'cheng'xiang 右丞相
'you'fu 宥府
'you'qing'shi 右卿士
'you'shi 右师
'you'si 宥司
'you'xiang 右相
'you'yin 右尹
'yu'shi'da'fu 御史大夫
'yu'wang'fu 豫王府
'yu'zheng'shang'dai'fu 御正上大夫
'zai'xiang 宰相
'zai'xiang'fu 宰相府
'zai'zhi 宰执
