'an'jie 安洁
'bai'tian 百田
'bai'tian'jie'dou 百田解斗
'bai'yin'chou 白银紬
'cha'zhu 茶柱
'cha'zhu'zhuan'zi 茶柱转子
'chi'song 赤松
'chi'song'feng 赤松枫
'chun'chuan 春川
'chun'chuan'mo'ji 春川魔姬
'chun'juan 春卷
'dong'tiao'zhan'mei 东条斩美
'feng'mei 枫妹
'kun'tai 昆太
'meng'ye 梦野
'meng'ye'mi'mi'zi 梦野秘密子
'mi'mi'zi 秘密子
'mo'ji 魔姬
'ru'jian 入间
'ru'jian'mei'tu 入间美兔
'shi'qing 是清
'tian'hai 天海
'tian'hai'lan'tai'lang 天海兰太郎
'wang'ma 王马
'wang'ma'xiao'ji 王马小吉
'xiao'ji 小吉
'xing'long'ma 星龙马
'ye'chang 夜长
'ye'chang'an'jie 夜长安洁
'yu'yuan'kun'tai 狱原昆太
'zhan'mei 斩美
'zhen'gong'si 真宫寺
'zhen'gong'si'shi'qing 真宫寺是清
'zhong'yi 终一
'zhuan'zi 转子
'zui'yuan 最原
'zui'yuan'zhong'yi 最原终一
