'a'ruo 阿箬
'bai'rui'ji 白蕊姬
'chen'wan'yin 陈婉茵
'chun'fei 纯妃
'chun'pin 纯嫔
'fu'cha'lang'hua 富察琅嬅
'fu'cha'zhu'ying 富察诸瑛
'gao'jia'xi'yue 高佳晞月
'hai'chang'zai 海常在
'hai'gui'ren 海贵人
'hai'lan 海兰
'hou'gong'ru'yi'chuan 后宫如懿传
'huang'hou 皇后
'hui'gui'fei 慧贵妃
'jia'gui'ren 嘉贵人
'jia'pin 嘉嫔
'jin'yu'yan 金玉妍
'ke'li'ye'te'hai'lan 珂里叶特海兰
'lang'hua 琅嬅
'liu'lian'zi 流潋紫
'mei'chang'zai 玫常在
'mei'da'ying 玫答应
'mei'gui'ren 玫贵人
'mei'pin 玫嫔
'qing'chang'zai 庆常在
'qing'ying 青樱
'ru'yi 如懿
'shen'chang'zai 慎常在
'shen'gui'ren 慎贵人
'shen'pin 慎嫔
'shu'gui'ren 舒贵人
'shu'pin 舒嫔
'su'lv'jun 苏绿筠
'suo'chuo'lun'a'ruo 索绰伦阿箬
'wan'da'ying 婉答应
'wu'la'na'la'qing'ying 乌拉那拉青樱
'wu'la'na'la'ru'yi 乌拉那拉如懿
'xi'yue 晞月
'xian'fei 娴妃
'xian'gui'fei 娴贵妃
'ye'he'na'la'yi'huan 叶赫那拉意欢
'yi'huan 意欢
'yu'pin 愉嫔
'zhe'fei 哲妃
