'bao'bi'gang'gui 薄壁钢规
'bian'po'gui 边坡规
'cheng'qiao'kang'gui 城桥抗规
'cheng'shi'qiao'gui 城市桥规
'cheng'shi'qiao'liang'kang'zhen'she'ji'gui'fan 城市桥梁抗震设计规范
'cheng'shi'qiao'liang'she'ji'gui'fan 城市桥梁设计规范
'di'chu'gui 地处规
'di'gui 地规
'di'ji'jia'gu'gui 地基加固规
'di'yan'gui 地验规
'dian'shi 电施
'er'ji'zhu'ce'jie'gou'gong'cheng'shi 二级注册结构工程师
'er'ji'zhu'ce'jie'gou'gong'cheng'shi'zhuan'ye'kao'shi 二级注册结构工程师专业考试
'fang'huo'gui'fan 防火规范
'gang'biao 钢标
'gang'han'jie'gui 钢焊接规
'gang'jia 刚架
'gang'jie'gou'gao'qiang'du'luo'shuan'lian'jie'ji'shu'gui'cheng 钢结构高强度螺栓连接技术规程
'gang'jie'gou'gong'cheng'shi'gong'zhi'liang'yan'shou'gui'fan 钢结构工程施工质量验收规范
'gang'jie'gou'han'jie'gui'fan 钢结构焊接规范
'gang'jie'gou'she'ji'biao'zhun 钢结构设计标准
'gang'jie'gou'shi'gong'tu 钢结构施工图
'gang'shi 钢施
'gao'ceng'jian'zhu'hun'ning'tu'jie'gou'ji'shu'gui'cheng 高层建筑混凝土结构技术规程
'gao'ceng'min'yong'jian'zhu'gang'jie'gou'ji'shu'gui'cheng 高层民用建筑钢结构技术规程
'gao'gang'gui 高钢规
'gao'gui 高规
'gong'lu'qiao'han'she'ji'tong'yong'gui'fan 公路桥涵设计通用规范
'gong'lu'qiao'liang'kang'zhen'she'ji'xi'ze 公路桥梁抗震设计细则
'gong'qiao'hun'gui 公桥混规
'gong'qiao'kang'ze 公桥抗则
'gong'qiao'tong'gui 公桥通规
'gui'fan'jian'cheng 规范简称
'he'gui 荷规
'hun'gui 混规
'hun'jia'gu'gui 混加固规
'hun'ning'tu'jie'gou'jia'gu'she'ji'gui'fan 混凝土结构加固设计规范
'hun'ning'tu'jie'gou'she'ji'gui'fan 混凝土结构设计规范
'hun'ning'tu'yi'xing'zhu'jie'gou'ji'shu'gui'cheng 混凝土异形柱结构技术规程
'hun'yan'gui 混验规
'ji'you'jian'zhu'di'ji'ji'chu'jia'gu'ji'shu'gui'fan 既有建筑地基基础加固技术规范
'jian'shi 建施
'jian'zhu'bian'po'gong'cheng'ji'shu'gui'fan 建筑边坡工程技术规范
'jian'zhu'di'ji'chu'li'ji'shu'gui'fan 建筑地基处理技术规范
'jian'zhu'di'ji'ji'chu'she'ji'gui'fan 建筑地基基础设计规范
'jian'zhu'gong'cheng'kang'fu'ji'shu'biao'zhun 建筑工程抗浮技术标准
'jian'zhu'gong'cheng'kang'zhen'she'fang'fen'lei'biao'zhun 建筑工程抗震设防分类标准
'jian'zhu'jie'gou'he'zai'gui'fan 建筑结构荷载规范
'jian'zhu'jie'gou'ke'kao'xing'she'ji'tong'yi'biao'zhun 建筑结构可靠性设计统一标准
'jian'zhu'kang'zhen'she'ji'gui'fan 建筑抗震设计规范
'jian'zhu'she'ji'fang'huo'gui'fan 建筑设计防火规范
'jian'zhu'zhuang'ji'ji'shu'gui'fan 建筑桩基技术规范
'jie'gou'shi'gong'tu 结构施工图
'jie'shi 结施
'kang'fu'mao'gan'ji'shu'gui'cheng 抗浮锚杆技术规程
'kang'gui 抗规
'ke'kao'xing'biao'zhun 可靠性标准
'kong'jian'wang'ge'jie'gou'ji'shu'gui'cheng 空间网格结构技术规程
'leng'wan'bao'bi'xing'gang'jie'gou'ji'shu'gui'fan 冷弯薄壁型钢结构技术规范
'luo'shuan'gui'cheng 螺栓规程
'men'gang 门刚
'men'gang'gui 门刚规
'men'shi'gang'jia 门式刚架
'mu'biao 木标
'mu'jie'gou'she'ji'biao'zhun 木结构设计标准
'nuan'shi 暖施
'qi'gui 砌规
'qi'ti'jie'gou'gong'cheng'shi'gong'zhi'liang'yan'shou'gui'fan 砌体结构工程施工质量验收规范
'qi'ti'jie'gou'she'ji'gui'fan 砌体结构设计规范
'qi'yan'gui 砌验规
'she'fang'fen'lei'biao'zhun 设防分类标准
'shi'xian'xing'huang'tu'di'qu'jian'zhu'biao'zhun 湿陷性黄土地区建筑标准
'shui'shi 水施
'tian'qiao'gui'fan 天桥规范
'tiao'liang 挑梁
'wang'ge'gui'cheng 网格规程
'yan'cong'gui 烟囱规
'yan'cong'she'ji'gui'fan 烟囱设计规范
'yi'ji'zhu'ce'jie'gou'gong'cheng'shi 一级注册结构工程师
'yi'ji'zhu'ce'jie'gou'gong'cheng'shi'zhuan'ye'kao'shi 一级注册结构工程师专业考试
'yi'xing'zhu'gui 异形柱规
'ying'jian'ke 盈建科
'yu'peng 雨篷
'zhu'bing'yin 朱炳寅
'zhuang'gui 桩规
'zu'he'gui 组合规
'zu'he'jie'gou'ji'shu'gui'cheng 组合结构技术规程
