'bian'ji 编辑
'bian'shen 编审
'bo'yin'yuan 播音员
'bo'yin'zhi'dao 播音指导
'chu'ban'zhuan'ye'ren'yuan'bian'shen 出版专业人员编审
'chu'ban'zhuan'ye'ren'yuan'ji'shu'bian'ji 出版专业人员技术编辑
'chu'ban'zhuan'ye'ren'yuan'jiao'dui 出版专业人员校对
'chuan'bo'ji'shu'ren'yuan'bao'wu 船舶技术人员报务
'chuan'bo'ji'shu'ren'yuan'dian'ji 船舶技术人员电机
'chuan'bo'ji'shu'ren'yuan'jia'shi 船舶技术人员驾驶
'chuan'bo'ji'shu'ren'yuan'lun'ji 船舶技术人员轮机
'chuan'bo'ji'shu'ren'yuan'yin'hang 船舶技术人员引航
'chuan'zhang'da'fu 船长大副
'dang'an'zhuan'ye'ren'yuan 档案专业人员
'er'deng'bao'wu'yuan 二等报务员
'er'deng'dian'ji'yuan 二等电机员
'er'fu 二副
'er'guan'lun 二管轮
'er'ji'bian'ju 二级编剧
'er'ji'bo'yin'yuan 二级播音员
'er'ji'dao'yan 二级导演
'er'ji'fei'xing'ji'xie'yuan 二级飞行机械员
'er'ji'fei'xing'tong'xin'yuan 二级飞行通信员
'er'ji'fei'xing'yuan 二级飞行员
'er'ji'gong'zheng'yuan 二级公证员
'er'ji'jiao'dui 二级校对
'er'ji'jiao'lian 二级教练
'er'ji'jiao'shi 二级教师
'er'ji'jiao'shi'xiao'xue 二级教师小学
'er'ji'jiao'shi'zhong'xue 二级教师中学
'er'ji'ling'hang'yuan 二级领航员
'er'ji'lv'shi 二级律师
'er'ji'mei'shu'shi 二级美术师
'er'ji'shi'xi'zhi'dao'jiao'shi 二级实习指导教师
'er'ji'wu'mei'she'ji'shi 二级舞美设计师
'er'ji'yan'yuan 二级演员
'er'ji'yan'zou'yuan 二级演奏员
'er'ji'zhi'hui 二级指挥
'er'ji'zuo'qu 二级作曲
'fa'yi'shi 法医士
'fa'yi'shi 法医师
'fa'yi'zhuan'ye'ren'yuan 法医专业人员
'fan'yi 翻译
'fan'yi'ren'yuan 翻译人员
'fei'xing'ji'shu'ren'yuan'ji'xie 飞行技术人员机械
'fei'xing'ji'shu'ren'yuan'jia'shi 飞行技术人员驾驶
'fei'xing'ji'shu'ren'yuan'ling'hang 飞行技术人员领航
'fei'xing'ji'shu'ren'yuan'tong'xin 飞行技术人员通信
'fu'bian'shen 副编审
'fu'jiao'shou 副教授
'fu'jiao'shou'gai'ge 副教授改革
'fu'yan'jiu'guan'yuan'dang'an 副研究馆员档案
'fu'yan'jiu'guan'yuan'qun'zhong'wen'hua 副研究馆员群众文化
'fu'yan'jiu'guan'yuan'tu'shu 副研究馆员图书
'fu'yan'jiu'guan'yuan'wen'bo 副研究馆员文博
'fu'yan'jiu'yuan 副研究员
'fu'yi'shen 副译审
'fu'zhu'ren'fa'yi'shi 副主任法医师
'fu'zhu'ren'hu'shi 副主任护师
'fu'zhu'ren'ji'shi 副主任技师
'fu'zhu'ren'yao'shi 副主任药师
'fu'zhu'ren'yi'shi 副主任医师
'gao'deng'xue'xiao'jiao'shi 高等学校教师
'gao'deng'xue'xiao'jiao'shi'gai'ge 高等学校教师改革
'gao'deng'xue'xiao'yan'jiu'yuan 高等学校研究员
'gao'ji'bao'wu'yuan 高级报务员
'gao'ji'bian'ji 高级编辑
'gao'ji'chuan'zhang 高级船长
'gao'ji'dian'ji'yuan 高级电机员
'gao'ji'gong'cheng'shi 高级工程师
'gao'ji'gong'yi'mei'shu'shi 高级工艺美术师
'gao'ji'ji'zhe 高级记者
'gao'ji'jiang'shi'ji'xiao 高级讲师技校
'gao'ji'jiang'shi'zhong'zhuan 高级讲师中专
'gao'ji'jiao'lian 高级教练
'gao'ji'jiao'shi 高级教师
'gao'ji'jiao'shi'xiao'xue 高级教师小学
'gao'ji'jiao'shi'zhong'xue 高级教师中学
'gao'ji'jing'ji'shi 高级经济师
'gao'ji'kuai'ji'shi 高级会计师
'gao'ji'lun'ji'zhang 高级轮机长
'gao'ji'nong'yi'shi 高级农艺师
'gao'ji'shen'ji'shi 高级审计师
'gao'ji'shi'xi'zhi'dao'jiao'shi 高级实习指导教师
'gao'ji'shi'yan'shi 高级实验师
'gao'ji'shou'yi'shi 高级兽医师
'gao'ji'tong'ji'shi 高级统计师
'gao'ji'xu'mu'shi 高级畜牧师
'gao'ji'yin'hang'yuan 高级引航员
'gao'ji'zheng'gong'shi 高级政工师
'gong'cheng'ji'shu'ren'yuan 工程技术人员
'gong'cheng'shi 工程师
'gong'yi'mei'shu'ren'yuan 工艺美术人员
'gong'yi'mei'shu'shi 工艺美术师
'gong'yi'mei'shu'yuan 工艺美术员
'gong'zheng'yuan 公证员
'gong'zheng'zhu'li'yuan 公证助理员
'guan'li'yuan'dang'an 管理员档案
'guan'li'yuan'qun'zhong'wen'hua 管理员群众文化
'guan'li'yuan'tu'shu 管理员图书
'guan'li'yuan'wen'bo 管理员文博
'guan'yuan'dang'an 馆员档案
'guan'yuan'qun'zhong'wen'hua 馆员群众文化
'guan'yuan'tu'shu 馆员图书
'guan'yuan'wen'bo 馆员文博
'guo'jia'ji'jiao'lian 国家级教练
'hu'shi 护士
'hu'shi 护师
'ji'gong'xue'xiao'jiao'shi 技工学校教师
'ji'gong'xue'xiao'jiao'shi'shi'xi'zhi'dao 技工学校教师实习指导
'ji'shi 技士
'ji'shi 技师
'ji'shu'bian'ji 技术编辑
'ji'shu'she'ji'yuan 技术设计员
'ji'shu'yuan 技术员
'ji'zhe 记者
