'a'ji'te 阿基特
'ai'ha 艾哈
'ai'mei 爱美
'ai'nu'ma'ye'er 艾努玛耶尔
'an'ji'zhi'jia 安济知佳
'ba'zhua'hui 八爪会
'bai'gui'dui 百鬼队
'bai'rui 白叡
'bai'shi'liang'zi 白石凉子
'bu'si'shang'ren 不死商人
'cheng'tian'liang'wu 成田良悟
'chi'yu'gen'jian'zhi 赤羽根健治
'da'chuan'tou 大川透
'da'xi'yi 大蜥蜴
'da'yuan'sha'ye'xiang 大原沙耶香
'da'zhong'fang'zhong 大冢芳忠
'dao'hu'li'liu 岛户莉瑠
'du'bian'yao 渡边遥
'duo'na'ti'ya 多纳提亚
'duo'na'ti'ya'jun 多纳提亚军
'duo'na'ti'ya'shou'hu'shen 多纳提亚守护神
'fei'yan 绯焰
'fu'yue 浮岳
'ge'ming'jun 革命军
'gou'la'ma 狗拉玛
'gu'mu'wang 古木望
'guan'zhi'yi 关智一
'hei'long 黑龙
'hei'long'qi'shi 黑龙骑士
'hei'long'qi'shi'tuan 黑龙骑士团
'hong'he 红鹤
'hong'long 红龙
'hong'long'zhan'yi 红龙战役
'hong'yu'yi'yue 红玉伊月
'hong'zhi'long 红之龙
'huang'lan 黄烂
'huang'lan'ren'lei'fu 黄烂仁雷府
'huang'tong'zhong 煌统种
'hun'cheng'diao'cha'dui 混成调查队
'hun'za'zhe 混杂者
'huo'gu'la'ba 祸古拉巴
'ji'bu'ji 忌布基
'jiang'kou'tuo'ye 江口拓也
'jin'cun'cai'xia 今村彩夏
'jing'shang'ma'li'nai 井上麻里奈
'ke'la'ci'wa'li'jia 克拉茨瓦利家
'ke'yi 可伊
'le'shao 乐绍
'lian'xi'zhe 联系者
'ling'gong'lie 令公烈
'ling'mu 灵母
'long'zhi'li 龙之力
'lou'zhen'hua 娄震华
'mei'li'er 梅莉尔
'mei'li'er'xia'bei'te 梅莉尔夏贝特
'mi'si'ka 密斯卡
'mu'cun'liang'ping 木村良平
'nai'xu'mo'gu 奈须蘑菇
'nei'tian'zhen'li 内田真礼
'ni'er'ka'mu'yi 尼尔卡姆伊
'ni'er'ka'mu'yi 尼尔卡姆依
'qi'sha'tian'ling 七杀天凌
'qi'teng'zhuang'ma 齐藤壮马
'qi'yue'zhi'zi 契约之子
'shan'si'hong'yi 山寺宏一
'shi'zhong'yun'sheng 石冢运升
'si'wa'luo 斯瓦罗
'si'wa'luo'ke'la'ci'wa'li 斯瓦罗克拉茨瓦利
'song'jing'hui'li'zi 松井惠理子
'suo'er 索尔
'teng'yuan'qi'zhi 藤原启治
'tian'wan'du'zhi 田丸笃志
'wa'er 瓦尔
'wu'er'li'ka 乌尔莉卡
'wu'er'li'ka'lei'di'si'ma 乌尔莉卡雷蒂斯玛
'wu'xing'ti 五行躰
'xi'mei'weng 西梅翁
'xia'bei'te'shang'hui 夏贝特商会
'xia'di 夏蒂
'xian'wang'ye'ma'duo 先王耶玛多
'xiu'ka 修卡
'xu'yuan'xuan 虚渊玄
'xue'lian 雪莲
'you'mu'bi 悠木碧
'ze'cheng'mei'xue 泽城美雪
'zhao'jing'chun'jia 照井春佳
'zhen'bai 真白
'zhong'tian'rang'zhi 中田让治
'zhu'nuo'li 祝诺莉
'zuo'teng'qing'nan 佐藤晴男
