'ba'mo 拔模
'bao'pian 薄片
'bei'tou 杯头
'bei'tou'luo'si 杯头螺丝
'bei'zhu 备注
'bi'kong 避空
'bian'ding 边钉
'bian'ding'zhen 扁顶针
'bian'si 边司
'bian'suo 边锁
'bian'zhen 扁针
'biao'mian'yao'qiu 表面要求
'biao'pai 标牌
'bo'gang 薄钢
'bo'zai'luo'si 波仔螺丝
'bo'zi'dan'gong 波子弹弓
'bo'zi'luo'si 波子螺丝
'bo'zi'tan'huang 波子弹簧
'bu'zhun'yong'xiang'jian 不准用镶件
'cai'liao 材料
'cha'chuan 插穿
'cha'gu 插骨
'cha'tou 插头
'cha'zuo 插座
'chan'ji 铲机
'chan'ji 铲鸡
'chang'yong'ming 常用名
'che'chuang 车床
'cheng'ban 承板
'cheng'ji 撑鸡
'cheng'tou 撑头
'chi'lun 齿轮
'chi'tiao 齿条
'chong'hua 冲花
'chu'mo 出模
'chu'san'jian 出散件
'chu'tu 出图
'cu'dian'ji 粗电极
'cu'gong 粗工
'cu'jia'gong 粗加工
'cui'huo 淬火
'cun'fa'ji'dian 寸法基点
'da'guang 打光
'da'he 打合
'da'huo'hua 打火花
'da'shui'kou 大水口
'da'shui'kou'mo 大水口模
'da'tong 大同
'dan'gong 弹弓
'dan'gong'jiao 弹弓胶
'dan'gong'zhu 弹弓柱
'dan'hua 氮化
'dang'ban 挡板
'dang'shui'ban 挡水板
'dao'bian 导边
'dao'hua'kuai 导滑块
'dao'jiao 倒角
'dao'kou 倒扣
'dao'tao 导套
'dao'xiang'kuai 导向块
'dao'zhu 导柱
'de'sheng 德胜
'di'ban 底板
'di'zhen'ban 底针板
'dian'du 电镀
'dian'ji 电极
'dian'jiao 垫脚
'dian'mu 电木
'dian'nao'luo 电脑锣
'dian're'chen'tao 电热衬套
'dian're'guan 电热管
'dian're'quan 电热圈
'dian'shi 点蚀
'diao'huan 吊环
'diao'ke 雕刻
'diao'mo'kong 吊模孔
'diao'mo'luo'si 吊模螺丝
'ding'ao 顶凹
'ding'bai 顶白
'ding'ban 顶板
'ding'chu'ju'li 顶出距离
'ding'chu'kuai 顶出块
'ding'gun 顶棍
'ding'gun'kong 顶棍孔
'ding'ju 定距
'ding'mo 定模
'ding'suo 定锁
'ding'wei'gang'zhu 定位钢珠
'ding'wei'huan 定位环
'ding'wei'quan 定位圈
'ding'wei'xiao 定位销
'ding'wei'zhu 定位珠
'ding'xin'bang 定芯棒
'ding'zhen 顶针
'ding'zhen'ban 顶针板
'ding'zhen'ban'dao'tao 顶针板导套
'ding'zhen'ban'dao'zhu 顶针板导柱
'ding'zhen'dai 顶针代
'ding'zhen'di'ban 顶针底板
'ding'zhen'mian'ban 顶针面板
'dong'mo 动模
'du'ding'wei'kuai 度定位块
'du'tong 堵铜
'duan'cha 段差
'duan'lie 断裂
'duo'jiao 多胶
'er'ban'mo 二板模
'er'ci'ding'chu 二次顶出
'fa'lan 法兰
'fa're'guan 发热管
'fan'chan 反铲
'fan'wei 反为
'fang'da'tu 放大图
'fang'dian 放电
'fang'dian'jian'xi 放电间隙
'fang'ding'zhen 方顶针
'fang'shui'jiao'quan 防水胶圈
'fang'suo'shui 放缩水
'fang'tie 方铁
'fang'xing'fu'zhu'qi 方型辅助器
'fang'zhuan 防转
'fei'bian 飞边
'fei'biao 非标
'fei'lin 菲林
'fei'mo 飞模
'fen'liu'dao'ban 分流道板
'fen'liu'zhui 分流锥
'fen'mo 分模
'fen'mo'mian 分模面
'feng'liao 封料
'fu'de'ba 富得巴
'fu'shi 腐蚀
'fu'wei'ding'gan 复位顶杆
'fu'wei'gan 复位杆
'fu'wei'jian 复位键
'fu'zhen 扶针
'gan'wen'qi 感温器
'gan'wen'xian 感温线
'gang'xing'kou'ji 刚性扣机
'ge'pian 隔片
'ge're 隔热
'ge're'ban 隔热板
'ge'shui'pian 隔水片
'gen'xing 跟形
'gen'yuan 根元
'gong'cha 公差
'gong'mo 公模
'gong'mo'ren 公模仁
'gong'mu'ban 公模板
'gong'ya 攻牙
'gou'pei 勾配
'gou'zhen 勾针
'gu'wei 骨位
'guan'ding 管钉
'guang'dao 光刀
'gui'ge 规格
'gun'ya 滚压
'guo'du'pei'he 过渡配合
'guo'qie 过切
'ha'si'gao 哈斯高
'he'mo 合模
'he'xin 呵芯
'hong'gan 烘干
'hong'tong 红铜
'hong'yin 烘印
'hou'guan 喉管
'hou'mo 后模
'hou'sai 喉塞
'hu'huan'xiang'jian 互换镶件
'hua'kuai 滑块
'hua'kuai'dao'gui 滑块导轨
'hua'kuai'shu'kuai 滑块束块
'hua'kuai'xiang'jian 滑块镶件
'hua'kuai'zuo 滑块座
'huang'tong 黄铜
'hui'zhen 回针
'huo'dong'bi 活动臂
'huo'hua'ji 火花机
'huo'hua'wei 火花位
'huo'shan'kou 火山口
'ji'chuang 机床
'ji'dian 基点
'ji'ju 唧咀
'ji'mi 机米
'ji'zhong'zai'he'tan'huang 极重载荷弹簧
'ji'zui 唧嘴
'ji'zui'kou'jing 唧嘴口径
'ji'zui'zhi'liu 唧嘴直流
'jia'chang'shui'zui 加长水嘴
'jia'gong'zhong'xin 加工中心
'jia'ji 加急
'jia'jiao 加胶
'jia'qiang'jin 加强筋
'jia're'bang 加热棒
'jia'ti 假体
'jian'dian'shi 尖点式
'jian'jiao 减胶
'jian'rou 减肉
'jiang'mian 降面
'jiao'he 校核
'jiao'kou 浇口
'jiao'kou'chen'tao 浇口衬套
'jiao'kou'chen'tao 胶口衬套
