'bai'feng 白凤
'bai'tao 白桃
'cang'fang 仓方
'cang'fang'han 仓方旱
'cang'fang'han'sheng 仓方旱生
'chi'yue 赤月
'chuan'bai 川白
'chuan'bai'feng 川白凤
'chuan'zhong 川中
'chuan'zhong'dao 川中岛
'chuan'zhong'dao'bai 川中岛白
'chuan'zhong'dao'bai'tao 川中岛白桃
'da'yu 大玉
'da'yu'bai 大玉白
'da'yu'bai'feng 大玉白凤
'da'yu'bai'tao 大玉白桃
'dao'bai'tao 岛白桃
'fang'han 方旱
'fang'han'sheng 方旱生
'han'sheng 旱生
'han'sheng'huang 旱生黄
'han'sheng'huang'jin 旱生黄金
'han'sheng'huang'jin'tao 旱生黄金桃
'he'bai 和白
'he'bai'tao 和白桃
'huang'jin'tao 黄金桃
'huang'xia 黄夏
'jin'tao 金桃
'mei'qing 美晴
'mei'qing'bai 美晴白
'mei'qing'bai'tao 美晴白桃
'qian'qu 千曲
'qian'qu'bai 千曲白
'qian'qu'bai'feng 千曲白凤
'qing'bai 晴白
'qing'bai'tao 晴白桃
'qing'shui 清水
'qing'shui'bai 清水白
'qing'shui'bai'feng 清水白凤
'qing'shui'bai'tao 清水白桃
'qu'bai 曲白
'qu'bai'feng 曲白凤
'ri'chuan 日川
'ri'chuan'bai 日川白
'ri'chuan'bai'feng 日川白凤
'sheng'huang 生黄
'sheng'huang'jin 生黄金
'sheng'huang'jin'tao 生黄金桃
'shui'bai 水白
'shui'bai'feng 水白凤
'shui'bai'tao 水白桃
'tao'miao 桃苗
'wei'jin 尾金
'xi'wei 西尾
'xi'wei'jin 西尾金
'xia'ji 夏姬
'yang'xia 阳夏
'yang'xia'ji 阳夏姬
'yu'bai 玉白
'yu'bai'feng 玉白凤
'yu'bai'tao 玉白桃
'zhao'he 昭和
'zhao'he'bai 昭和白
'zhao'he'bai'tao 昭和白桃
'zhong'dao 中岛
'zhong'dao'bai 中岛白
'zhong'dao'bai'tao 中岛白桃
