'ai'si 艾斯
'bai'hu'zi 白胡子
'bai'hu'zi'hai'zei'tuan'er'fan'dui'dui'zhang 白胡子海贼团二番队队长
'bai'hu'zi'hai'zei'tuan'yi'fan'dui'dui'zhang 白胡子海贼团一番队队长
'bu'lu'ke 布鲁克
'bu'si'niao 不死鸟
'cao'mao'xiao'zi 草帽小子
'e'mo'zhi'zi 恶魔之子
'fu'lan'qi 弗兰奇
'ge'ming'jia 革命家
'ge'ming'jun'er'ba'shou 革命军二把手
'ge'ming'jun'shou'ling 革命军首领
'ge'ming'jun'zong'can'mou'zhang 革命军总参谋长
'hai'xia 海侠
'hai'zei'lie'ren 海贼猎人
'hai'zei'nv'di 海贼女帝
'han'ku'ke 汉库克
'hei'zu 黑足
'hong'fa 红发
'huo'quan 火拳
'ju'ji'wang 狙击王
'ling'hun'zhi'wang 灵魂之王
'lu'fei 路飞
'luo'bin 罗宾
'ma'er'ke 马尔科
'mi'huo'ke 米霍克
'na'mei 娜美
'niu'gai'te 纽盖特
'qiao'ba 乔巴
'sa'bo 萨博
'shan'zhi 山治
'shen'ping 甚平
'shi'jie'di'yi'jian'hao 世界第一剑豪
'shi'jie'di'yi'mei'nv 世界第一美女
'suo'long 索隆
'wu'suo'pu 乌索普
'xiang'ke'si 香克斯
'xiao'zei'mao 小贼猫
'ying'yan 鹰眼
