'bu'chang'zhuang'zhi 补偿装置
'cheng'li'suo 承力索
'dian'lian'jie 电连接
'diao'xian 吊弦
'diao'zhu 吊柱
'ding'wei'guan 定位管
'ding'wei'qi 定位器
'ding'wei'xian'jia 定位线夹
'fen'qu'ting 分区亭
'fu'jia'dao'xian 附加导线
'heng'xiang'cheng'li'suo 横向承力索
'heng'xiang'dian'lian'jie 横向电连接
'hui'liu'xian 回流线
'jie'chu'wang 接触网
'jie'chu'xian 接触线
'kai'bi'suo 开闭所
'kui'xian 馈线
'qian'yin'bian'dian'suo 牵引变电所
'ruan'heng'kua 软横跨
'shang'wang 上网
'shang'xia'bu'gu'ding'sheng 上下部固定绳
'shou'dian'gong 受电弓
'wan'bi 碗臂
'xi'liu'bian 吸流变
'xi'shang'xian 吸上线
'xia'mao 下锚
'ying'heng'liang 硬横梁
'zhong'xin'mao'jie 中心锚结
'zhui'tuo 坠陀
'zong'xiang'dian'lian'jie 纵向电连接
