'da'lv 大吕
'gu'chi 古尺
'gu'xian 姑冼
'hong'xian'gao'xia 洪纤高下
'huang'zhong 黄钟
'ji'shi 积实
'jia'zhong 夹钟
'jin'chi 今尺
'lin'zhong 林钟
'lv'lv 律吕
'nan'lv 南吕
'rong'shu 容黍
'rui'bin 蕤宾
'san'fen'sun'yi 三分损益
'sun'yi'xiang'sheng 损益相生
'tai'cu 太簇
'wu'yi 无射
'yi'ze 夷则
'ying'zhong 应钟
'zhong'lv 仲吕
'zhong'sheng 中声
'zhou'jing 周径
'zong'chang 纵长
