'ai'hu 艾虎
'an'ba'xian 暗八仙
'an'ju'le'ye 安居乐业
'ba'bao'hua 八宝花
'ba'bao'sheng'hui 八宝生辉
'ba'bao'wen 八宝纹
'ba'gua'tu 八卦图
'ba'ji 八吉
'ba'ji'xiang 八吉祥
'ba'jun 八骏
'ba'xia 霸下
'ba'xian 八仙
'ba'xian'guo'hai 八仙过海
'bai'hu 白虎
'bai'lu 百禄
'bai'shi'ru'yi 百事如意
'bai'shou'tu 百寿图
'bai'tou'fu'gui 白头富贵
'bai'zi'tong'shi 百子同室
'bai'zi'tu 百子图
'bao'hua'hua 宝花花
'bao'xian'hua 宝仙花
'bao'xiang'hua 宝相花
'ben'gu'zhi'rong 本固枝荣
'bi'an 狴犴
'bi'dei'qi'shou 必得其寿
'bi'mu'yu'wen 比目鱼纹
'bi'xi 贔屃
'bi'xie 辟邪
'bi'yi'niao 比翼鸟
'bian'di'za'hua 遍地杂花
'bian'fu'wen 蝙蝠纹
'bing'di'tong'xin 并蒂同心
'bo'gu'wen 博古纹
'cang'long 苍龙
'chan'chu'wen 蟾蜍纹
'chan'zhi'lian 缠枝莲
'chan'zhi'mu'dan 缠枝牡丹
'chan'zhi'pu'tao 缠枝葡萄
'chan'zhi'wen 缠枝纹
'chang'le'wei'yang 长乐未央
'chang'ming'fu'gui 长命富贵
'chang'shou 长寿
'chao'feng 嘲风
'chao'yang'ming'feng 朝阳鸣凤
'chi'wen 螭纹
'chi'wu 赤乌
'chun'niu 春牛
'cun'wu 踆乌
'da'ji 大吉
'dan'feng'chao'yang 丹凤朝阳
'dan'shan'cai'feng 丹山彩凤
'dou'niu'wen 斗牛纹
'du'zhan'ao'tou 独占鳌头
'er'shi'ba'xiu'qing'long'bai'hu'wen 二十八宿青龙白虎纹
'er'shi'si'xiao 二十四孝
'fang'sheng'wen 方胜纹
'fei'tian'wen 飞天纹
'fei'yu'wen 飞鱼纹
'feng'chuan'mu'dan 凤穿牡丹
'feng'hou'gua'yin 封侯挂印
'feng'huang'wen 凤凰纹
'feng'xi'mu'dan 凤喜牡丹
'fu'ba 符拔
'fu'gui'gong'ming 富贵功名
'fu'gui'rong'hua 富贵荣华
'fu'gui'shou'kao 富贵寿考
'fu'lu 福鹿
'fu'lu 福禄
'fu'lu'shou'san'xing 福禄寿三星
'fu'lu'shuang'quan 福禄双全
'fu'shou'shuang'quan 福寿双全
'fu'zeng'gui'zi 福增贵子
'gong'ming'fu'gui 功名富贵
'gong'ming'niao 共命鸟
'gua'die'mian'mian 瓜瓞绵绵
'gui'she 龟蛇
'gui'wen 龟纹
'guo'hua 国花
'he'he'er'sheng 和合二圣
'he'he'er'xian 和合二仙
'he'he'ru'yi 和合如意
'he'ping'ge 和平鸽
'he'shou'song'ling 鹤寿松龄
'he'shou'yan'nian 鹤寿延年
'hu'wen 虎纹
'hua'feng'san'zhu 华封三祝
'huang'jia'chuan'lu 黄甲传胪
'hui'wen 回纹
'huo'yan'wen 火焰纹
'ji'le'tian 伎乐天
'ji'qing'you'yu 吉庆有余
'ji'xiang'ru'yi 吉祥如意
'ji'xiang'tu'an 吉祥图案
'ji'yang 吉羊
'jia'guan'jin'jue 加官晋爵
'jian'ta'fu 犍闼缚
'jian'ta'po 犍闼婆
'jin'tu 金兔
'jin'wu 金乌
'jin'yu'man'tang 金玉满堂
'jiu'wen 鸠纹
'jiu'wu'zhi'zun 九五之尊
'jiu'xian'pan'tao 鸠献蟠桃
'jiu'yang'xiao'han'tu 九阳消寒图
'ju'bao'pen 聚宝盆
'ju'hua'wen 菊花纹
'juan'yun'wen 卷云纹
'jue'lu'feng'hou 爵禄封侯
'lan'hua'wen 兰花纹
'le'shen 乐神
'li'yu'tiao'long'men 鲤鱼跳龙门
'lian'hua'wen 莲花纹
'lian'hua'yi'jing 莲花一茎
'lian'nian'you'yu 连年有余
'lian'zhong'san'yuan 连中三元
'ling'kong'zhi'shen 凌空之神
'liu'hai'xi'jin'chan 刘海戏金蟾
'liu'he'tong'chun 六合同春
'liu'kai'xi'zi 榴开西子
'liu'shui'tao'hua 流水桃花
'long 龙
'long'fei'feng'wu 龙飞凤舞
'long'feng'cheng'yang 龙凤呈样
'long'sheng'jiu'zi 龙生九子
'long'zheng'hu'dou 龙争虎斗
'lu'he'tong'chun 鹿鹤同春
'lu'wen 鹿纹
'ma'shang'feng'hou 马上封侯
'man'di'jiao 满地娇
