'a'er'ba'ni'ya'yu 阿尔巴尼亚语
'a'la'bo'yu 阿拉伯语
'an'quan'fang'fan'gong'cheng 安全防范工程
'an'quan'gong'cheng 安全工程
'bao'jia'li'ya'yu 保加利亚语
'bao'shi'ji'cai'liao'gong'yi'xue 宝石及材料工艺学
'bao'xian 保险
'bao'zhuang'gong'cheng 包装工程
'bian'fang'guan'li 边防管理
'bian'fang'zhi'hui 边防指挥
'bian'ji'chu'ban'xue 编辑出版学
'biao'yan 表演
'bing'qi'gong'cheng 兵器工程
'bo'lan'yu 波兰语
'bo'si'yu 波斯语
'bo'wu'guan'xue 博物馆学
'bo'yin'yu'zhu'chi'yi'shu 播音与主持艺术
'cai'kuang'gong'cheng 采矿工程
'cai'liao'cheng'xing'ji'kong'zhi'gong'cheng 材料成型及控制工程
'cai'liao'hua'xue 材料化学
'cai'liao'ke'xue'lei 材料科学类
'cai'liao'ke'xue'lei'zhong'wai'he'zuo'ban'xue 材料科学类中外合作办学
'cai'liao'ke'xue'yu'gong'cheng 材料科学与工程
'cai'liao'lei 材料类
'cai'liao'lei'zhong'wai'he'zuo'ban'xue 材料类中外合作办学
'cai'liao'wu'li 材料物理
'cai'wu'guan'li 财务管理
'cai'wu'kuai'ji'jiao'yu 财务会计教育
'cai'zheng'xue 财政学
'can'xue 蚕学
'cao'ye'ke'xue 草业科学
'cao'ye'ke'xue'lei 草业科学类
'cao'ye'ke'xue'lei'zhong'wai'he'zuo'ban'xue 草业科学类中外合作办学
'ce'hui'gong'cheng 测绘工程
'ce'hui'lei 测绘类
'ce'hui'lei'zhong'wai'he'zuo'ban'xue 测绘类中外合作办学
'ce'kong'gong'cheng 测控工程
'ce'kong'ji'shu'yu'yi'qi 测控技术与仪器
'ce'liang'gong'cheng 测量工程
'cha'xue 茶学
'chan'pin'zhi'liang'gong'cheng 产品质量工程
'chao'xian'yu 朝鲜语
'che'liang'gong'cheng 车辆工程
'che'liang'yun'yong'gong'cheng 车辆运用工程
'cheng'shi'di'xia'kong'jian'gong'cheng 城市地下空间工程
'cheng'shi'guan'li 城市管理
'cheng'shi'gui'hua 城市规划
'chuan'bo'xue 传播学
'chuan'bo'yu'hai'yang'gong'cheng 船舶与海洋工程
'chuan'ting'zhi'hui 船艇指挥
'da'qi'ke'xue 大气科学
'da'qi'ke'xue'ji'di'ban 大气科学基地班
'da'qi'ke'xue'lei 大气科学类
'dan'yao'gong'cheng 弹药工程
'dan'yao'gong'cheng'yu'bao'zha'ji'shu 弹药工程与爆炸技术
'dang'an'xue 档案学
'dao'dan'gong'cheng 导弹工程
'dao'hang'gong'cheng 导航工程
'dao'lu'qiao'liang'yu'du'he'bin'hai'gong'cheng 道路桥梁与渡河濒海工程
'dao'lu'qiao'liang'yu'du'he'gong'cheng 道路桥梁与渡河工程
'dao'yan 导演
'de'yu 德语
'di'kuang'lei 地矿类
'di'lei'bao'po'yu'po'zhang'gong'cheng 地雷爆破与破障工程
'di'li'ke'xue 地理科学
'di'li'ke'xue'lei 地理科学类
'di'li'ke'xue'lei'zhong'wai'he'zuo'ban'xue 地理科学类中外合作办学
'di'li'xin'xi'xi'tong 地理信息系统
'di'li'xue'ji'di'ban 地理学基地班
'di'mian'wu'qi'ji'dong'gong'cheng 地面武器机动工程
'di'qiu'hua'xue 地球化学
'di'qiu'wu'li'xue 地球物理学
'di'qiu'wu'li'xue'lei 地球物理学类
'di'qiu'xin'xi'ke'xue'yu'ji'shu 地球信息科学与技术
'di'qiu'yu'kong'jian'ke'xue 地球与空间科学
'di'tu'xue'yu'di'li'xin'xi'gong'cheng 地图学与地理信息工程
'di'zhi'gong'cheng 地质工程
'di'zhi'xue 地质学
'di'zhi'xue'ji'di'ban 地质学基地班
'di'zhi'xue'lei 地质学类
'dian'ci'xue'yu'wu'xian'ji'shu 电磁学与无线技术
'dian'li'gong'cheng'ji'qi'zi'dong'hua 电力工程及其自动化
'dian'li'gong'cheng'yu'guan'li 电力工程与管理
'dian'qi'gong'cheng'ji'qi'zi'dong'hua 电气工程及其自动化
'dian'qi'gong'cheng'yu'zi'dong'hua 电气工程与自动化
'dian'qi'ji'shu'jiao'yu 电气技术教育
'dian'qi'xin'xi'gong'cheng 电气信息工程
'dian'qi'xin'xi'lei 电气信息类
'dian'qi'xin'xi'lei'zhong'wai'he'zuo'ban'xue 电气信息类中外合作办学
'dian'xin'gong'cheng'ji'guan'li 电信工程及管理
'dian'zi'dui'kang'zhi'hui'yu'gong'cheng 电子对抗指挥与工程
'dian'zi'gong'cheng 电子工程
'dian'zi'ke'xue'yu'ji'shu 电子科学与技术
'dian'zi'shang'wu 电子商务
'dian'zi'shang'wu'ji'fa'lv 电子商务及法律
'dian'zi'xin'xi'gong'cheng 电子信息工程
'dian'zi'xin'xi'ji'shu'ji'yi'qi 电子信息技术及仪器
'dian'zi'xin'xi'ke'xue'lei 电子信息科学类
'dian'zi'xin'xi'ke'xue'lei'zhong'wai'he'zuo'ban'xue 电子信息科学类中外合作办学
'dian'zi'xin'xi'ke'xue'yu'ji'shu 电子信息科学与技术
'diao'su 雕塑
'dong'hua 动画
'dong'wu'ke'xue 动物科学
'dong'wu'sheng'chan'lei 动物生产类
'dong'wu'sheng'chan'lei'zhong'wai'he'zuo'ban'xue 动物生产类中外合作办学
'dong'wu'sheng'wu'ji'shu 动物生物技术
'dong'wu'yao'xue 动物药学
'dong'wu'yi'xue 动物医学
'dong'wu'yi'xue'lei 动物医学类
'dong'wu'yi'xue'lei'zhong'wai'he'zuo'ban'xue 动物医学类中外合作办学
'dong'zhi'wu'jian'yi 动植物检疫
'dui'wai'han'yu 对外汉语
'e'yu 俄语
'fa'xue 法学
'fa'xue'lei 法学类
'fa'xue'lei'zhong'wai'he'zuo'ban'xue 法学类中外合作办学
'fa'yi'xue 法医学
'fa'yu 法语
'fan'yi 翻译
'fan'yu'ba'li'yu 梵语巴利语
'fan'zui'xue 犯罪学
'fang'di'chan'jing'ying'guan'li 房地产经营管理
'fang'hua'bing'zhi'hui 防化兵指挥
'fang'kong'bing'zhi'hui 防空兵指挥
'fang'she'yi'xue 放射医学
'fang'zhen'gong'cheng 仿真工程
'fang'zhi'gong'cheng 纺织工程
'fei'lv'bin'yu 菲律宾语
'fei'xing'ji'shu 飞行技术
'fei'xing'qi'dong'li'gong'cheng 飞行器动力工程
'fei'xing'qi'huan'jing'yu'sheng'ming'bao'zhang'gong'cheng 飞行器环境与生命保障工程
'fei'xing'qi'she'ji'yu'gong'cheng 飞行器设计与工程
'fei'xing'qi'xi'tong'yu'gong'cheng 飞行器系统与工程
'fei'xing'qi'zhi'zao'gong'cheng 飞行器制造工程
'fei'zhi'zao'cai'liao'yu'gong'cheng 非织造材料与工程
'fen'lan'yu 芬兰语
'fen'ti'cai'liao'ke'xue'yu'gong'cheng 粉体材料科学与工程
'fen'zi'ke'xue'yu'gong'cheng 分子科学与工程
'feng'neng'yu'dong'li'gong'cheng 风能与动力工程
'feng'xue 蜂学
'fu'he'cai'liao'yu'gong'cheng 复合材料与工程
'fu'she'fang'hu'yu'huan'jing'gong'cheng 辐射防护与环境工程
'fu'you'bao'jian'yi'xue 妇幼保健医学
'fu'zhuang'she'ji'yu'gong'cheng 服装设计与工程
'fu'zhuang'she'ji'yu'gong'yi'jiao'yu 服装设计与工艺教育
'gang'kou'hang'dao'yu'hai'an'gong'cheng 港口航道与海岸工程
'gao'deng'jiao'yu'guan'li 高等教育管理
'gao'fen'zi'cai'liao'jia'gong'gong'cheng 高分子材料加工工程
'gao'fen'zi'cai'liao'yu'gong'cheng 高分子材料与工程
'gei'shui'pai'shui'gong'cheng 给水排水工程
'gong'an'guan'li'xue 公安管理学
'gong'an'qing'bao'xue 公安情报学
'gong'an'shi'ting'ji'shu 公安视听技术
'gong'an'xue'lei 公安学类
'gong'cheng'bing'zhi'hui 工程兵指挥
'gong'cheng'guan'li 工程管理
'gong'cheng'jie'gou'fen'xi 工程结构分析
'gong'cheng'li'xue 工程力学
'gong'cheng'li'xue'lei 工程力学类
'gong'cheng'li'xue'yu'hang'tian'hang'kong'gong'cheng 工程力学与航天航空工程
'gong'cheng'wu'li 工程物理
'gong'cheng'zao'jia 工程造价
'gong'gong'an'quan'guan'li 公共安全管理
'gong'gong'guan'li 公共管理
'gong'gong'guan'li'lei 公共管理类
'gong'gong'guan'li'lei'zhong'wai'he'zuo'ban'xue 公共管理类中外合作办学
'gong'gong'guan'xi'xue 公共关系学
'gong'gong'shi'ye'guan'li 公共事业管理
'gong'gong'zheng'ce'xue 公共政策学
'gong'shang'guan'li 工商管理
'gong'shang'guan'li'lei 工商管理类
'gong'shang'guan'li'lei'zhong'wai'he'zuo'ban'xue 工商管理类中外合作办学
'gong'ye'gong'cheng 工业工程
'gong'ye'she'ji 工业设计
'gu'dian'wen'xian 古典文献
'guan'li'gong'cheng 管理工程
'guan'li'ke'xue 管理科学
'guan'li'ke'xue'gong'cheng 管理科学工程
'guan'li'ke'xue'yu'gong'cheng'lei 管理科学与工程类
'guan'li'ke'xue'yu'gong'cheng'lei'zhong'wai'he'zuo'ban'xue 管理科学与工程类中外合作办学
'guang'bo'dian'shi'bian'dao 广播电视编导
'guang'bo'dian'shi'gong'cheng 广播电视工程
'guang'bo'dian'shi'xin'wen'xue 广播电视新闻学
'guang'dian'xin'xi'gong'cheng 光电信息工程
'guang'dian'zi'ji'shu'ke'xue 光电子技术科学
'guang'gao'xue 广告学
'guang'xin'xi'ke'xue'yu'ji'shu 光信息科学与技术
'guo'cheng'zhuang'bei'yu'kong'zhi'gong'cheng 过程装备与控制工程
'guo'fang'gong'cheng'yu'fang'hu 国防工程与防护
'guo'fang'jian'zhu'she'bei'gong'cheng 国防建筑设备工程
'guo'fang'jian'zhu'xue 国防建筑学
'guo'fang'jiao'yu'yu'guan'li 国防教育与管理
'guo'ji'guan'xi'yu'an'quan 国际关系与安全
'guo'ji'jing'ji'yu'mao'yi 国际经济与贸易
'guo'ji'shang'wu 国际商务
'guo'ji'shi'wu 国际事务
'guo'ji'shi'wu'yu'guo'ji'guan'xi 国际事务与国际关系
'guo'ji'wen'hua'jiao'liu 国际文化交流
'guo'ji'wen'hua'mao'yi 国际文化贸易
'guo'ji'zheng'zhi 国际政治
'guo'min'jing'ji'guan'li 国民经济管理
'hai'shi'guan'li 海事管理
'hai'yang'gong'cheng'lei 海洋工程类
'hai'yang'gong'cheng'lei'zhong'wai'he'zuo'ban'xue 海洋工程类中外合作办学
'hai'yang'guan'li 海洋管理
'hai'yang'ji'shu 海洋技术
'hai'yang'jing'ji'xue 海洋经济学
'hai'yang'ke'xue 海洋科学
'hai'yang'ke'xue'lei 海洋科学类
'hai'yang'sheng'wu'zi'yuan'yu'huan'jing 海洋生物资源与环境
'hai'yang'yao'xue 海洋药学
'hai'yang'yu'ye'ke'xue'yu'ji'shu 海洋渔业科学与技术
'han'guo'yu 韩国语
'han'jie'ji'shu'yu'gong'cheng 焊接技术与工程
'han'yu'yan 汉语言
