'a'ye 阿夜
'bian'li'rui'hui 边里瑞惠
'bian'li'wei 边里唯
'bian'li'wei'shi 边里唯世
'chang'cang'tuo'zai 长仓拓哉
'da'di 大地
'du'hui'mei'xiao 渡会美咲
'er'jie'tang'you 二阶堂悠
'fang'kuai 方块
'hu'mu'xin'zi 冴木信子
'huai'dan 坏蛋
'huai'tian'xin 坏甜心
'hui'liu 绘硫
'jie'mu'mi'ye 结木弥耶
'jie'zou 节奏
'jiu'shi'jiu 九十九
'jiu'yu'xue 鸠羽雪
'lu'lu'tang'mo'lu'sai'si 露露堂莫鲁赛斯
'mei'qi 美琪
'mi'zhi'dan 迷之蛋
'mu'mu'you'ji'nai 木暮由纪奈
'na'na 娜娜
'niao'ju'mei'dong'xue'bei 鸟居美东雪呗
'pei'tai 胚胎
'pi'pi 皮皮
'qi'ji 奇迹
'quan'chuan'tong 蜷川瞳
'ri'nai'sen'cui 日奈森翠
'ri'nai'sen'fang 日奈森纺
'ri'nai'sen'ya'meng 日奈森亚梦
'ri'nai'sen'ya'shi 日奈森亚实
'ruo'cai 若菜
'sai'xi 塞西
'san'tiao'hai'li 三条海里
'san'tiao'you'jia'li 三条由佳里
'sen'ye'san'sen 森野三森
'shan'chui'sha'ling 山吹沙凌
'shan'chui'sha'ling 山吹沙绫
'shan'tian 山田
'shou'hu'dan 守护蛋
'shou'ju 手鞠
'shui'ye'shou 水野守
'tian'he'si 天河司
'wan'shan'chun'shu 丸山春树
'wu'dao'dong'shu 雾岛冬树
'wu'zang 武藏
'xi'xi 嘻嘻
'xiang'ma'hai'tong 相马海童
'xiang'ma'kong'hai 相马空海
'xiang'ma'lian'li 相马莲璃
'xiang'ma'xiu'shui 相马秀水
'xiang'ma'yun'hai 相马云海
'xiang'tai 翔太
'xiao'lan 小兰
'xiao'li 小历
'xiao'shan 小闪
'xin'ling'zhi'dan 心灵之蛋
'xing'na'yi'chen 星那一臣
'xing'na'zou'zi 星那奏子
'xing'xiang'gai'zao 形象改造
'xiu'lai'ya 修莱亚
'xue'bei 雪贝
'yan'yuan 岩垣
'yi'liu 依硫
'ying'jing'you'ya 樱井优亚
'yue'yong'ge'bei'xing'na'ge'bei 月咏歌呗星那歌呗
'yue'yong'huo'dou 月咏或斗
'yue'yong'ji'dou 月咏几斗
'zhen'cheng'li'mo 真城璃茉
'zhen'chuan'wu'xiang 姫川舞香
'zhen'nai'mei 真奈美
