'an'shi'zhi'luan 安史之乱
'bai'di 白堤
'bai'ma'si 白马寺
'bi'jia'qiu 毕伽丘
'bi'xia'zhui'yun'lv 碧霞追云履
'bu'bing'xiao'wei 步兵校尉
'bu'nian'tu 步辇图
'bu'she'zhe'shuo 捕蛇者说
'cai'hong 彩虹
'cao'cao 曹操
'cen'shen 岑参
'chang'an 长安
'chang'hen'ge 长恨歌
'cheng'zhi'jie 程知节
'chu'ci 楚辞
'chu'sui'liang 褚遂良
'chun'jiang'shui'nuan'ya'xian'zhi 春江水暖鸭先知
'chun'wang 春望
'chun'xiao'yi'ke'zhi'qian'jin 春宵一刻值千金
'ci'hen'mian'mian'wu'jue'qi 此恨绵绵无绝期
'ci'wei 刺猬
'da'tang'xi'yu'ji 大唐西域记
'da'zao'ji'qiao 打造技巧
'di'ren'jie 狄仁杰
'du'fu 杜甫
'du'gong'bu 杜工部
'du'kang 杜康
'du'mu 杜牧
'du'ru'hui 杜如晦
'duo'la'meng 哆啦梦
'fang'cun'shan 方寸山
'fang'xuan'ling 房玄龄
'fen'zhong 分钟
'guan'yu 关羽
'guang'ling'san 广陵散
'hai'xiao 海啸
'han'yu 韩愈
'hao'fang'pai 豪放派
'hao'ran 浩然
'hua'dian 花钿
'huai'su 怀素
'huang'chao 黄巢
'huang'he'zhi'shui'tian'shang'lai 黄河之水天上来
'jia'dao 贾岛
'jian'shen'shu 健身术
'jian'zhen 鉴真
'jiang'nan'chun 江南春
'jiao'hua 狡猾
'jiao'shi 教师
'jin'gang'jing 金刚经
'jue'ju 绝句
'jun'bu'jian 君不见
'lai'jun'chen 来俊臣
'li'bai 李白
'li'chun'feng 李淳风
'li'ji 李绩
'li'lin'fu 李林甫
'li'long'ji 李隆基
'li'mao 李瑁
'li'mi 厘米
'li'shang'yin 李商隐
'li'yuan 李渊
'lian'jin'shu 炼金术
'ling'yan'ge 凌烟阁
'liu'gong'quan 柳公权
'liu'shu 柳树
'liu'yong 柳永
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'lu'dong'zan 禄东赞
'lu'guo'gong 卢国公
'lu'shan 庐山
'luo'bin'wang 骆宾王
'luo'yang 洛阳
'mei'ge'yue 每个月
'mi'lu 麋鹿
'miao'bi 妙笔
'mo'li'hua 茉莉花
'mo'wang'zhai 魔王寨
'ni'chang'yu'yi'qu 霓裳羽衣曲
'pang'xie 螃蟹
'pian'wen 骈文
'ping'xing'xian 平行线
'pu'bu 瀑布
'pu'sa'man 菩萨蛮
'pu'tuo'shan 普陀山
'qi'yan 七言
'qian'gu'yi'di 千古一帝
'qiang'shen'shu 强身术
'qiao'ke'li'bang 巧克力棒
'qin'qiong 秦琼
'qin'wang 秦王
'qiu'tian 秋天
'san'bie 三别
'san'fan'liang'ci 三番两次
'shang'guan'wan'er 上官婉儿
'shi'sheng 诗圣
'shi'shuo 师说
'shi'xian 诗仙
'shu'bao 叔宝
'shu'dao'nan 蜀道难
'shu'zi'shi 数字诗
'song'zan'gan'bu 松赞干布
'su'shi 苏轼
'sun'si'miao 孙思邈
'tai'shan 泰山
'tang'shi 唐诗
'tang'xuan'zong 唐玄宗
'tao'yuan'ming 陶渊明
'teng'wang'ge'xu 腾王阁序
'tian'ke'han 天可汗
'tu'fan 吐蕃
'tui'bei'tu 推背图
'wa'gang'zhai 瓦岗寨
'wan'yue'pai 婉约派
'wang'wei 王维
'wei'cheng'chao'yu'yi'qing'chen 渭城朝雨邑轻尘
'wei'zheng'guo'zi'yi 魏征郭子仪
'wen'du'ji 温度计
'wen'zi 蚊子
'wu'dao'zi 吴道子
'wu'liu'xian'sheng 五柳先生
'wu'yan'jue'ju 五言绝句
'wu'ze'tian 武则天
'xi'an 西安
'xi'zhou'qu 西洲曲
'xiang'dui'lun 相对论
'xiang'shan'ju'shi 香山居士
'xiang'si 相思
'xiao'bai'tu 小白兔
'xiao'xiao'hu 小小虎
'xiao'yu 小雨
'xin'tang'shu 新唐书
'xing'gong 行宫
'xuan'wu'men 玄武门
'xue'ren'gui 薛仁贵
'ya'chi 牙齿
'yan'jing 眼镜
'yan'ying 晏婴
'yan'zhen'qing 颜真卿
'yang'gui'fei 杨贵妃
'yang'yu'huan 杨玉环
'yi'hang 一行
'yi'ming'jing'ren 一鸣惊人
'yi'sheng 医生
'yu'shi'tong'jun 与世同君
'yuan'hun'bu'san 冤魂不散
'yuan'zhen 元稹
'yue'xia'du'zhuo 月下独酌
'zao'shu 枣树
'zhang'sun'wu'ji 长孙无忌
'zhang'xian 张先
'zhang'xu 张旭
'zhen'guan 贞观
'zhi'she'guang 直射光
'zhi'shi'jin'huang'hun 只是近黄昏
'zhu'ge'liang 诸葛亮
'zhu'lin'qi'xian 竹林七贤
'zhu'wen 朱温
