'bu'wei 补位
'cai'yi'nong 蔡艺侬
'chang'chuan'tu'po 长传突破
'chen'di'chuan'zhong 沉底传中
'chen'yao 陈瑶
'chen'yi'zhi 陈一之
'chong'yue 崇越
'chu'xian 出线
'cui'ying'qiu'dui 萃英球队
'cui'ying'zhong'xue 萃英中学
'da'hu 大胡
'da'qiu'zhan'dui 大球战队
'ding'yu 丁羽
'fan'yue'wei'zhan'shu 反越位战术
'gao'wei'fang'shou'fa 高位防守法
'ge'ge 歌歌
'he'xin'yan 何心言
'hei'ma'wang'zi 黑马王子
'hu'ge 胡歌
'hu'ke 胡柯
'hu'li'jiao'lian 狐狸教练
'hu'ma'ma 胡妈妈
'hu'mao 胡猫
'jiang'shu'ying 江疏影
'jiao'cha'huan'wei 交叉换位
'jie'ji'ba'zhu 街机霸主
'lai'yu'meng 赖雨濛
'li'ba'zhan'shu 篱笆战术
'li'si'cheng 李思澄
'li'zhi 励志
'li'zi'feng 李子峰
'lin'jian'long 林健龙
'ling'kong'yi'qiu 凌空一球
'lu'jie 陆捷
'luo'po'jiao'lian 落魄教练
'mai'xiao'qi 麦小琪
'mai'xiao'qi 麦晓琪
'men'jiang 门将
'mi'ji'fang'shou 密集防守
'mi'mi 蜜蜜
'mo'nv'xue'ba 魔女学霸
'mu'ni 穆尼
'mu'qi 穆奇
'niu'jun'feng 牛骏峰
'pan'bin'long 潘斌龙
'pei'duo 裴朵
'ping'ban'hui'zhi'shu'lie 平板绘制数列
'qian'feng 钱枫
'qiang'duan 抢断
'qin'dao'er'zhong 琴岛二中
'qin'ming'hao 秦明浩
'qin'ming'yuan 秦明鸢
'qing'chun 青春
'qing'dao'fu 清道夫
'qing'li'gong'da'xue 青理工大学
'qu'yu'fang'shou 区域防守
'quan'gong'quan'shou 全攻全守
're'xue'li'zhi 热血励志
'ren'yi'qiu 任意球
'san'gao'sheng'nv 三高剩女
'she'shi'bu'shen 涉世不深
'shou'men'yuan 守门员
'tang'qi'qi 汤柒琪
'ti'bian'qian'wei 踢边前卫
'ti'hei'qiu 踢黑球
'wai'wei'chuan'zhong 外围传中
'wang'jing'ke 王荆轲
'wang'yi'lin 王艺霖
'xiao'ao'dui'shou 笑傲对手
'xu'hui'kang 徐惠康
'yang'fan 杨钒
'yi'lei'jiao'lian 异类教练
'yin'jian 尹剑
'you'yi'sai 友谊赛
'yu'fei 雨菲
'yu'yue'pu'qiu 鱼跃扑球
'zao'yue'wei 造越位
'zeng'li 曾黎
'zhong'yan 钟艳
'zhou'fei'zhou 周飞舟
'zhou'jing'wei 周经纬
'zhuan'ye'zhan'dui 专业战队
'zhuang'qiang'shi 撞墙式
'zi'you'ren 自由人
'zu'qiu 足球
