'an'hei'fa'shu'gong'chang 暗黑法术工厂
'an'hei'xun'lian'ying 暗黑训练营
'an'hei'zhong'you'ti'lian'jing 暗黑重油提炼井
'ba'ba'ta 爸爸塔
'ba'ben 八本
'bai'niao 白鸟
'bei'dun 被蹲
'bu'luo'deng'ji 部落等级
'bu'luo'jing'yan 部落经验
'bu'luo'zhan 部落战
'cai'hei 采黑
'cai'ji'qi 采集器
'cai'jin 采金
'cai'shui 采水
'cang'qiu 苍球
'chao'ji'he'jin 超级合金
'chong'bei 冲杯
'cun'zhuang'shou'wei 村庄守卫
'da'shou'hu'zhe 打守护者
'da'zha'dan 大炸弹
'dai'da 代打
'di'yu'ta 地狱塔
'dian'qiu 点球
'dian'zhu 点猪
'dun'ren 蹲人
'fa'shi'ta 法师塔
'fan'dun 反蹲
'fei'long'bao'bao 飞龙宝宝
'fen'qiang 粉墙
'fu'nv 斧女
'fu'shou 副首
'ge'lun'shi'ren 戈仑石人
'gong'jian'nv'huang 弓箭女皇
'gou'qiu 狗球
'gua'ji 挂机
'gui'qiang 鬼墙
'hei'fa'shu 黑法术
'hei'pang 黑胖
'hei'qi'qiu 黑气球
'hei'san 黑三
'hei'shui 黑水
'hei'you 黑油
'hong'qi'qiu 红气球
'hu'shua 互刷
'hua'bu 滑步
'hua'xia'lan'xing'chen 华夏揽星辰
'hua'xia'xin'chuan'qi 华夏新传奇
'hua'xia'zhen'jiu'zhou 华夏震九州
'huang'mao 黄毛
'hui'qiang 灰墙
'hun'ying 混营
'huo'qiang 火墙
'jian'zhu'wu 建筑屋
'jiang'shi'dan'dun 僵尸单盾
'jin'qiang 金墙
'jin'shui 金水
'jiu'ben 九本
'ju'shi'tou'shou 巨石投手
'juan'bing 捐兵
'jue'di'kuang'gong 绝地矿工
'kai'qiang 开墙
'kai'tu 开图
'kong'qi'pao 空气炮
'ku'lou'xian'jing 骷髅陷阱
'lan'pang 蓝胖
'lian'kai 连开
'lian'zha 连炸
'liang'xing 两星
'liu'ben 六本
'long'bao 龙宝
'man'ba 满八
'man'liu 满六
'man'qi 满七
'man'shi 满十
'man'shi'yi 满十一
'man'wu 满五
'nan'wang 男王
'nv'wang 女王
'pang'fa 胖法
'pi'ka'chao'ren 皮卡超人
'pi'pei 匹配
'qi'ben 七本
'qing'bian 清边
'quan'jiu 全九
'ren'wang 人王
'rong'yan'lie'quan 熔岩猎犬
'rong'yan'qiang 熔岩墙
'san'ben 三本
'san'xing 三星
'sha'yuan 杀援
'shen'zhen 神阵
'shi'ben 十本
'shi'er'ben 十二本
'shi'fa 石法
'shi'fa'zhu 石法猪
'shi'lan'gou 石蓝狗
'shi'yi'ben 十一本
'shi'zhu 石猪
'shou'jia 守家
'shou'juan 收捐
'shou'ling 首领
'shuang'pang'zhu 双胖猪
'shuang'zha 双炸
'si'ben 四本
'su'ben 速本
'ti'chu 踢出
'tian'lan 天蓝
'tian'nan 天男
'tian'nv 天女
'tian'pang 天胖
'tian'pang'zhu 天胖猪
'tian'pi 天皮
'tian'shi 天石
'tian'wu 天武
'tian'ying'huo'pao 天鹰火炮
'tong'ben 同本
'tou'ben 偷本
'wa'ji'li'wu'shen 瓦基丽武神
'wu'ben 五本
'xia'bing 下兵
'xiao'he'shan'bu'luo 小和山部落
'ye'man'ren'zhi'wang 野蛮人之王
'ye'zhu'qi'shi 野猪骑士
'yi'xing 一星
'yin'yuan 引援
'yong'wang 永王
'you'yi'zhan 友谊战
'yue'ben 越本
'zha'dan'ren 炸弹人
'zha'dan'ta 炸弹塔
'zhan'ying 战营
'zhao'ren 招人
'zhu'qiu 猪球
'zi'qiang 紫墙
