'a'bo 阿波
'a'bu'zheng'ci 阿部正次
'a'cha'ju 阿茶局
'a'chu 阿初
'a'shi 阿市
'a'song 阿松
'a'su'wei'jiang 阿苏惟将
'an'bu'zheng'ji 安部政吉
'an'dong'ai'ji 安东爱季
'an'dong'gao'ji 安东高季
'an'fang 安房
'an'guo'si'hui'qiong 安国寺惠琼
'an'jian'zhi'zheng 安见直政
'an'jing'dao'dun 安井道顿
'an'teng'liang'zheng 安藤良整
'an'teng'shou'jiu 安藤守就
'an'teng'zhi'ci 安藤直次
'an'teng'zhong'xin 安藤重信
'an'tian'chang'xiu 安田长秀
'an'tian'xian'yuan 安田显元
'an'tu 安土
'an'tu'tao'shan 安土桃山
'an'xi'you'zhu 安西又助
'an'yi 安艺
'an'yun'guo'hu 安芸国虎
'an'zhai'dong'kang 安宅冬康
'an'zhai'xin'kang 安宅信康
'ao'cun'rong'ming 奥村荣明
'ao'cun'yong'fu 奥村永福
'ao'ping'xin'chang 奥平信昌
'ba'ban'jin'bing'wei 八板金兵卫
'ba'wang'zi 八王子
'bai'di'san'tai'fu 百地三太夫
'bai'shi'zong'shi 白石宗实
'bai'wu'xian'jian 百武贤兼
'bai'xiang'jia'jia 拜乡家嘉
'ban'bu'gang'jiang'xue'zhai 板部冈江雪斋
'ban'cang'sheng'zhong 板仓胜重
'ban'jing'zheng'shang 坂井政尚
'ban'qi'zhi'sheng 坂崎直盛
'ban'tian'yuan'you'wei'men 坂田源右卫门
'ban'yuan'xin'fang 板垣信方
'bao'ke'zheng'jun 保科正俊
'bao'zang'yuan'yin'rong 宝藏院胤荣
'bei'hou 备后
'bei'lu'dao 北陆道
'bei'lu'gu'lang 北陆孤狼
'bei'qian 备前
'bei'tian'jiao'ju 北畠教具
'bei'tian'ju'fang 北畠具房
'bei'tian'ju'jiao 北畠具教
'bei'tian'qing'ju 北畠晴具
'bei'tiao'gang'cheng 北条纲成
'bei'tiao'gao'guang 北条高广
'bei'tiao'huan'an 北条幻庵
'bei'tiao'jing'guang 北条景广
'bei'tiao'shi'bang 北条氏邦
'bei'tiao'shi'ding 北条氏定
'bei'tiao'shi'fan 北条氏繁
'bei'tiao'shi'gui 北条氏规
'bei'tiao'shi'kang 北条氏康
'bei'tiao'shi'sheng 北条氏胜
'bei'tiao'shi'xiu 北条氏秀
'bei'tiao'shi'zhao 北条氏照
'bei'tiao'shi'zheng 北条氏政
'bei'tiao'shi'zhi 北条氏直
'bei'tiao'zao'yun 北条早云
'bei'xiang'shi'jiu 北乡氏久
'bei'xin'ai 北信爱
'bei'zheng'suo 北政所
'bei'zhong 备中
'ben'duo'xiao'song 本多小松
'ben'duo'zheng'chun 本多正纯
'ben'duo'zheng'xin 本多正信
'ben'duo'zheng'zhong 本多政重
'ben'duo'zhong'chao 本多忠朝
'ben'duo'zhong'chun 本多忠纯
'ben'duo'zhong'ci 本多重次
'ben'duo'zhong'gao 本多忠高
'ben'duo'zhong'sheng 本多忠胜
'ben'duo'zhong'zhen 本多忠真
'ben'duo'zhong'zheng 本多忠政
'ben'neng'si'zhi'bian 本能寺之变
'ben'shan'mao'zong 本山茂宗
'ben'yin'fang'suan'sha 本因坊算砂
'ben'yuan'si 本愿寺
'ben'yuan'si'jiao'ru 本愿寺教如
'ben'yuan'si'xian'ru 本愿寺显如
'ben'yuan'si'zheng'ru 本愿寺证如
'ben'yuan'si'zhun'ru 本愿寺准如
'ben'zhuang'fan'chang 本庄繁长
'bi'rui'shan 比叡山
'bie'suo'chang'zhi 别所长治
'bin'song 滨松
'bing'he'shi'xu 并和氏续
'bing'nong'he'yi 兵农合一
'bo'duo'ye'qing'tong 波多野晴通
'bo'duo'ye'xiu'shang 波多野秀尚
'bo'duo'ye'xiu'zhi 波多野秀治
'bo'duo'ye'zhi'tong 波多野稙通
'bo'mo 播磨
'bo'mo'wu'zong'de 播磨屋宗德
'bo'qi 伯耆
'bo'tian'jian'xiang 薄田兼相
'bu'po'guang'zhi 不破光治
