'a'sa'tuo'si 阿撒托斯
'ai'shou'yi 爱手艺
'ba'hui 巴虺
'bai'ya'ji 拜亚基
'bu'ding'xing'jun'si 不定形菌丝
'de'lei'si 德雷斯
'gu'shen 古神
'hei'shan'yang 黑山羊
'jiu'ri'zhi'pei'zhe 旧日支配者
'jiu'shen 旧神
'ke'su'lu 克苏鲁
'la'lai'ye 拉莱耶
'luo'fu'ke'la'fu'te 洛夫克拉夫特
'mi'ge 米戈
'sha'bu'ni'gu'la'si 莎布尼古拉斯
'wai'shen 外神
'xia'gai'chong'zu 夏盖虫族
'xing'zhi'juan'zu 星之眷族
'you'ge'suo'tuo'si 犹格索托斯
'yue'shou 月兽
