'chou'jian 抽检
'chou'yang'shui'zhun 抽样水准
'gong'ying'lian'pin'zhi'guan'li 供应链品质管理
'he'ge 合格
'jin'liao'pin'guan 进料品管
'ju'shou 拒收
'kai'xiang'jian'yan 开箱检验
'pi'tui 批退
'pin'bao 品保
'pin'guan 品管
'pin'guan'quan 品管圈
'pin'guan'xi'tong 品管系统
'pin'zhi'bao'zheng 品质保证
'pin'zhi'da'shi 品质大师
'pin'zhi'feng'xian 品质风险
'pin'zhi'gai'shan 品质改善
'pin'zhi'gong'cheng 品质工程
'pin'zhi'guan'li 品质管理
'pin'zhi'ti'sheng 品质提升
'pin'zhi'wen'jian 品质文件
'qing'wei'bu'liang 轻微不良
'quan'jian 全检
'quan'mian'pin'zhi'bao'zheng 全面品质保证
'quan'mian'pin'zhi'guan'li 全面品质管理
'quan'zhi'cheng'yan'zheng 全制程验证
'te'cai 特采
'tiao'xuan 挑选
'xian'jin'xian'chu 先进先出
'yan'zhong'bu'liang 严重不良
'yun'shou 允收
'zhi'cheng'jian'yan 制程检验
'zhi'cheng'pin'guan 制程品管
'zhi'cheng'xun'jian 制程巡检
'zhong'gong 重工
'zhu'yao'bu'liang 主要不良
