'a'han'qi'shen 阿含七神
'a'mang 阿莽
'ai'lao'shan 哀牢山
'bai'hua'shan 白花山
'bai'jia'gong 白家公
'bai'lian'hua 白莲花
'bai'ma'po 白马坡
'bai'shui'fa'shi 白水法师
'bai'xiao 白晓
'bai'xing'zi 白猩子
'bai'ying'wu 白鹦鹉
'bai'yuan 白猿
'bai'zhang'ping 百丈坪
'bao'bi 鲍毕
'bao'shan 鲍善
'bao'tou'shen 豹头神
'bi'chen'zhou 碧沉舟
'bi'ji'shan 碧鸡山
'bi'lang'ji 碧浪矶
'bi'ling'xue'huo'qi 碧灵血火旗
'bi'wan 毕完
'bi'yu'zhen 碧玉枕
'bi'zhen'zhen 毕真真
'bian'ming'de 卞明德
'bing'po'shen'guang'bao'mu 冰魄神光宝幕
'bo'luo'shen'yan 波罗神焰
'bu'su'tao 部素桃
'cai'chong 蔡冲
'cai'hua'xu 菜花墟
'cai'ni'lian 彩霓练
'cai'sheng 蔡胜
'cai'shun 蔡顺
'cai'yun'xian'zhang 彩云仙障
'cang'xu'ke 苍须客
'cao'yi'shang'ren 草衣上人
'cao'zhen 曹珍
'cen'gao 岑高
'ceng'he 曾河
'cha'shan'wu'gui 查山五鬼
'chang'chun'hua 长春花
'chang'chun'xian'fu 长春仙府
'chang'fang 常芳
'chang'ji 畅吉
'chang'sheng'gong 长生宫
'chen'biao 陈彪
'chen'hui 陈惠
'chen'jing 陈敬
'chen'tai'zhen 陈太真
'chen'wei'liang 陈惟良
'chen'yan 陈嫣
'chen'zheng 陈正
'cheng'di 程迪
'cheng'qing 程庆
'cheng'wen'dong 程文栋
'chi'bi'zhen'ren 赤臂真人
'chi'cheng'san'xian 赤城散仙
'chi'dian'shen'suo 赤电神梭
'chi'jing'dao 赤鲸岛
'chi'long'er'zhao 赤隆儿爪
'chi'yu'dao 赤玉刀
'chi'yu'qiu 赤玉球
'chou'shi'gu 丑师姑
'chuan'yin'zhen 传音针
'chun'yang'zhen'ren 纯阳真人
'ci'jin'gang 慈金刚
'cui'xiang 崔香
'da'dai 大呆
'da'dai'shan'ren 大呆山人
'da'xiao'zhu'tian'hua'sha'shen'gang 大小诸天花煞神罡
'da'zhu'ge'ling 大诸葛岭
'dai'zhong'hang 戴中行
'dan'wu 单午
'deng'xian'niang 邓仙娘
'di'can 地残
'di'fan'zi 涤烦子
'di'sheng'nan 狄胜男
'di'wu'bao 狄勿暴
'ding'cai 丁财
'ding'er 丁二
'ding'ling 丁零
'ding'meng'cao 丁蒙草
'ding'san 丁三
'ding'san'mao 丁三毛
'dong'xuan'xian'po 洞玄仙婆
'dou'lv'xian'zhi 兜率仙芝
'dou'shen'po 都神婆
'du'e'zhou 度厄舟
'du'jiao'chui'ran 独角吹蚺
'du'jiao'tian'xi 独角天犀
'du'ling'zhou 杜菱洲
'du'long'zhu 毒龙珠
'du'yan'tai'sui 独眼太岁
'duo'mo'luo 多摩罗
'e'gui'xia 恶鬼峡
'e'tie'ling 垩铁岭
'fan'chang'sheng 范长生
'fan'guang 范广
'fan'hong 范洪
'fan'lian'sheng 范连生
'fan'zi 樊子
'fang'duan 方端
'fang'huan 方环
'fang'jie 方洁
'fang'kui 方奎
'fang'shi 方氏
'fang'zhi 方直
'fei'hong'dao 飞鸿岛
'fei'huang'tong'zi 飞蝗童子
'fei'li 飞狸
'fei'ma'shan 飞马山
'fei'peng'dao 飞鹏岛
'fei'tian'ye'li 飞天野狸
'fei'tian'yin'yan 飞天银燕
'fei'ying'zi 飞鹰子
'feng'hua 冯化
'feng'lang'sheng 风浪生
'feng'wu 冯舞
'fu'bo'ya 伏波崖
'fu'ling 茯苓
'fu'long'guan 伏龙观
'fu'mo'zhen'ren 伏魔真人
'fu'tu 茯兔
'gan'lei'er'yun 感雷而孕
'gang'chen 刚辰
'ge'wang 葛魍
'geng'chen'jian 庚辰剪
'geng'jin'zhi'shen 庚金之神
'gong'shuang'huan 巩霜鬟
'gou'xing 狗猩
'gu'jia 谷加
'gu'la 姑拉
'gu'qian'dao 古钱刀
'gu'xian 蛊仙
'gu'xing 顾兴
'gu'xiu 顾修
'gu'yu'fu 古玉符
'gu'yu'gui 古玉圭
'guan'xian 灌县
'gui'hua'niang 桂花娘
'gui'lao 鬼老
'gui'lian'zi 鬼脸子
'gui'ying'zi 鬼影子
'gui'zha'yan 鬼眨眼
'han'deng 韩登
