'ba'dou'zhi 巴豆汁
'ba'xian'tang 八仙汤
'bai'he'san 百合散
'bai'hu'duo'ming'dan 白虎夺命丹
'bai'hua'fu'she'gao 百花腹蛇膏
'bai'hua'xiao'hun'san 百花消魂散
'bai'xian'wan 百涎丸
'bai'yun'xiong'dan'wan 白云熊胆丸
'bao'tai'yi'jin'wan 豹胎易筋丸
'bei'su'qing'feng 悲酥清风
'bing'po'yin'zhen'jie'yao 冰魄银针解药
'can'yang'yu'jiu 参阳玉酒
'chan'chu'du'sha 蟾蜍毒砂
'chi'xie'fen 赤蝎粉
'ci'dan 磁蛋
'du'ding'jie'yao 毒钉解药
'du'ji'li'jie'yao 毒蒺藜解药
'du'jian'jie'yao 毒箭解药
'du'ling'jie'yao 毒菱解药
'du'wu 毒雾
'du'yan 毒盐
'du'zhen'huan'jie'yao 毒针环解药
'du'zhen'jie'yao 毒针解药
'duan'chang'san 断肠散
'duan'jin'fu'gu'wan 断筋腐骨丸
'fu'gu'chuan'xin'gao 腐骨穿心膏
'fu'ling'shou'wu'wan 茯苓首乌丸
'fu'ling'yan'wo'tang 茯苓燕窝汤
'han'yu'bing'chan'gao 寒玉冰蟾膏
'hei'yu'duan'xu'gao 黑玉断续膏
'hu'jin'hu'gu'gao 虎筋虎骨膏
'hua'ban'du'xie'jie'yao 花斑毒蝎解药
'hua'shi'dan 化石丹
'hua'shi'fen 化尸粉
'hua'xue'fu'gu'fen 化血腐骨粉
'hui'yang'wu'long'gao 回阳五龙膏
'jiu'hua'yu'lu'wan 九花玉露丸
'jiu'jiu'wan 九九丸
'jiu'pi'wan 鸠砒丸
'jiu'yin'bai'gu'zhao'jie'yao 九阴白骨爪解药
'jiu'zhuan'hui'chun'tang 九转回春汤
'jiu'zhuan'ling'bao'wan 九转灵宝丸
'jiu'zhuan'xiong'she'wan 九转熊蛇丸
'jue'men'du'zhen'jie'yao 绝门毒针解药
'jue'qing'dan 绝情丹
'la'ba'zhou 腊八粥
'lian'rong'dou'ni'mi'tang'zhen'zhu'hu 莲蓉豆泥蜜糖珍珠糊
'lie'huo'dan 烈火丹
'liu'yang'zheng'qi'dan 六阳正气丹
'lv'bo'xiang'lu'dao'jie'yao 绿波香露刀解药
'men'xiang 闷香
'meng'han'yao 蒙汗药
'mi'chun'jiu 迷春酒
'niu'huang'xi'jiao'san 牛黄犀角散
'niu'huang'xue'jie'dan 牛黄血竭丹
'niu'mao'zhen'jie'yao 牛毛针解药
'pi'shuang 砒霜
'pi'zhen'wan 砒鸩丸
'qi'chong'qi'hua'gao 七虫七花膏
'qi'chong'ruan'jin'san 七虫软筋散
'qi'xin'hai'tang'jie'yao 七心海棠解药
'qian'li'xiao'hun'xiang 千里销魂香
'qing'du'fu'ming'gao'yao 清毒复明膏药
'qing'tuo'luo'hua'jie'yao 青陀罗花解药
'qu'fu'xiao'ji'gao 去腐消肌膏
'ren'shen'yang'rong'wan 人参养荣丸
'san'chong'san'cao'du 三虫三草毒
'san'huang'bao'la'wan 三黄宝腊丸
'san'shi'nao'shen'dan 三尸脑神丹
'san'wu'wu'ma'yan 三蜈五蟆烟
'san'xiao'xiao'yao'san 三笑逍遥散
'sang'bei'wan 桑贝丸
'shan'dian'diao'jie'yao 闪电貂解药
'shao'yang'dan 少阳丹
'she'yao 蛇药
'shen'tang 参汤
'sheng'sheng'zao'hua'dan 生生造化丹
'sheng'si'fu'jie'yao 生死符解药
'sheng'tian'wan 升天丸
'shi'xiang'mi'hun'san 十香迷魂散
'shi'xiang'ruan'jin'san 十香软筋散
'ti'hu'xiang'jie'yao 醍醐香解药
'tian'qi'sha'dan'san 田七鲨胆散
'tian'wang'bao'ming'dan 天王保命丹
'tian'xiang'duan'xu'jiao 天香断续胶
'tian'xin'jie'du'dan 天心解毒丹
'tie'xie'zi'jie'yao 铁蝎子解药
'tong'xi'di'long'wan 通犀地龙丸
'wu'bao'hua'mi'jiu 五宝花蜜酒
'wu'chang'dan 无常丹
'wu'du'shen'zhang'jie'yao 五毒神掌解药
'wu'du'shi'xin'san 五毒失心散
'wu'se'cai'xie'jie'yao 五色彩蝎解药
'wu'xing'fen 无形粉
'xiao'yao'san 逍遥散
'xiong'huang'she'yao 雄黄蛇药
'xiong'huang'yao'jiu 雄黄药酒
'xiong'huang'zhu 雄黄珠
'xu'ming'ba'wan 续命八丸
'xuan'bing'bi'huo'jiu 玄冰碧火酒
'xue'shen'wan 雪参丸
'xue'shen'yu'chan'wan 雪参玉蟾丸
'yan'zhi'gao 胭脂膏
'yao'bing 药饼
'yin'yang'he'he'san 阴阳和合散
'yu'dong'hei'shi'dan 玉洞黑石丹
'yu'feng'jiang 玉蜂浆
'yu'feng'zhen'jie'yao 玉蜂针解药
'yu'ji'wan 玉肌丸
'yu'ling'san 玉灵散
'yu'long'su'he'san 玉龙苏合散
'yu'zhen'san 玉真散
'zhang'tou'guai'she'jie'yao 杖头怪蛇解药
'zhen'xin'li'qi'wan 镇心理气丸
'zhi'xue'sheng'ji'wan 止血生肌丸
'zhui'ming'du'long'zhui'jie'yao 追命毒龙锥解药
'zi'wu'jian'gu'cha 子午见骨茶
'zui'xian'mi 醉仙蜜
