'an'mi 安谧
'ba'ceng'jing'wen'xi 把曾经温习
'bai'zhou 白舟
'ban'xiao'song 班小松
'bang'qiu'yun'dong 棒球运动
'bu'fang'qi'jiu'you'xi'wang 不放弃就有希望
'bu'neng'gou'biao'da 不能够表达
'cai'yi'jia 蔡乙嘉
'cheng'yan'qiu 程砚秋
'cheng'zhi'chao 成志超
'dai'xiao'zhe 戴小哲
'deng'en'xi 邓恩熙
'ding'cheng'xin 丁程鑫
'dou'jin'han 都金翰
'dou'xiao'xuan 窦小璇
'dui'lei 对垒
'duo'me'shen'qi 多么神奇
'fei'chai'jiao'lian 废柴教练
'feng'cheng'cheng 冯程程
'guo'guo 果果
'he'ying'li'mian'xiao'de'duo'kai'xin 合影里面笑得多开心
'hui'wei'ni'shu'qi'lai 会为你竖起来
'jia'you'wo'de'peng'you 加油我的朋友
'jiang'di 江狄
'jiao'an 焦安
'jiao'ao'de'mu'zhi 骄傲的拇指
'jiao'er 焦耳
'li'jun'hao 李俊豪
'li'shi'peng 李世鹏
'li'xiao'pang 李小胖
'li'zhen'ma 李珍玛
'li'zi 栗梓
'lu'tong 陆通
'na'xie'bu'an'de 那些不安的
'ni'bu'shi'yi'ge'ren 你不是一个人
'ni'shi'fou'hui'ji'qi 你是否会记起
'ni'shi'wo'jin'sheng'zui'da'de'jing'xi 你是我今生最大的惊喜
'pei'ni'fei'qi'lai 陪你飞起来
'qing'chun'jue'bu'ting'liu 青春绝不停留
'qing'chun'mei'you'ji'xian 青春没有极限
'qing'xu'de'bian'hua 情绪的变化
'quan'tou'duo'li'hai 拳头多厉害
'que'bi'ci'yi'lai 却彼此依赖
'ren'sheng'xu'yao'tiao'zhan 人生需要挑战
'sha'wan 沙婉
'shan'guang'de'meng'xiang'ling'ju'li 闪光的梦想零距离
'shang'hao'nian'ji'yi'zhuan'shen 尚好年纪一转身
'song'zu'er 宋祖儿
'sun'xi'kun 孙锡堃
'tan'yao'yao 谭耀耀
'tao'xi 陶西
'tian'jiang'da'ren'yu'ci'ren 天降大任于此人
'ting'zhe'ni'xia'bai 听着你瞎掰
'tong'xue'lu'mo'hu'de'liu'yan'bi'ji 同学录模糊的留言笔迹
'wang'chen'yi'xian 王陈怡娴
'wang'mi'shu 王秘书
'wo'hui'ting'ni'dao'zui'hou 我会挺你到最后
'wo'men'bu'dong'ai 我们不懂爱
'wo'men'gai'mian'dui 我们该面对
'wo'men'gai'zhang'da 我们该长大
'wo'men'zheng'zhi'yu'qing'chun 我们正值于青春
'wo'qiang'ni'de'xiang'pi 我抢你的橡皮
'wu'tong 邬童
'wu'tong'ba'ba 邬童爸爸
'xia'lv 夏绿
'xiao'xiong'dui 小熊队
'xing'shan'shan 邢姗姗
'yan'zi'tao 阎子滔
'yang'guang'bu'xiu 阳光不锈
'yang'guang'bu'xiu'wen'nuan'zhe'hui'yi 阳光不锈温暖着回忆
'yi'ding'neng'gou'dao'da 一定能够到达
'yi'lu'you'ni 一路有你
'yi'nian'zhi'ji'zai'yu'chun 一年之季在于春
'yin'ke 尹柯
'yin'ying'dui 银鹰队
'ying'hua'dui 英华队
'ying'hua'zhong'xue 英华中学
'yong'dui'cai'jing'cai 用对才精彩
'you'shi'hou'yu'yan 有时候语言
'yu'feng 郁风
'yue'liang'dao 月亮岛
'zai'jian'an'da 再见安打
'zai'yao'yi'yao'ya 再咬一咬牙
'zhang'wan'er 张婉儿
'zhi'neng'zai'hui'yi'li 只能在回忆里
