'ci'bang 磁棒
'ci'li'ju'qi 磁力矩器
'dian'ci'fa 电磁阀
'dian'ping'zhi'ling 电平指令
'ding'zi 定姿
'dong'liang'lun 动量轮
'fei'lun 飞轮
'fu'dian'ping 负电平
'ke'di 壳地
'mo'ni'liang'cai'ji 模拟量采集
're'min'cai'ji 热敏采集
'tai'min 太敏
'tai'yang'min'gan'qi 太阳敏感器
'xing'jian'fen'li 星箭分离
'xing'min 星敏
'xing'min'gan'qi 星敏感器
'yao'ce 遥测
'yao'kong 遥控
'zai'gui 在轨
'zheng'dian'ping 正电平
'zhi'ling 指令
'zi'kong'fen'xi'tong 姿控分系统
'zi'suo'fa 自锁阀
'zi'zhu'qie'ji 自主切机
