'ai'ba'jiu 爱把酒
'ai'chun'pei'fu'xue 爱春醅浮雪
'ai'er'bu'jian 爱而不见
'ai'fu'shu 爱扶疏
'ai'jiang'wu'yu'zhui'qian'shi 爱将芜语追前事
'ai'mei'wu 碍梅坞
'ai'shuo'qin'zhong'ru'de'qu 爱说琴中如得趣
'ai'ting'ting'wu'shu 爱亭亭无数
'ai'yue'wei'wang'huai 哀乐未忘怀
'an'de'cu'xi'cong'rong 安得促席从容
'an'lue'qi 俺略起
'an'pai'si'qiao 安排似巧
'an'qing'wu'bai'fa'san'san 岸轻乌白发鬖鬖
'an'shang'shu'bian'shu 案上数编书
'an'shang'wen'shu'kan'wei'bian 案上文书看未遍
'an'xiang'fu'dong 暗香浮动
'ang'ang'qian'li 昂昂千里
'ba'biao'tong'hun 八表同昏
'ba'chun'bo 把春波
'ba'duan'chun'xiao'xi 把断春消息
'ba'hao'xin'qing'dou'zuo'lan 把好心情都做懒
'ba'hua'zhi'wen 把花枝问
'ba'jiao'nong'ye 芭蕉弄叶
'ba'ping'sheng'xiao 把平生笑
'ba'qu'sheng'chan 把曲生禅
'ba'shan'li'jin'hu'bei'ge 拔山力尽忽悲歌
'ba'shi'jia'chuan'su'ye 八世家传素业
'ba'shi'yu'nian'ru'nie'pan 八十馀年入涅盘
'ba'si'qian'ta'shu'bu'dao 把似倩他书不到
'ba'si'qu'chui'gong'ming'lei 把似渠垂功名泪
'ba'wan'shi'wu'yan'sao'shou 把万事无言搔首
'ba'wan'si'qian'ji'hou 八万四千偈后
'ba'xia'shui'zhi'hai'shi'luo'yang'cheng 巴峡谁知还是洛阳城
'ba'xiang'niu'jing 把相牛经
'ba'xin'shi'yin'qin'wen'wo 把新诗殷勤问我
'ba'zhe'hua'zhi'bu'ying 把着花枝不譍
'bai'chuan'guan'yu 百川灌雨
'bai'fa'duan'ru'xu 白发短如许
'bai'fa'duo'shi'gu'ren'shao 白发多时故人少
'bai'fa'gui'geng 白发归耕
'bai'fa'kong'chui'san'qian'zhang 白发空垂三千丈
'bai'fa'kong'hui'shou 白发空回首
'bai'fa'lian'jun 白发怜君
'bai'fa'xi'feng 白发西风
'bai'fa'zai'mai'ri'xu'duo 白发栽埋日许多
'bai'fan'qing'chu 白饭青刍
'bai'he'fei'lai'si'ke 白鹤飞来似可
'bai'hua'men'wai 百花门外
'bai'hua'tou'shang'kai 百花头上开
'bai'ji'qian'fang'jiu 百计千方久
'bai'jun'qie'deng'che 百郡怯登车
'bai'lang'chang'dong'qu 白浪长东去
'bai'lu'yuan'shu 白露园蔬
'bai'lu'zhen'zhen 白鹭振振
'bai'nian'bei'xiao 百年悲笑
'bai'nian'guang'jing 百年光景
'bai'nian'guang'jing'bai'nian'xin 百年光景百年心
'bai'nian'neng'ji 百年能几
'bai'nian'pu'liu'xian'shuai 百年蒲柳先衰
'bai'nian'yu'da'feng'chui'que 百年雨打风吹却
'bai'niao'fei'bu'jin 白鸟飞不尽
'bai'niao'xiang'ying 白鸟相迎
'bai'pian'cun 百篇存
'bai'sha'yuan'pu 白沙远浦
'bai'shi'gu'fang'ken'zi'mei 百世孤芳肯自媒
'bai'tou'ai'shan'xia'qu 白头爱山下去
'bai'tou'pei'feng'shao'nian'chang 白头陪奉少年场
'bai'tou'zi'xi 白头自昔
'bai'wu'shi'chu'lao'xing'hai 百无是处老形骸
'bai'yao'nan'zhi'shu'shi'yin 百药难治书史淫
'bai'yu'ling 百馀龄
'bai'yue'chu'zhu'wang'xian'cheng 拜月处蛛网先成
'bai'yun'yi'pian'gu'fei 白云一片孤飞
'bai'yun'zhi'zai'yan'tou'su 白云只在檐头宿
'bai'zi'qian'hong'guo'le'chun 百紫千红过了春
'ban'huang'jia'kuai'le 伴皇家快乐
'ban'ri'cai'zhi'shi'meng 半日才知是梦
'ban'shan'jia'ju 半山佳句
'ban'shi'jun'xing'le 伴使君行乐
'ban'xian'sheng'feng'yan'zhang'ju 伴先生风烟杖屦
'ban'xun'er'yi 半醺而已
'ban'ye'yi'sheng'chang'xiao 半夜一声长啸
'ban'zhe'shan 半遮山
'bao'dao'jin'xun'long'di'xia 报道锦熏笼底下
'bao'guan'yu'zhen'yi'neng'pai 饱观鱼阵已能排
'bao'jing'guan'hua'qi'jiu'yue 饱经惯花期酒约
'bao'kan'xiu'zhu'he'fang'rou 饱看修竹何妨肉
'bao'rui'huang'xu'chen'die'lai 抱蕊黄须趁蝶来
'bei'er'shu 悲二叔
'bei'gan'yun'ye 杯干云液
'bei'gong'fu'qi'qian'ren'huo 被公扶起千人活
'bei'gong'shi'bi'jin'zhui'huan 被公诗笔尽追还
'bei'hua'gou'yin'xiao'he'pin 被花勾引笑和颦
'bei'hua'nao 被花恼
'bei'long'tian'gao'ta'shui'pin 北陇田高踏水频
'bei'mo'bei'sheng'li'bie 悲莫悲生离别
'bei'pan'feng'yue'ye 杯盘风月夜
'bei'ren'cui'yu'tou'yu'qu 背人翠羽偷鱼去
'bei'ru'lai'qian 杯汝来前
'bei'ru'zhi'hu 杯汝知乎
'bei'shan'ling'que'xiao 被山灵却笑
'bei'shan'tou'ji'yu 被山头急雨
'bei'shi'feng'di'shou'jie'qing'zhe 被诗逢敌手皆勍者
'bei'tian'di 悲天地
'bei'xi'feng'bian'mie'xu'yu 被西风变灭须臾
'bei'xi'feng'chui'duo 被西风吹堕
'bei'xia'men'gao'cong'la'luo 北夏门高从拉攞
'bei'xin'zi'wei 悲辛滋味
'bei'ye'lao'xiang'fu'ru'dong'yuan 被野老相扶入东园
'bei'yuan'jie'zhong'chang 被怨结中肠
'bei'zai'bai 杯再拜
'bei'zhao'you'hai'lai 被召又还来
'bei'zhi'mang 北枝忙
'bei'zhu'ma 杯逐马
'ben'wu'xin'qi 本无欣戚
'ben'zai'tian'gao'chu 本在天高处
'beng'teng'jue'qu 崩腾决去
'bi'deng'shi'cai'si'wei'zheng 避灯时采丝未整
'bi'hai'cheng'sang'ye 碧海成桑野
'bi'jing'chen'wu'ren'le 毕竟尘污人了
'bi'jing'dong'shan'liu'bu'zhu 毕竟东山留不住
'bi'jing'hua'kai'shui'zuo'zhu 毕竟花开谁作主
'bi'jing'shi'jin'nian'chun'wan 毕竟是今年春晚
'bi'mo'sheng'han 笔墨生寒
'bi'ru'shen 笔如神
'bi'shi'qin'qin'geng'you'jun 笔势骎骎更右军
'bi'shui'xi'yu 碧水溪鱼
'bi'wu'yi'cang'luan 碧雾翳苍鸾
'bi'zhe'er'cao 比着儿曹
'bi'zhe'yu'gan'shui'xiao 比着鱼竿谁小
'bi'zuo'jian'feng'chang 笔作剑锋长
