'ge'yao'da'zhan 歌谣大战
'gu'du'de'ren'a 孤独的人啊
'hong'da 弘大
'jiang'min'he 姜敏赫
'jie'hun'ba 结婚吧
'jie'tou'yan'chang'hui 街头演唱会
'jiong'hua 囧华
'li'hong'ji 李弘基
'li'zheng'xin 李正信
'li'zong'xuan 李宗泫
'mang'nei 忙内
'min'he 敏赫
'min'xin 珉信
'rong'he 容和
'rong'xian 荣贤
'wang'ji 忘记
'xiao'min'he 小敏赫
'xiao'xian 小贤
'xiao'zheng'xin 小正信
'xiao'zong'xuan 小宗泫
'yue'dui'zu'he 乐队组合
'zheng'rong'he 鄭容和
'zheng'xin 正信
'zhi'gan 直感
'zhi'jue 直覺
'zong'xuan 宗泫
