'ban'xu'ji 半序集
'bi'te'wen'ti 比特问题
'biao'ji 标记
'biao'qian 标签
'biao'zhi 标志
'deng'dai'guang'biao 等待光标
'dui'xiang 对象
'fen'bu 分布
'fu'jia 附加
'hou'mian'de 后面的
'hou'tui 后退
'ji'qi 机器
'jie'gou'hua'wen'dang'he'shu'ju'tong'yong'ge'shi 结构化文档和数据通用格式
'jie'ke'xun'fang'fa 杰克逊方法
'jing'xiang'ji'han'shu'fang'fa 径向基函数方法
'ke'ti 客体
'mu'biao 目标
'qi'ye'ying'yong'ji'cheng 企业应用集成
'shu'chu 输出
'shu'ju'ku'guan'li'xi'tong 数据库管理系统
'shu'ru 输入
'tian'jia 添加
'tiao'yong'yue'ding 调佣约定
'wen'dang'fang'wen'ding'yi 文档访问定义
'wu'huan'chao'tu 无环超图
'wu'ti 物体
'xi'tong'guan'li'yuan 系统管理员
'xiao'chuang'kou 小窗口
'xiao'pei'jian 小配件
'xie'tiao'tong'yong'shi'jian 协调通用时间
'you'xiao'de 有效的
'zha'de'mo'hu'luo'ji 扎德模糊逻辑
'zhi'biao'fu 制表符
'zhi'liang'bao'zheng 质量保证
'zhi'shi'huo'qu 知识获取
'zhui'jia 追加
'zu'jian 组件
