'an'hui'jian'cai 安徽建材
'an'hui'jian'zhu 安徽建筑
'an'hui'jian'zhu'gong'ye'xue'yuan'xue'bao 安徽建筑工业学院学报
'bao'wen'cai'liao'yu'jie'neng'ji'shu 保温材料与节能技术
'bei'jing'gong'cheng'zao'jia 北京工程造价
'bei'jing'gui'hua'jian'she 北京规划建设
'bei'jing'jian'cai 北京建材
'bei'jing'jian'zhu'gong'cheng'xue'yuan'xue'bao 北京建筑工程学院学报
'bei'jing'xiu'jian'ke'ji 北京修建科技
'bo'li'gang'fu'he'cai'liao 玻璃钢复合材料
'bo'li'yu'tao'ci 玻璃与陶瓷
'cheng'shi 城市
'cheng'shi'gong'yong'shi'ye 城市公用事业
'cheng'shi'gui'hua 城市规划
'cheng'shi'gui'hua'hui'kan 城市规划汇刊
'cheng'shi'huan'jing'yu'cheng'shi'sheng'tai 城市环境与城市生态
'cheng'shi'kai'fa 城市开发
'cheng'shi'mei'qi 城市煤气
'cheng'xiang'jian'she 城乡建设
'cheng'zhen'gong'shui 城镇供水
'chong'qing'huan'jing'ke'xue 重庆环境科学
'chong'qing'jian'zhu'da'xue'xue'bao 重庆建筑大学学报
'chong'qing'jian'zhu'gao'deng'zhuan'ke'xue'xiao'xue'bao 重庆建筑高等专科学校学报
'cun'zhen'jian'she 村镇建设
'da'lian'jian'gong 大连建工
'da'lian'shi'zheng 大连市政
'di'ji'ji'chu'gong'cheng 地基基础工程
'di'wen'jian'zhu'ji'shu 低温建筑技术
'di'xia'kong'jian 地下空间
'di'zhen'gong'cheng'yu'gong'cheng'zhen'dong 地震工程与工程振动
'dong'bei'shi'zheng'ke'ji 东北市政科技
'dong'nan'da'xue'xue'bao 东南大学学报
'fang'hu'gong'cheng 防护工程
'fu'jian'jian'she'ke'ji 福建建设科技
'fu'jian'jian'zhu 福建建筑
'gong'chang'jian'she'yu'she'ji 工厂建设与设计
'gong'cheng'ji'shu 工程技术
'gong'cheng'ji'xie 工程机械
'gong'cheng'jian'she'biao'zhun'hua 工程建设标准化
'gong'cheng'kan'cha 工程勘察
'gong'cheng'kang'zhen 工程抗震
'gong'cheng'li'xue 工程力学
'gong'cheng'she'ji'yu'yan'jiu 工程设计与研究
'gong'shui'yu'pai'shui 供水与排水
'gong'ye'jian'zhu 工业建筑
'gong'yong'ke'ji 公用科技
'gu'jian'yuan'lin'ji'shu 古建园林技术
'guang'dong'gong'shui'xin'xi 广东供水信息
'guang'dong'jian'cai 广东建材
'guang'dong'tu'mu'yu'jian'zhu 广东土木与建筑
'guang'xi'cheng'zhen'gong'shui 广西城镇供水
'guang'xi'tu'mu'jian'zhu 广西土木建筑
'guang'zhou'jian'zhu 广州建筑
'gui'hua'shi 规划师
'gui'suan'yan'jian'zhu'zhi'pin 硅酸盐建筑制品
'gui'suan'yan'tong'bao 硅酸盐通报
'gui'suan'yan'xue'bao 硅酸盐学报
'guo'wai'cheng'shi'gui'hua 国外城市规划
'guo'wai'jian'cai'ke'ji 国外建材科技
'guo'wai'jian'cai'yi'cong 国外建材译丛
'guo'wai'jian'zhu'ke'xue 国外建筑科学
'guo'wai'mei'qi 国外煤气
'ha'er'bin'jian'zhu'da'xue'xue'bao 哈尔滨建筑大学学报
'ha'er'bin'jian'zhu'gong'cheng'xue'yuan'xue'bao 哈尔滨建筑工程学院学报
'he'bei'jian'cai 河北建材
'he'bei'jian'zhu'gong'cheng'xue'yuan'xue'bao 河北建筑工程学院学报
'he'bei'jian'zhu'mei'tan'gong'cheng'xue'yuan'xue'bao 河北建筑煤炭工程学院学报
'he'nan'cheng'jian'gao'zhuan'xue'bao 河南城建高专学报
'he'nan'jian'zhu'ji'shu 河南建筑技术
'hu'nan'jian'cai 湖南建材
'hua'gong'ji'shui'pai'shui'she'ji 化工给水排水设计
'hua'xue'jian'cai 化学建材
'hua'zhong'jian'zhu 华中建筑
'hun'ning'tu 混凝土
'hun'ning'tu'yu'shui'ni'zhi'pin 混凝土与水泥制品
'ji'chang'gong'cheng 机场工程
'ji'jian'you'hua 基建优化
'ji'lin'jian'zhu'gong'cheng'xue'yuan'xue'bao 吉林建筑工程学院学报
'ji'lin'jian'zhu'she'ji 吉林建筑设计
'ji'shui'ji'shu 给水技术
'ji'shui'pai'shui 给水排水
'jian'cai'biao'zhun'hua'yu'zhi'liang'guan'li 建材标准化与质量管理
'jian'cai'di'zhi 建材地质
'jian'cai'gong'ye'ji'shu 建材工业技术
'jian'cai'gong'ye'xin'xi 建材工业信息
'jian'cai'tong'ji'yu'yu'ce 建材统计与预测
'jian'gong'ji'shu 建工技术
'jian'she'ji'xie'ji'shu'yu'guan'li 建设机械技术与管理
'jian'she'jian'li 建设监理
'jian'zhu 建筑
'jian'zhu'dian'qi 建筑电气
'jian'zhu'gong'ren 建筑工人
'jian'zhu'guan'li'xian'dai'hua 建筑管理现代化
'jian'zhu'ji'shu 建筑技术
'jian'zhu'ji'shu'ji'she'ji 建筑技术及设计
'jian'zhu'ji'shu'kai'fa 建筑技术开发
'jian'zhu'ji'shu'qing'bao 建筑技术情报
'jian'zhu'ji'xie 建筑机械
'jian'zhu'ji'xie'hua 建筑机械化
'jian'zhu'jie'gou 建筑结构
'jian'zhu'jie'gou'xue'bao 建筑结构学报
'jian'zhu'jie'neng 建筑节能
'jian'zhu'ke'ji 建筑科技
'jian'zhu'ke'xue 建筑科学
'jian'zhu'qi'kuai'yu'qi'kuai'jian'zhu 建筑砌块与砌块建筑
'jian'zhu'ren'zao'ban 建筑人造板
'jian'zhu'she'ji'guan'li 建筑设计管理
'jian'zhu'she'ji'tong'xun 建筑设计通讯
'jian'zhu'shi 建筑师
'jian'zhu'shi'gong 建筑施工
'jian'zhu'tong'xun 建筑通讯
'jian'zhu'xue'bao 建筑学报
'jian'zhu'yu'yu'suan 建筑与预算
'jian'zhu'zhi'shi 建筑知识
'jiang'su'cheng'shi'gui'hua 江苏城市规划
'jiang'su'jian'cai 江苏建材
'jiang'su'nuan'tong'kong'tiao'zhi'leng 江苏暖通空调制冷
'jie'gou'gong'cheng'shi 结构工程师
'jun'gong'kan'cha 军工勘察
'kan'cha'ke'xue'ji'shu 勘察科学技术
'lan'zhou'cheng'xiang'jian'she 兰州城乡建设
'liao'ning'jian'cai 辽宁建材
'liao'ning'jian'zhu 辽宁建筑
'mei'qi'yu're'li 煤气与热力
'nai'huo'cai'liao 耐火材料
'nan'fang'jian'zhu 南方建筑
'nan'jing'jian'zhu'gong'cheng'xue'yuan'xue'bao 南京建筑工程学院学报
'nan'jing'shi'zheng 南京市政
'nuan'tong'kong'tiao 暖通空调
'qing'dao'jian'zhu'gong'cheng'xue'yuan'xue'bao 青岛建筑工程学院学报
'qing'hua'da'xue'xue'bao 清华大学学报
'qu'yu'gong're 区域供热
'ren'fang'gong'cheng 人防工程
'shan'dong'jian'cai 山东建材
'shan'dong'jian'cai'xue'yuan'xue'bao 山东建材学院学报
'shan'dong'jian'zhu'gong'cheng'xue'yuan'xue'bao 山东建筑工程学院学报
'shan'xi'jian'zhu 陕西建筑
'shan'xi'jian'zhu 山西建筑
'shang'hai'cheng'shi'gui'hua 上海城市规划
'shang'hai'cheng'shi'jian'zhu'xue'yuan'xue'bao 上海城市建筑学院学报
'shang'hai'ji'shui'pai'shui 上海给水排水
'shang'hai'jian'cai 上海建材
'shang'hai'jian'cai'xue'yuan'xue'bao 上海建材学院学报
'shang'hai'jian'she'ke'ji 上海建设科技
