'a'shuang 阿双
'an'an 安安
'bai'ling 百灵
'bai'shan 白珊
'bai'yue'guang 白月光
'bei'san'suo 北三所
'bing'qing 冰清
'bu'de'ti 不得体
'chang'cheng 常铖
'chen'jun'jie 陈君杰
'chen'ruo'xi 陈偌汐
'chen'you'wei 陈宥维
'chen'yuan'yuan 陈圆媛
'cheng'guo'dong 成国栋
'cheng'jun'wen 成浚文
'cheng'mo 程茉
'chi'su 尺素
'chun'fei 纯妃
'chun'hui'huang'gui'fei 纯惠皇贵妃
'cui'yu'kuan 崔羽宽
'dai'chun'rong 戴春荣
'de'sheng 德胜
'deng'sha 邓莎
'di'hou 帝后
'di'hou'dang 帝后党
'dong'zao 冬枣
'du'juan 杜鹃
'duan'lan'juan 段兰娟
'e'er'tai 鄂尔泰
'er'qing 尔晴
'fan'xiao'ming 范晓明
'fang'an'na 方安娜
'fang'cao 芳草
'fang'chu'tong 方楚彤
'fang'gu'gu 方姑姑
'fang'yang'fei 方洋飞
'fei'cui 翡翠
'feng'wu'sheng 冯武生
'fu'cha'fu'heng 富察傅恒
'fu'cha'fu'ren 富察夫人
'fu'cha'guan'jia 富察管家
'fu'cha'rong'yin 富察容音
'fu'heng 傅恒
'fu'hui 福慧
'fu'kang'an 福康安
'fu'peng 福彭
'fu'qian 傅谦
'fu'xiao'yu 付小雨
'gao'bin 高斌
'gao'gui'fei 高贵妃
'gao'heng 高恒
'gao'rui 高芮
'gao'yang 高洋
'gao'yu'er 高雨儿
'gao'zong'chun'huang'di 高宗纯皇帝
'gong'fang'min 公方敏
'gu'lun'he'jing'gong'zhu 固伦和静公主
'gu'tian'tian 顾天天
'gui'fei'niang'niang 贵妃娘娘
'hai'lan'cha 海兰察
'hang'zhou'zhi'fu 杭州知府
'he'jia'yi 何佳怡
'he'ye 荷叶
'hong'li 弘历
'hong'luo 红螺
'hong'qiang'tan 红墙叹
'hong'xiao 弘晓
'hong'yao 洪尧
'hong'zhou 弘昼
'hu'po 琥珀
'huang'shi'liang 黄世亮
'huang'yi'kai 黄溢凯
'hui'fa'na'la'shi 辉发那拉氏
'hui'xian'huang'gui'fei 慧贤皇贵妃
'ji'xiang 吉祥
'jia'pin 嘉嫔
'jia'qin'wang 嘉亲王
'jiang'man'qin 蒋曼琴
'jiang'zi'xin 姜梓新
'jin'die'die 金叠叠
'jin'xiu 锦绣
'jin'zhong 尽忠
'kan'gou'xiao'tai'jian 看狗小太监
'la'wang'duo'er'ji 拉旺多尔济
'lan'er 兰儿
'li'chun'ai 李春嫒
'li'jia'wei 李佳蔚
'li'jia'xun 李佳勋
'li'peng 李鹏
'li'run'hua 李润华
'li'ruo'ning 李若宁
'li'shu'ren 李树人
'li'xue'jiao 李雪娇
'li'yu 李玉
'li'yue'min 李跃民
'lian'lian 练练
'lin'chen'han 林辰涵
'ling'fei 令妃
'ling'gui'fei 令贵妃
'ling'long 玲珑
'liu'en'shang 刘恩尚
'liu'gu'gu 刘姑姑
'liu'guo'ji 刘国际
'liu'he 刘和
'liu'lu 刘璐
'liu'mo'mo 刘嬷嬷
'liu'shi'tong 刘诗童
'liu'si'si 刘思思
'liu'tai'yi 刘太医
'liu'xiao'qian 刘晓倩
'liu'yue'tao 刘月涛
'liu'ze'yu 刘泽宇
'lu'wan'wan 陆晚晚
'luo'jie 珞姐
'luo'xi 罗喜
'lv'qin'wang 履亲王
'ma'chun'yan 马春燕
'ma'nao 玛瑙
'ma'qi'yue 马启越
