'a'duo 阿多
'a'duo'xun 阿多薰
'a'lai 阿濑
'a'mei'jing'gu 阿妹胫骨
'a'mu 阿木
'an'ling 俺零
'ba'lian 巴涟
'ba'ri'he 巴日和
'ban'ma 斑妈
'bei'dou'xing 北斗星
'bing'ying'bei'dou 冰鹰北斗
'chuang'chuang 创创
'chuang'mei 创妹
'chuang'tao 创桃
'chun'chuan'zhou 春川宙
'cui'cui 翠翠
'cui'qian 翠千
'da'jiang 大将
'da'shen'huang'ya 大神晃牙
'da'ye'ling 大爷零
'dai'gua'zu 呆瓜组
'di'xiao 敌校
'duo'duo'ni'si'jun 多多尼斯君
'fan'li'ji 返礼祭
'fang'ge 纺哥
'fang'xia 纺夏
'fang'ying 纺英
'fu'hui 副会
'fu'jian'gong'xian 伏见弓弦
'gao'feng'cui 高峯翠
'ge'yuan'su 鸽元素
'gong'tao 弓桃
'gong'xian'ju'ju 弓弦锯锯
'gui'long'hong'lang 鬼龙红郎
'guo'ji'bei'de 过激背德
'hong'jing 红敬
'hong'lang 红郎
'hong'tie 红铁
'hong'yue 红月
'hu'zi 虎子
'huang'ya 晃牙
'huo'dong'ka'chi 活动卡池
'ji'gong'tao'li 姬宫桃李
'ji'si 积四
'ji'wu 积五
'jing'die 晶爹
'jing'hong 敬红
'jing'ying 敬英
'kan'ban'zu 看板组
'kui'ri'xiang 葵日向
'kui'shuang'zi 葵双子
'kui'yu'tai 葵裕太
'la'bi'ci 蜡笔次
'lai'ming'quan 濑名泉
'lan'jie 岚姐
'lan'quan 岚泉
'lao'ling 老零
'lao'ren'yu'gou 老人与狗
'lao'shi'zu 老师组
'lei'ou 雷欧
'li'mao 栗毛
'li'zi 栗子
'lian'chun 涟纯
'lian'si'jing'ren 莲巳敬人
'lin'ling 凛零
'lin'xu 凛绪
'lin'yue 凛月
'ling'huang 零晃
'ling'lin 零凛
'ling'ming 玲明
'ling'xun 零薰
'liu'jun 流君
'liu'xing'dui 流星队
'liu'xing'hei 流星黑
'liu'xing'hong 流星红
'liu'xing'huang 流星黄
'liu'xing'lan 流星蓝
'liu'xing'lv 流星绿
'ma'kun 麻困
'man'po 满破
'mao'mao 毛毛
'men'lan 门岚
'men'lao'shi 门老师
'men'zhang'chen 门章臣
'meng'zhi'xiao 梦之咲
'ming'jun 鸣君
'ming'shang'lan 鸣上岚
'ming'xing'mao'liu 明星昴流
'mo'zi 末子
'nai'ci 奈次
'nai'ci 奶次
'nan'yun'tie'hu 南云铁虎
'ni'xian'xia'mu 逆先夏目
'ou'xiang'meng'huan'ji 偶像梦幻祭
'pai'si 排四
'pai'wu 排五
'pu'ka'pu'ka 噗咔噗咔
'qi'zhong'ci 七种茨
'qian'cui 千翠
'qing'ye'fang 青叶纺
'quan'zhen 泉真
'quan'zong 泉总
'ren'ge 仁哥
'ren'miao 仁喵
'ren'tu'cheng'ming 仁兔成鸣
'ri'he 日和
'ri'ri'ri 日日日
'ri'ri'shu'she 日日树涉
'ri'yu 日裕
'san'mao'gao 三毛缟
'san'mao'gao'ban 三毛缟斑
'she'bei 涉北
'she'she 涉涉
'she'ying 涉英
'she'you 涉友
'shen'hai'zou'tai 深海奏汰
'shen'qi'sa'ma 神崎飒马
'shi'xin'zu 狮心组
'shou'ze'qian'qiu 守泽千秋
'shu'min 庶民
'shuang'wang 双王
'shui'jian 睡间
'shuo'jian'lin'yue 朔间凛月
'shuo'jian'ling 朔间零
'si'jun 司君
'si'tang 司糖
'tang'po'po'jiang 汤婆婆酱
'tao'chuang 桃创
'tao'gong 桃弓
'tao'li 桃李
'tian'man'guang 天满光
'tian'xiang'yuan'shi'li 天祥院势力
'tian'xiang'yuan'ying'zhi 天祥院英智
'tu'tuan 兔团
'wang'zi'zu 王子组
'xi'jun'xiong'zhang 细菌兄长
'xian'shi'ren 仙石忍
'xiao'bei 小北
'xiao'lai 小濑
'xiao'qian'bu'zhang 小千部长
'xiao'quan 小泉
'xiao'ren 小忍
'xiao'si 小司
'xiao'xing 小杏
'xiao'zhen 小真
'xiao'zhu 小朱
'xing'bei 星北
'xing'ye 杏爷
'xiong'jian 熊间
'xiu'yue 秀越
'xu'lin 绪凛
'xun'ge 薰哥
'xun'ling 薰零
'xun'sa 薰飒
'xun'tu 薰兔
'xun'zou 薰奏
'yi'geng'zhen'xu 衣更真绪
'yi'shou'a'duo'ni'si 乙狩阿多尼斯
'ying'fang 英纺
'ying'pian'mei'jia 影片美伽
'ying'zhi 英智
'you'jun 游君
'you'mu'zhen 游木真
'you'shou'jun 右手君
'you'ye 友也
'yu'feng'xun 羽风薰
'yue'yong'lei'ou 月永雷欧
'yue'zu 月组
'zhai'gong'zong 斋宫宗
'zhen'bai'you'ye 真白友也
'zhen'quan 真泉
'zhen'xu 真绪
'zhu'ying'si 朱樱司
'zhui'yi 追忆
'zi'zhi'chuang 紫之创
'zong'lao'shi 宗老师
'zong'mi 宗咪
'zou'xun 奏薰
'zuo'he'mei'zhen 佐贺美阵
'zuo'xiao'mei 佐小美
