'ben'mei'nong'wei'yu 本美浓围玉
'bi'zhi 必至
'bu'bing 步兵
'cheng'bu 成步
'cheng'gui 成桂
'cheng'xiang 成香
'cheng'yin 成银
'chi'jiang'qi 持将棋
'chi'ju 持驹
'chu'shou 初手
'chuan'wei'yu 船围玉
'da'bu'jie 打步诘
'da'ju 大驹
'da'ju 打驹
'ding'ji 定迹
'e'shou 恶手
'er'mei'wei'yu 二枚围玉
'fei'che 飞车
'feng'che'xing'wei'yu 风车型围玉
'fu'ju 浮驹
'gao'mei'nong'wei'yu 高美浓围玉
'gui'ma 桂马
'hao'shou 好手
'he'ju 合驹
'huai'shou 坏手
'jiang'qi 将棋
'jiao'xing 角行
'jie'yu 诘玉
'jin'jiang 金将
'jin'shi'cang'wei'yu 金矢仓围玉
'jin'wei 筋位
'ju'de 驹得
'ju'fei'che 居飞车
'ju'tai 驹台
'ju'yu 居玉
'kai'wang'shou 开王手
'li'yin'shi'cang'wei'yu 立银矢仓围玉
'liu'shi'cang'wei'yu 流矢仓围玉
'mei'nong'wei'yu 美浓围玉
'miao'shou 妙手
'mu'cun'mei'nong'wei'yu 木村美浓围玉
'pian'mei'nong'wei'yu 片美浓围玉
'pian'shi'cang'wei'yu 片矢仓围玉
'qi'ju 棋驹
'qian'ri'shou 千日手
'qu'ju 取驹
'quan'shi'cang'wei'yu 全矢仓围玉
'ru'yu 入玉
'san'jian'fei'che 三间飞车
'she'ju 舍驹
'shi'cang'wei'yu 矢仓围玉
'shou'jin 手筋
'si'jian'fei'che 四间飞车
'si'mei'mei'nong'wei'yu 四枚美浓围玉
'tou'le 投了
'wang'jiang 王将
'wang'shou 王手
'wei'yu 围玉
'xiang'che 香车
'xiao'ju 小驹
'xie'wei'yu 蟹围玉
'xu'pan 序盘
'yi'shou 一手
'yin'guan'wei'yu 银冠围玉
'yin'jiang 银将
'yin'shi'cang'wei'yu 银矢仓围玉
'you'xue'xiong'wei'yu 右穴熊围玉
'zao'kuai'wei'yu 早快围玉
'zhen'fei'che 振飞车
'zhong'pan 中盘
'zhong'pan 终盘
'zhu'zhong'wei'yu 住中围玉
'zong'shi'cang'wei'yu 总矢仓围玉
'zuo'mei'nong'wei'yu 左美浓围玉
'zuo'xue'xiong'wei'yu 左穴熊围玉
