'bao'luo'la'fei'te 保罗拉斐特
'chi'chang'xu 池昌旭
'cui'you'zhen 崔有真
'dong'zuo'xi 动作戏
'gao'an'na 高安娜
'gu'yong'bing 雇佣兵
'guo'zheng'huan 郭正焕
'hei'shi 黑石
'jin'bao'biao 金保镖
'jin'ji'xia 金济夏
'jin'zai'he 金在河
'jing'wei'yao'yuan 警卫要员
'kong'huang'zhang'ai 恐慌障碍
'li'ting'zhen 李廷镇
'lin'yun'er 林允儿
'liu'yin'he 柳银赫
'lu'de'dao 鹭得岛
'qi'gai'xu 乞丐旭
'run'e 润娥
'si'sheng'nv 私生女
'song'yun'er 宋允儿
'tao'wang'shao'nv 逃亡少女
'te'ji 特级
'xiao'chi 小池
'zhang'he'lin 张赫麟
'zhang'tai'jun 张泰俊
'zhao'cheng'xia 赵成夏
'zhun'zong'tong 准总统
