'bu'pi'he'wei 补脾和胃
'bu'qi'yang'xue 补气养血
'ming'mu'xing'nao 明目醒脑
'pi'wei'xu'ruo 脾胃虚弱
'qiang'hua'gan'shen 强化肝肾
'qiang'jin'gu 强筋骨
'qiang'shen'jian'ti 强身健体
'qing'xin'run'fei 清心润肺
'qu'zhang'qi 去胀气
'run'fei'ding'chuan 润肺定喘
'shen'xu'yao'tong 肾虚腰痛
'si'zhi'fa'li 四肢乏力
'ti'kun'shen'pi 体困神疲
'ti'shen'xing'nao 提神醒脑
'ti'xu'bian'xi 体虚便稀
'yang'xin'an'shen 养心安神
'yao'ji'lao'sun 腰肌劳损
'yi'pi'run'chang 益脾润肠
'yi'qi'sheng'jin 益气生津
'zeng'qiang'mian'yi'li 增强免疫力
'zhi'jing'luan 止痉挛
'zhi'ke'ping'chuan 止咳平喘
'zi'bu'qiang'shen 滋补强身
'zi'gan'yang'shen 滋肝养肾
